step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz,pose_vx,pose_vy,pose_vz,pose_avx,pose_avy,pose_avz,est_pose_x,est_pose_y,est_pose_z,est_pose_qw,est_pose_qx,est_pose_qy,est_pose_qz,est_pose_vx,est_pose_vy,est_pose_vz,est_pose_avx,est_pose_avy,est_pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,est_param_centre_rate_deg,est_param_max_rate_deg,est_param_rate_expo,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time,mot_cap_x,mot_cap_y,mot_cap_z,mot_cap_qw,mot_cap_qx,mot_cap_qy,mot_cap_qz,mot_cap_vx,mot_cap_vy,mot_cap_vz,mot_cap_avx,mot_cap_avy,mot_cap_avz
0,1762149262.739914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,-0.002,0.003,0.999,-0.0,0.0,-0.035,-0.005,-0.006,-0.007,-0.007,0.0,-0.001,0.021833333414667196,-0.002199998124889113,-0.0026406706916030425,0.9985545048423841,-5.686261087942415e-05,-2.156359114819106e-06,-0.046055805316451336,-0.004999994390930613,-0.005999856805484975,-0.33142204404925196,-0.00013356772456626855,-0.0004280126399035832,-1.2680688284800739,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.12,50.0,300.0,0.0,0.0026,0.0013,0.0016,0.0,0.044,-0.007,-0.004,1.0,-0.002,0.011,-0.024,-0.0,-0.001,-0.004,-0.0,0.0,0.0
0,1762149262.7719016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,-0.002,0.003,0.999,0.0,0.0,-0.034,-0.002,-0.004,0.004,-0.001,0.004,0.006,0.022,-0.002,0.003,0.999,0.0,0.0,-0.034,-0.002,-0.004,0.004,-0.001,0.004,0.006,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.12,50.0,300.0,0.0,0.0019,0.0012,0.0016,0.0,0.044,-0.007,-0.003,1.0,-0.002,0.01,-0.024,-0.001,0.001,0.005,0.0,-0.0,-0.0
0,1762149262.8056142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,-0.002,0.003,0.999,0.0,0.0,-0.034,0.004,-0.005,-0.004,-0.002,-0.001,0.0,0.02213333333333333,-0.0021666666666666666,-0.00257706084855967,0.9989999994717491,-2.9568246070076823e-05,-1.3547262348051929e-05,-0.03399999998202149,0.004,-0.005,-0.330442293915144,-0.0015149565932530613,-0.0007574782966265306,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.12,50.0,300.0,0.0,0.0014,0.0013,0.0022,0.0,0.044,-0.007,-0.003,1.0,-0.002,0.011,-0.024,-0.0,-0.001,-0.001,-0.0,-0.0,0.0
0,1762149262.8386226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,-0.002,0.003,0.999,0.0,0.0,-0.034,-0.016,-0.003,0.002,0.011,0.003,0.005,0.02093333333333334,-0.002199999999999999,-0.01861874632056458,0.9990042969043936,0.0002836367685046899,6.707954591901556e-05,-0.0338722581587377,-0.016,-0.003,-0.6498381253679435,0.006311507068462531,0.0017213201095806906,0.0028688668493011505,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.12,50.0,300.0,0.0,0.0013,0.0012,0.0018,0.0,0.044,-0.007,-0.004,1.0,-0.003,0.011,-0.024,0.002,0.0,-0.004,-0.0,0.0,-0.0
0,1762149262.8720698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,-0.002,0.003,0.999,0.0,0.0,-0.034,0.006,-0.011,0.004,0.0,-0.0,-0.0,0.022599999999999995,-0.003100000000000001,-0.045488901293847646,0.999,0.0,0.0,-0.034,0.006,-0.011,-0.9721511098706151,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.12,50.0,300.0,0.0,0.0016,0.0014,0.0017,0.0,0.044,-0.007,-0.003,1.0,-0.002,0.011,-0.024,-0.001,0.001,0.002,0.0,-0.0,0.0
0,1762149262.9053776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,-0.001,0.003,0.999,0.0,0.0,-0.035,-0.005,0.012,0.0,-0.002,0.004,-0.006,0.021333333333333322,0.0005999999999999997,-0.08381373287231436,0.9989915028238472,-7.477901257215653e-05,0.00016364449145230808,-0.03524123921032622,-0.005,0.012,-1.2993186267127685,-0.0006584317599215289,0.0013168635198430579,-0.001975295279764587,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.12,50.0,300.0,0.0,0.0015,0.0011,0.0021,0.0,0.044,-0.007,-0.004,1.0,-0.003,0.011,-0.024,0.001,-0.001,-0.005,-0.0,0.0,-0.0
0,1762149262.93936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,-0.001,0.003,0.999,0.0,0.0,-0.035,-0.006,0.007,-0.009,-0.001,0.001,-0.006,0.021000000000000005,0.00016666666666666625,-0.13398376817939903,0.9989905036198763,-4.3416213993451545e-05,4.656884364027893e-05,-0.035269953824361225,-0.006,0.007,-1.6303016231820602,-0.0002493738839750842,0.0002493738839750842,-0.0014962433038505053,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.12,50.0,300.0,0.0,0.0019,0.0012,0.0024,0.0,0.044,-0.007,-0.003,1.0,-0.002,0.011,-0.024,0.001,0.0,-0.0,0.0,0.0,-0.0
0,1762149262.9722054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,-0.001,0.003,0.999,0.0,0.0,-0.035,0.004,-0.002,0.003,0.0,0.003,0.002,0.022799999999999994,-0.0014000000000000002,-0.19130447414599527,0.9990033912638084,5.109959553194848e-06,0.00014585284553261864,-0.03490276423094996,0.004,-0.002,-1.9395695525854004,0.0,0.0005666859145697665,0.0003777906097131777,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.12,50.0,300.0,0.0,0.0018,0.0013,0.0018,0.0,0.044,-0.007,-0.004,1.0,0.0,0.008,-0.024,-0.0,0.001,-0.004,0.1,-0.1,0.0
0,1762149263.0077322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,-0.001,0.003,0.999,0.0,0.0,-0.035,0.011,0.012,0.004,-0.007,-0.002,-0.006,0.024566666666666674,0.0018,-0.261062475657944,0.9989890853653486,-0.0003631438085120697,-9.013041148543937e-05,-0.03530817710801084,0.011,0.012,-2.2585937524342055,-0.001001588656344627,-0.0002861681875270363,-0.0008585045625811086,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.12,50.0,300.0,0.0,0.0036,0.0019,0.0017,0.0,0.045,-0.007,-0.004,1.0,0.004,0.001,-0.025,0.005,0.002,-0.01,0.1,-0.2,-0.0
0,1762149263.0381386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,-0.001,0.003,0.999,0.0,0.0,-0.035,-0.014,0.011,0.0,0.008,0.004,-0.001,0.01726666666666669,0.0019333333333333323,-0.3427201154615252,0.9989980118337335,0.0004350377031852417,0.00019879489732370364,-0.035053439459149294,-0.014,0.011,-2.581427988453847,0.0008670647649467239,0.00043353238247336194,-0.00010838309561834048,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.12,50.0,300.0,0.0,0.0017,0.001,0.0016,0.0,0.044,-0.007,-0.003,1.0,-0.002,0.011,-0.024,-0.002,-0.0,0.01,-0.1,0.2,0.0
0,1762149263.0769863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,-0.001,0.003,0.999,0.0,0.0,-0.035,0.013,0.019,0.004,-0.014,-0.002,-0.021,0.025900000000000006,0.0046999999999999984,-0.4328862324579276,0.9989585495430647,-0.0007741217126793084,-8.305176029598722e-05,-0.036155365768810475,0.013,0.019,-2.895411376754207,-0.0011493697971292735,-0.00016419568530418187,-0.0017240546956939096,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.12,50.0,300.0,0.0,0.0038,0.0024,0.0032,0.0,0.044,-0.007,-0.004,1.0,0.004,0.002,-0.024,0.006,0.001,-0.015,0.3,-0.4,-0.0
0,1762149263.1055856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,-0.001,0.003,0.999,0.0,0.0,-0.035,-0.007,0.009,0.002,-0.007,0.002,-0.008,0.019666666666666645,0.001999999999999999,-0.5353388948900601,0.9989840597434813,-0.000389548601158432,0.00012621082079999468,-0.03544969342019661,-0.007,0.009,-3.2141661105109947,-0.0004353113380617315,0.00012437466801763756,-0.0004974986720705502,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.12,50.0,300.0,0.0,0.0016,0.0013,0.0022,0.0,0.044,-0.007,-0.003,1.0,-0.002,0.011,-0.024,-0.01,-0.003,0.036,-0.4,0.7,0.0
0,1762149263.13938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,-0.002,0.003,0.999,-0.0,0.0,-0.034,0.011,-0.001,-0.005,-0.003,0.0,0.0,0.026033333333333346,-0.0023666666666666645,-0.6502635291882541,0.9989999853073878,-0.00017134947810960524,5.831713969696273e-06,-0.033999999499951146,0.011,-0.001,-3.5366736470811735,-0.00014131666751023545,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.12,50.0,300.0,0.0,0.0027,0.001,0.0018,0.0,0.044,-0.007,-0.003,1.0,-0.002,0.011,-0.024,-0.001,0.002,0.005,-0.1,0.2,0.0
0,1762149263.1748521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,-0.001,0.003,0.999,0.0,0.0,-0.035,-0.017,0.005,-0.001,0.014,-0.0,-0.006,0.015766666666666665,0.0008333333333333336,-0.6488234257590962,0.9989876147886535,0.0007996308007354451,-2.8015093118859437e-05,-0.0353426856453313,-0.017,0.005,-3.5328176574240904,0.0006594777817144323,0.0,-0.0002826333350204709,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.12,50.0,300.0,0.0,0.0034,0.0015,0.0029,0.0,0.045,-0.007,-0.004,1.0,0.004,0.001,-0.024,0.005,0.001,-0.016,0.2,-0.4,-0.0
0,1762149263.209142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,-0.002,0.003,0.999,0.0,0.0,-0.034,0.013,-0.003,0.002,-0.01,-0.004,0.006,0.026766666666666675,-0.0030999999999999934,-0.6477433481872278,0.9990114152851475,-0.000578940500572793,-0.00020902690796900357,-0.033657292625199425,0.013,-0.003,-3.529925665181278,-0.0004710555583674516,-0.00018842222334698066,0.0002826333350204709,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.12,50.0,300.0,0.0,0.0043,0.0022,0.0019,0.0,0.044,-0.007,-0.003,1.0,-0.002,0.011,-0.024,-0.002,-0.0,0.004,-0.1,0.1,0.0
0,1762149263.2437842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,-0.002,0.003,0.999,0.0,0.0,-0.034,-0.003,-0.004,-0.002,-0.001,0.0,-0.001,0.020899999999999967,-0.0034666666666666674,-0.6491834516163858,0.998998052830311,-5.7116492920935785e-05,1.9439046639757923e-06,-0.034057116381798966,-0.003,-0.004,-3.5337816548383616,-4.7105555836745165e-05,0.0,-4.7105555836745165e-05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.12,50.0,300.0,0.0,0.0048,0.0017,0.0033,0.0,0.044,-0.007,-0.003,1.0,-0.002,0.011,-0.024,-0.008,-0.002,0.027,-0.3,0.5,0.0
0,1762149263.2850547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,-0.002,0.003,0.999,0.0,0.0,-0.035,-0.003,0.005,0.002,0.0,0.002,-0.002,0.020899999999999967,-0.000166666666666665,-0.6477433481872278,0.9989959847832522,4.00215664804951e-06,0.00011423298546861318,-0.03511423252790757,-0.003,0.005,-3.529925665181278,0.0,9.421111167349033e-05,-9.421111167349033e-05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.12,50.0,300.0,0.0,0.0081,0.0034,0.0061,0.0,0.044,-0.007,-0.003,1.0,-0.002,0.01,-0.024,-0.002,-0.001,0.006,-0.1,0.0,0.0
0,1762149263.3147857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,-0.002,0.003,0.999,0.0,0.0,-0.034,0.006,-0.002,-0.003,0.005,-0.003,0.002,0.024199999999999985,-0.002733333333333329,-0.6495434774736751,0.9990038257737788,0.0002797507451282075,-0.00018106899853280868,-0.03388576490508026,0.006,-0.002,-3.5347456522526324,0.0002355277791837258,-0.00014131666751023545,9.421111167349033e-05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.12,50.0,300.0,0.0,0.0066,0.0033,0.0034,0.0,0.044,-0.007,-0.003,1.0,-0.002,0.011,-0.024,-0.003,0.001,0.006,-0.1,0.2,0.0
0,1762149263.339779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,-0.002,0.003,0.999,-0.0,0.0,-0.034,0.001,-0.001,-0.002,-0.005,-0.002,0.002,0.0223666666666667,-0.0023666666666666645,-0.6491834516163858,0.9990038339363516,-0.00028947026904574196,-0.0001045134607575778,-0.033885765182574155,0.001,-0.001,-3.5337816548383616,-0.0002355277791837258,-9.421111167349033e-05,9.421111167349033e-05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.12,50.0,300.0,0.0,0.0017,0.0013,0.0028,0.0,0.045,-0.007,-0.004,1.0,0.004,0.001,-0.024,0.014,0.004,-0.043,0.5,-0.9,-0.0
0,1762149263.3784323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,-0.001,0.003,0.999,0.0,0.0,-0.035,-0.004,0.006,-0.002,0.004,0.004,-0.004,0.02053333333333334,0.0012000000000000003,-0.6491834516163858,0.9989919173262813,0.0002364702790821858,0.00022046165283871088,-0.03522846322059416,-0.004,0.006,-3.5337816548383616,0.00018842222334698066,0.00018842222334698066,-0.00018842222334698066,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.12,50.0,300.0,0.0,0.0076,0.0016,0.0019,0.0,0.044,-0.007,-0.004,1.0,0.004,0.001,-0.024,0.0,0.002,-0.004,0.1,-0.2,-0.0
0,1762149263.412768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,-0.002,0.003,0.999,0.0,0.0,-0.034,0.007,-0.006,-0.002,0.001,-0.002,0.005,0.024566666666666688,-0.004199999999999995,-0.6491834516163858,0.9990096705477984,5.322868278133095e-05,-0.00011617688873433353,-0.03371441587292051,0.007,-0.006,-3.5337816548383616,4.7105555836745165e-05,-9.421111167349033e-05,0.0002355277791837258,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.12,50.0,300.0,0.0,0.0044,0.003,0.0047,0.0,0.044,-0.007,-0.003,1.0,-0.002,0.011,-0.024,-0.005,-0.001,0.017,-0.2,0.4,0.0
