Planned_Position_X,Planned_Position_Y,Planned_Position_Z,Control_Action_0,Control_Action_1,Control_Action_2,Control_Action_3
0.0,0.0,0.933,0.3342787415747661,0.335816922720503,0.3350263114898363,0.3366126474367493
5.349456402147395e-05,-3.344933490572221e-05,0.9342312624114466,0.2884891521842749,0.28868142071074276,0.28841817787980706,0.29024319000186216
8.260326449975257e-05,-6.70388034713205e-05,0.9376285566146251,0.27783313493145245,0.2779650210481861,0.278180724529827,0.27698798125620516
9.276697674059789e-05,-9.980774873418178e-05,0.9424263586650014,0.2793691018075781,0.2791215955637257,0.2789435720129175,0.27979629461942973
8.866266364399868e-05,-0.0001310286242038964,0.9477974310756985,0.284811106103412,0.2851346202362162,0.2852275277653824,0.2846606014007481
7.377286042057996e-05,-0.00016026862388122623,0.9531484681928662,0.2911773177084852,0.2908882969351714,0.29082050581022667,0.29126987801444454
5.082905189210839e-05,-0.0001871885834504569,0.9581378684668406,0.2959033753046371,0.29618868224576766,0.2962025225529669,0.29590120798058367
2.1988186333264194e-05,-0.0002115406134544541,0.9626173895754113,0.2996515951152188,0.2994357040092296,0.2994154879075894,0.2996815488489717
-1.0943994414685812e-05,-0.00023313501374483427,0.9665638336835402,0.30152627860879494,0.30172419683529494,0.3017187380820464,0.30153952520587946
-4.643676059784397e-05,-0.00025184156078371893,0.9700215349494576,0.3027024067274251,0.30256027714195516,0.30254982805705627,0.30271865508694573
-8.317385386950071e-05,-0.0002675898079264899,0.9730611218463702,0.3028921397619173,0.3030220755381441,0.30301430334563506,0.30290388958837705
-0.00012003275119339589,-0.0002803677269226973,0.9757542057548485,0.30298835805902813,0.3028976167209349,0.3028895587767754,0.30299895294058365
-0.0001560694616365292,-0.0002902173262650774,0.97816101280135,0.30278430427145187,0.30286820987545454,0.3028610857640007,0.30279269147314775
-0.0001905079948881491,-0.00029722761326840904,0.9803269614635742,0.3027679895599246,0.30271031028885503,0.30270375542372946,0.3027748658522195
-0.00022272787635348995,-0.00030152627067782557,0.9822842940759763,0.3027051534873901,0.3027586774895466,0.3027528145260299,0.3027104208046212
-0.0002522503321965859,-0.00030327126329694634,0.984055713662212,0.30282255304725364,0.30278567865827655,0.30278042047086323,0.30282648622588415
-0.0002787233263267624,-0.00030264317878726197,0.9856580835952433,0.3029151204519578,0.3029487733091973,0.30294409688449514,0.3029178146213367
-0.0003019065687709703,-0.0002998385901627351,0.9871052578285859,0.30309896373205353,0.3030750845512815,0.3030709515499579,0.3031006007257774
-0.00032165712423572635,-0.00029506443305758127,0.9884098200445061,0.30323578095297865,0.30325647873343237,0.3032528634151749,0.30323648467655634
-0.00033791600308170043,-0.00028853326387465926,0.9895839020547167,0.3034024201505504,0.30338658654112377,0.30338345851849563,0.30340232957743263
-0.00035069581627969986,-0.000280459243053743,0.9906393895902585,0.30351899711550123,0.30353126744552783,0.30352859801036475,0.30351822962419034
-0.00036006945814484744,-0.00027105472185719247,0.9915878109888898,0.3036420207556031,0.3036311364745513,0.30362889161133516,0.30364068924769794
-0.00036615974113921284,-0.0002605273473685388,0.9924401234362901,0.30372712103499017,0.3037339416895381,0.3037320892489434,0.30372532773263505
-0.00036912992249823047,-0.00024907763362765826,0.9932065214271268,0.303813889158877,0.3038060493127429,0.30380455500678394,0.303811727737627
-0.00036917508591578367,-0.00023689696173428957,0.9938963192751766,0.30387627620005103,0.3038796133874702,0.3038784441677618,0.30387383155777
-0.000366514357132215,-0.000224165980422107,0.9945179135599618,0.303940001520947,0.30393405225108444,0.3039331757736096,0.3039373497313053
-0.0003613839374148534,-0.00021105337763068535,0.9950788083237602,0.3039885369453874,0.3039896939540262,0.3039890788430104,0.30398574621686536
-0.0003540309344158919,-0.00019771499243951158,0.9955856794275344,0.30403788635879425,0.30403313813143673,0.3040327542508528,0.30403501612620576
-0.00034470796244096826,-0.0001842932338710905,0.9960444568452145,0.3040771390812433,0.30407698529479094,0.30407680418250327,0.3040742421649522
