0.011,0.009,0.0,1.0,-0.0,-0.0,0.004,-0.013,-0.003,0.001,-0.0,0.002,0.004
0.012,0.01,0.0,1.0,-0.0,-0.0,0.004,0.006,0.015,0.001,0.005,-0.007,-0.003
0.011,0.01,0.0,1.0,-0.0,-0.0,0.004,0.004,0.002,-0.0,0.003,-0.004,-0.001
0.012,0.01,-0.0,1.0,-0.0,-0.0,0.004,0.018,0.007,-0.01,-0.005,-0.0,-0.003
0.011,0.01,0.0,1.0,-0.0,-0.0,0.004,-0.014,-0.006,0.005,-0.003,0.006,0.005
0.011,0.01,0.001,1.0,-0.0,-0.0,0.004,-0.012,-0.0,0.026,0.001,-0.003,-0.001
0.012,0.011,0.005,1.0,-0.001,-0.0,0.004,0.045,0.044,0.122,-0.033,-0.003,0.003
0.012,0.011,0.005,1.0,-0.001,-0.0,0.004,0.045,0.044,0.122,-0.033,-0.003,0.003
0.012,0.011,0.021,1.0,-0.001,0.001,0.004,-0.014,0.009,0.507,-0.013,0.046,0.025
0.009,0.012,0.082,1.0,0.0,0.001,0.004,-0.096,-0.008,0.999,0.045,-0.019,0.001
0.006,0.008,0.121,1.0,0.001,0.001,0.005,-0.067,-0.12,1.167,0.056,0.018,0.073
0.006,0.008,0.121,1.0,0.001,0.001,0.005,-0.067,-0.12,1.167,0.056,0.018,0.073
0.004,0.008,0.159,1.0,0.002,0.001,0.005,-0.059,-0.009,1.133,0.057,-0.023,-0.017
0.01,0.006,0.202,1.0,0.003,0.002,0.005,0.182,-0.066,1.293,0.073,0.028,-0.005
0.014,0.002,0.239,1.0,0.003,0.001,0.005,0.097,-0.112,1.117,-0.009,-0.015,0.034
0.014,0.005,0.272,1.0,0.003,0.001,0.005,0.016,0.073,0.997,0.023,0.009,-0.031
0.017,0.002,0.299,1.0,0.003,0.001,0.005,0.071,-0.069,0.813,-0.038,-0.027,0.005
0.015,-0.003,0.336,1.0,0.001,0.003,0.006,-0.052,-0.149,1.096,-0.08,0.101,0.037
0.016,-0.007,0.356,1.0,0.001,0.002,0.006,0.026,-0.138,0.619,-0.032,-0.011,-0.01
0.015,-0.004,0.387,1.0,0.001,0.003,0.005,-0.015,0.084,0.915,-0.008,0.035,-0.049
0.018,-0.005,0.415,1.0,-0.0,0.004,0.005,0.086,-0.002,0.834,-0.066,0.051,0.008
0.019,-0.008,0.427,1.0,-0.001,0.004,0.005,0.017,-0.118,0.376,-0.016,-0.02,0.003
