Step,u0,u1,u2,u3,o_u0,o_u1,o_u2,o_u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz
1,0.4,0.398,0.4,0.399,0.23769371079157461,0.23664191015829414,0.23772024687773888,0.23748775120901996,0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,0.001,-0.002,0.002,0.021,-0.04,-0.017,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.393,0.4,0.394,0.395,0.28044265637879895,0.28306349652496354,0.2809520980210415,0.2811611895744765,0.033,-0.001,0.169,1.0,-0.001,-0.002,-0.026,-0.009,-0.002,0.0,0.061,0.079,-0.047,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.4,0.378,0.4,0.38,0.3023543006046313,0.29384702508525684,0.3025786695546895,0.2935489702596607,0.033,-0.002,0.17,1.0,-0.001,-0.012,-0.026,-0.013,-0.005,0.069,0.044,-0.59,-0.001,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.35,0.338,0.34,0.308,0.2895275052005105,0.2805996557219199,0.2853724190791184,0.2668635420400472,0.031,-0.002,0.188,0.999,0.005,-0.038,-0.028,-0.053,-0.02,0.524,0.548,-1.614,-0.137,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.125,0.063,0.1,0.05,0.18352439666210382,0.15156902570620734,0.1705715511309157,0.13988709738716765,0.025,-0.003,0.23,0.996,0.019,-0.087,-0.028,-0.181,-0.037,1.22,0.993,-2.881,-0.023,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.182,0.105,0.15,0.05,0.16211684680989125,0.11391007019816018,0.1421222872714959,0.08396425085460722,0.012,-0.006,0.296,0.988,0.036,-0.151,-0.026,-0.379,-0.083,1.925,1.247,-3.726,-0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.177,0.055,0.13,0.05,0.15066816912008127,0.07488163666111387,0.12065834310471438,0.059334736220637445,-0.008,-0.01,0.374,0.976,0.053,-0.21,-0.024,-0.576,-0.13,2.272,1.19,-3.708,0.05,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.11,0.05,0.092,0.05,0.11547734193819092,0.05543948511586608,0.09422239687484783,0.04848765465205686,-0.031,-0.015,0.448,0.966,0.063,-0.248,-0.022,-0.655,-0.138,2.191,0.705,-2.357,0.088,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.103,0.05,0.093,0.05,0.09679765135300626,0.04677188326803771,0.08288731640982898,0.043710200632267375,-0.054,-0.021,0.514,0.963,0.06,-0.261,-0.019,-0.694,-0.161,1.998,-0.014,-0.942,0.33,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.05,0.104,0.05,0.202,0.06498796522874123,0.06701449922296439,0.058862207105937835,0.1097428509859659,-0.078,-0.026,0.574,0.971,0.048,-0.233,-0.016,-0.723,-0.161,1.773,-0.579,1.481,0.275,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
