Step,u0,u1,u2,u3,o_u0,o_u1,o_u2,o_u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz
1,0.4,0.4,0.397,0.4,0.2375083790599352,0.2377205365083538,0.23654917936420608,0.2377205499001472,0.032,-0.006,0.168,1.0,-0.001,0.002,0.001,0.0,-0.0,-0.001,0.015,0.004,-0.027,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.397,0.397,0.4,0.4,0.2819562284305237,0.28219190990283954,0.2830210718397013,0.2835372163835532,0.032,-0.006,0.168,1.0,-0.002,0.002,0.001,-0.0,-0.001,-0.001,-0.053,0.011,-0.015,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.4,0.396,0.4,0.389,0.30302044240883874,0.30121999828471974,0.30348973801986623,0.29884345819250474,0.031,-0.006,0.169,1.0,-0.002,-0.002,0.001,-0.007,-0.005,0.025,0.007,-0.27,0.051,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.384,0.368,0.4,0.368,0.30515277206627595,0.2970499997998099,0.3124717492132779,0.29631164279932365,0.03,-0.006,0.18,1.0,-0.003,-0.027,0.003,-0.041,0.01,0.353,-0.15,-1.172,0.201,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.121,0.05,0.101,0.051,0.18834487860340202,0.15318188127981375,0.18296773078207193,0.15311386924262477,0.025,-0.006,0.214,0.996,-0.002,-0.084,0.002,-0.167,-0.008,1.055,0.056,-3.107,-0.027,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.124,0.05,0.176,0.05,0.13823220486893964,0.08981958592360216,0.15912062368606722,0.08978971703135984,0.012,-0.006,0.273,0.987,-0.01,-0.159,0.004,-0.393,-0.012,1.738,-0.375,-4.273,0.11,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.23,0.05,0.165,0.05,0.16366815208338353,0.06191352654416399,0.1439555941090453,0.06190037169052731,-0.013,-0.007,0.354,0.97,-0.004,-0.245,0.003,-0.702,-0.014,2.286,0.186,-4.725,-0.034,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.126,0.05,0.129,0.05,0.12847705958257122,0.049623176182240034,0.12128893964755785,0.04961737784011455,-0.044,-0.007,0.436,0.949,0.007,-0.314,0.004,-0.886,-0.023,2.371,0.494,-3.924,-0.18,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.138,0.05,0.079,0.05,0.11814174505655885,0.04421026659498561,0.08883977157813269,0.04420770111412464,-0.077,-0.008,0.512,0.938,0.027,-0.345,0.007,-0.98,-0.022,2.292,1.152,-1.991,-0.1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.05,0.153,0.05,0.059,0.07438717016249424,0.08800620262454983,0.06148205912217029,0.045893773892966,-0.112,-0.01,0.582,0.944,0.035,-0.327,0.013,-1.032,-0.031,2.091,0.641,1.089,0.016,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.05,0.126,0.05,0.163,0.05511680813738927,0.09512483363712791,0.04943315757274909,0.09303226003276183,-0.148,-0.011,0.644,0.961,0.036,-0.272,0.023,-1.079,-0.04,1.869,0.246,3.436,0.333,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.05,0.093,0.069,0.124,0.04662994310177673,0.08355197143983636,0.052776413534501077,0.09646054549153942,-0.185,-0.013,0.697,0.979,0.026,-0.203,0.025,-1.08,-0.038,1.583,-0.369,3.892,0.018,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.05,0.089,0.077,0.159,0.04289211343433836,0.07639917229528839,0.05763545715668427,0.11366701741728133,-0.223,-0.014,0.742,0.99,0.007,-0.136,0.018,-1.127,-0.04,1.337,-1.018,3.822,-0.238,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.05,0.063,0.169,0.098,0.04125040308428572,0.06160946078403519,0.10094838914346063,0.0937581255610906,-0.264,-0.015,0.777,0.996,-0.018,-0.091,0.015,-1.182,-0.037,1.068,-1.273,2.765,-0.038,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.139,0.05,0.127,0.064,0.08044605208214349,0.049489321384136004,0.10109951182677837,0.06990373311140967,-0.305,-0.016,0.806,0.996,-0.036,-0.083,0.018,-1.243,-0.036,0.871,-0.991,0.866,0.227,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.154,0.084,0.119,0.05,0.1044905203406662,0.05924396807789235,0.09771553406794956,0.053147979566617334,-0.348,-0.018,0.827,0.995,-0.035,-0.093,0.023,-1.274,-0.056,0.624,0.042,-0.38,0.17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.152,0.112,0.116,0.076,0.1141254514832311,0.0762462498055999,0.09487990438012163,0.057524646729077165,-0.391,-0.02,0.84,0.994,-0.018,-0.107,0.027,-1.286,-0.072,0.406,0.941,-0.643,0.169,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.112,0.172,0.085,0.109,0.10046695950741347,0.11061734591422705,0.07962762318089676,0.07403826604977602,-0.434,-0.022,0.846,0.995,0.005,-0.095,0.033,-1.278,-0.067,0.178,1.279,0.761,0.202,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.239,0.27,0.25,0.281,0.15090990256339037,0.1695260339840542,0.14665589703625004,0.15825476304046385,-0.476,-0.024,0.844,0.997,0.025,-0.06,0.036,-1.275,-0.069,-0.046,1.203,2.22,0.086,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.281,0.311,0.287,0.339,0.19205178946452792,0.21387046099916152,0.192765171795432,0.2214905203413065,-0.518,-0.026,0.835,0.999,0.026,0.002,0.039,-1.238,-0.059,-0.244,0.286,3.59,0.008,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.373,0.383,0.4,0.393,0.2513950410102455,0.2653804974169094,0.26373948572788275,0.2734142775256736,-0.559,-0.027,0.821,0.997,0.011,0.068,0.041,-1.221,-0.043,-0.381,-0.732,3.802,0.012,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.355,0.389,0.391,0.4,0.26940902733817046,0.29075764681490884,0.2910047787320369,0.2992578815440772,-0.6,-0.029,0.809,0.992,-0.013,0.117,0.045,-1.199,-0.037,-0.346,-1.302,3.105,0.182,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.4,0.351,0.37,0.34,0.29749344698456304,0.28485035995846864,0.29352971655450283,0.283800111622403,-0.635,-0.031,0.809,0.991,-0.019,0.122,0.047,-1.071,-0.043,-0.015,-0.494,0.723,0.106,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.136,0.135,0.126,0.119,0.19187864240535568,0.18564030988074978,0.18550782012112757,0.17803057068724726,-0.664,-0.032,0.829,0.993,-0.006,0.106,0.045,-0.858,-0.04,0.553,0.681,-0.724,-0.068,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.219,0.13,0.152,0.056,0.18252762753600404,0.13997975809669017,0.14976130036721497,0.10337408004631236,-0.686,-0.034,0.872,0.997,0.029,0.061,0.043,-0.664,-0.054,1.225,1.869,-2.388,0.021,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.149,0.123,0.109,0.05,0.14689417751871056,0.11642355723422618,0.11447780107145605,0.06788320551896246,-0.704,-0.037,0.932,0.997,0.068,0.017,0.04,-0.572,-0.105,1.724,2.162,-2.693,0.048,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
