Step,u0,u1,u2,u3,o_u0,o_u1,o_u2,o_u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz
1,0.4,0.397,0.396,0.393,0.2377199012554092,0.23622028587708427,0.23595096014391145,0.234609654100001,0.026,-0.005,0.169,1.0,-0.002,-0.001,-0.003,0.003,0.002,0.004,0.125,-0.07,-0.044,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.386,0.389,0.4,0.4,0.277436491047072,0.2779430576271579,0.2826985410955258,0.28216546517060953,0.026,-0.005,0.169,1.0,-0.004,-0.001,-0.003,-0.003,-0.004,0.003,-0.177,-0.059,0.01,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.4,0.393,0.388,0.382,0.30102971427499164,0.29827780837390727,0.2980525756271951,0.2950475773938252,0.026,-0.005,0.17,1.0,-0.001,-0.005,-0.002,-0.01,-0.004,0.053,-0.045,-0.206,0.03,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.378,0.311,0.387,0.323,0.3014445415297768,0.27040051903150186,0.304494354853703,0.2743456086624918,0.023,-0.005,0.186,0.999,-0.002,-0.048,-0.003,-0.078,-0.011,0.505,-0.082,-2.261,-0.041,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.137,0.05,0.138,0.05,0.1941634051253412,0.1414476891165567,0.19590290058548993,0.1431827776673603,0.015,-0.005,0.227,0.992,-0.006,-0.128,-0.003,-0.245,0.008,1.232,-0.235,-4.834,0.054,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.214,0.05,0.245,0.073,0.18109840103880254,0.08465153951274548,0.19566562956440914,0.09568869158994928,-0.004,-0.005,0.29,0.972,-0.021,-0.236,-0.005,-0.594,0.012,1.887,-0.844,-6.422,-0.036,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.183,0.05,0.183,0.05,0.1617297196212147,0.05963759693715676,0.16819798445882253,0.06449968856044341,-0.035,-0.003,0.366,0.941,-0.036,-0.338,-0.004,-0.882,0.037,2.182,-0.87,-6.158,0.101,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.127,0.05,0.143,0.05,0.12814745878240236,0.0486219897805215,0.13807161781356964,0.05076829319148276,-0.071,-0.001,0.438,0.917,-0.047,-0.397,-0.006,-1.03,0.055,2.116,-0.666,-3.921,0.051,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.059,0.05,0.05,0.05,0.08273570163770654,0.04376931141319721,0.08316465092194496,0.0447145849816949,-0.109,0.0,0.504,0.915,-0.048,-0.4,-0.009,-1.123,0.053,1.939,-0.119,-0.321,-0.177,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.05,0.187,0.05,0.181,0.058793674111744784,0.10271199858593694,0.05898257341363182,0.10056359842371272,-0.15,0.003,0.563,0.936,-0.045,-0.348,-0.01,-1.231,0.063,1.805,0.308,3.248,-0.234,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.05,0.114,0.05,0.113,0.048286261701878365,0.09618380833888489,0.04833374899628427,0.09495292364453385,-0.192,0.005,0.614,0.96,-0.04,-0.278,-0.012,-1.28,0.076,1.566,0.322,4.418,-0.128,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
