px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.266,1.475,2.617,0.988,0.142,-0.037,-0.048,-1.619,0.517,0.622,2.775,-1.363,0.088
0.259,1.477,2.619,0.987,0.147,-0.043,-0.048,-1.676,0.522,0.641,2.85,-1.656,0.176
0.253,1.479,2.622,0.986,0.152,-0.048,-0.047,-1.677,0.514,0.637,2.811,-1.774,0.262
0.246,1.481,2.625,0.985,0.155,-0.052,-0.045,-1.498,0.456,0.569,2.401,-1.573,0.329
0.239,1.483,2.627,0.985,0.157,-0.057,-0.043,-3.354,0.965,1.304,3.51,-4.189,1.824
0.232,1.485,2.63,0.985,0.157,-0.063,-0.041,-3.135,0.894,1.228,2.773,-4.067,1.786
0.225,1.487,2.633,0.985,0.156,-0.068,-0.04,-2.827,0.805,1.116,2.139,-3.736,1.639
0.218,1.489,2.636,0.985,0.152,-0.073,-0.038,-2.517,0.714,0.998,1.47,-3.33,1.525
0.212,1.491,2.639,0.985,0.147,-0.076,-0.037,-2.418,0.677,0.961,0.654,-3.04,1.514
0.205,1.492,2.642,0.986,0.142,-0.08,-0.034,-2.301,0.64,0.928,-0.003,-2.778,1.582
0.198,1.494,2.644,0.987,0.135,-0.084,-0.032,-2.172,0.603,0.883,-0.638,-2.626,1.606
0.191,1.496,2.647,0.987,0.13,-0.086,-0.029,-2.021,0.563,0.818,-0.928,-2.234,1.558
0.184,1.498,2.65,0.988,0.122,-0.089,-0.026,-1.945,0.538,0.786,-1.451,-2.024,1.62
0.177,1.5,2.653,0.989,0.115,-0.091,-0.024,-1.712,0.471,0.692,-1.46,-1.717,1.44
0.17,1.502,2.655,0.989,0.108,-0.094,-0.021,-3.228,0.848,1.28,-5.036,-2.917,3.436
0.163,1.503,2.658,0.99,0.101,-0.097,-0.02,-2.749,0.72,1.085,-4.359,-2.455,2.846
0.157,1.505,2.66,0.991,0.094,-0.099,-0.018,-3.707,0.962,1.417,-6.541,-2.822,3.473
0.15,1.507,2.663,0.991,0.089,-0.098,-0.016,-3.214,0.831,1.22,-5.58,-2.216,2.913
0.143,1.508,2.665,0.992,0.082,-0.097,-0.015,-4.383,1.112,1.642,-8.184,-1.284,3.622
0.136,1.51,2.668,0.992,0.076,-0.096,-0.013,-3.669,0.928,1.372,-6.824,-0.938,2.973
0.129,1.512,2.67,0.993,0.07,-0.093,-0.013,-3.261,0.817,1.219,-6.066,-0.46,2.411
0.123,1.513,2.673,0.994,0.066,-0.087,-0.014,-4.484,1.07,1.668,-6.994,2.57,1.717
0.116,1.514,2.675,0.995,0.063,-0.081,-0.016,-4.004,0.942,1.494,-5.958,2.762,1.141
0.109,1.516,2.678,0.995,0.063,-0.075,-0.017,-3.457,0.805,1.298,-4.762,2.699,0.799
0.102,1.517,2.681,0.996,0.063,-0.067,-0.02,-3.121,0.703,1.19,-3.867,2.979,0.235
0.096,1.518,2.684,0.996,0.066,-0.059,-0.022,-2.934,0.638,1.141,-2.814,3.43,-0.141
0.089,1.519,2.687,0.996,0.069,-0.05,-0.024,-2.685,0.557,1.062,-1.97,3.563,-0.4
0.082,1.52,2.69,0.996,0.071,-0.044,-0.028,-2.409,0.485,0.967,-1.471,3.303,-0.637
0.075,1.521,2.693,0.996,0.073,-0.04,-0.03,-2.355,0.454,0.981,-0.888,3.126,-0.86
0.068,1.522,2.696,0.996,0.077,-0.034,-0.033,-2.177,0.409,0.923,-0.374,3.042,-0.954
0.061,1.523,2.7,0.996,0.079,-0.028,-0.035,-2.124,0.374,0.916,-0.16,3.09,-1.061
0.054,1.524,2.703,0.996,0.081,-0.023,-0.036,-1.993,0.337,0.874,0.03,2.863,-0.96
0.048,1.525,2.706,0.995,0.086,-0.019,-0.037,-1.96,0.319,0.871,0.569,2.779,-0.945
0.041,1.526,2.71,0.995,0.092,-0.012,-0.039,-1.831,0.282,0.828,0.845,2.697,-0.989
0.034,1.526,2.713,0.994,0.097,-0.007,-0.04,-1.901,0.268,0.858,1.343,2.867,-0.915
0.027,1.527,2.716,0.994,0.102,-0.002,-0.041,-1.818,0.241,0.829,1.481,2.69,-0.897
0.02,1.527,2.719,0.993,0.11,0.003,-0.042,-1.846,0.225,0.843,2.094,2.738,-0.929
0.013,1.528,2.722,0.992,0.118,0.01,-0.044,-1.802,0.211,0.821,2.392,2.884,-0.978
0.006,1.529,2.725,0.991,0.127,0.014,-0.045,-1.785,0.195,0.809,2.794,2.788,-0.917
-0.001,1.529,2.728,0.99,0.134,0.019,-0.047,-1.709,0.177,0.765,2.789,2.583,-0.951
-0.007,1.53,2.731,0.989,0.138,0.024,-0.049,-1.719,0.163,0.765,2.697,2.58,-0.999
-0.014,1.53,2.734,0.988,0.146,0.026,-0.05,-1.717,0.153,0.758,2.877,2.314,-0.979
-0.021,1.53,2.737,0.987,0.151,0.029,-0.052,-1.72,0.146,0.747,2.836,2.163,-0.955
-0.028,1.531,2.74,0.986,0.157,0.03,-0.053,-1.661,0.13,0.718,2.744,1.817,-0.88
-0.035,1.531,2.743,0.985,0.163,0.028,-0.056,-1.741,0.127,0.738,2.986,1.163,-0.951
-0.042,1.532,2.746,0.984,0.167,0.027,-0.056,-1.73,0.124,0.732,2.741,0.864,-0.751
-0.049,1.532,2.749,0.983,0.17,0.025,-0.056,-1.677,0.112,0.704,2.506,0.518,-0.604
-0.056,1.532,2.752,0.983,0.172,0.018,-0.057,-1.679,0.107,0.712,2.219,-0.169,-0.395
-0.064,1.533,2.755,0.983,0.173,0.013,-0.055,-1.718,0.102,0.724,1.923,-0.607,-0.113
-0.071,1.533,2.758,0.983,0.173,0.005,-0.056,-1.756,0.087,0.757,1.526,-1.424,0.065
-0.078,1.533,2.761,0.984,0.172,-0.002,-0.055,-1.726,0.085,0.745,1.211,-1.758,0.253
-0.085,1.533,2.764,0.984,0.17,-0.011,-0.052,-1.665,0.073,0.721,0.828,-2.045,0.487
-0.092,1.533,2.767,0.984,0.168,-0.017,-0.051,-1.785,0.066,0.782,0.435,-2.338,0.696
-0.099,1.533,2.771,0.985,0.165,-0.022,-0.051,-1.763,0.051,0.775,0.115,-2.358,0.644
-0.106,1.533,2.774,0.985,0.164,-0.029,-0.049,-1.745,0.043,0.775,-0.027,-2.559,0.851
-0.113,1.533,2.777,0.985,0.161,-0.036,-0.047,-1.702,0.036,0.762,-0.187,-2.643,0.942
-0.12,1.533,2.78,0.986,0.158,-0.041,-0.046,-1.705,0.021,0.757,-0.449,-2.562,0.946
-0.127,1.533,2.783,0.986,0.154,-0.046,-0.043,-1.758,0.015,0.784,-0.785,-2.573,1.134
-0.134,1.533,2.786,0.987,0.148,-0.052,-0.041,-1.752,0.005,0.786,-1.167,-2.606,1.263
-0.141,1.533,2.79,0.988,0.141,-0.056,-0.039,-1.671,-0.001,0.749,-1.435,-2.395,1.228
-0.148,1.533,2.793,0.988,0.135,-0.06,-0.035,-1.753,-0.001,0.794,-1.851,-2.282,1.602
-0.156,1.533,2.796,0.989,0.128,-0.065,-0.034,-1.628,-0.01,0.734,-1.947,-2.14,1.411
-0.162,1.533,2.799,0.99,0.121,-0.068,-0.031,-2.021,-0.017,0.892,-2.951,-2.467,1.823
-0.17,1.532,2.802,0.99,0.114,-0.074,-0.029,-1.909,-0.021,0.838,-2.883,-2.401,1.729
-0.177,1.532,2.805,0.991,0.107,-0.076,-0.026,-1.906,-0.034,0.833,-3.023,-2.158,1.768
-0.184,1.532,2.808,0.991,0.101,-0.079,-0.024,-1.877,-0.034,0.81,-3.008,-2.051,1.728
-0.191,1.531,2.811,0.992,0.094,-0.081,-0.023,-1.828,-0.046,0.781,-3.034,-1.754,1.547
-0.198,1.531,2.814,0.993,0.088,-0.079,-0.021,-1.765,-0.05,0.753,-2.961,-1.257,1.442
-0.204,1.531,2.817,0.993,0.083,-0.078,-0.021,-1.749,-0.063,0.747,-2.874,-0.903,1.212
-0.211,1.53,2.82,0.994,0.078,-0.074,-0.021,-1.789,-0.078,0.774,-2.825,-0.286,0.977
-0.218,1.53,2.823,0.995,0.075,-0.068,-0.021,-1.709,-0.084,0.743,-2.48,0.298,0.766
-0.225,1.529,2.826,0.995,0.076,-0.062,-0.022,-1.722,-0.106,0.757,-1.933,0.789,0.446
-0.232,1.528,2.829,0.995,0.078,-0.054,-0.024,-1.698,-0.124,0.761,-1.404,1.416,0.097
-0.239,1.527,2.832,0.995,0.08,-0.048,-0.026,-1.719,-0.146,0.783,-0.989,1.716,-0.195
-0.245,1.526,2.836,0.995,0.084,-0.038,-0.028,-1.696,-0.163,0.794,-0.408,2.299,-0.462
-0.252,1.525,2.84,0.995,0.087,-0.031,-0.03,-1.65,-0.176,0.787,-0.094,2.456,-0.563
-0.259,1.524,2.843,0.995,0.091,-0.024,-0.032,-1.693,-0.193,0.824,0.298,2.659,-0.753
-0.266,1.523,2.847,0.995,0.093,-0.02,-0.033,-1.687,-0.201,0.844,0.494,2.571,-0.743
-0.273,1.522,2.85,0.995,0.095,-0.014,-0.034,-1.689,-0.218,0.846,0.551,2.585,-0.765
-0.279,1.521,2.854,0.994,0.099,-0.008,-0.037,-1.614,-0.214,0.819,0.692,2.513,-0.887
-0.286,1.52,2.858,0.994,0.102,-0.003,-0.039,-1.678,-0.239,0.867,0.853,2.614,-0.977
-0.293,1.519,2.862,0.994,0.106,0.003,-0.041,-1.664,-0.249,0.861,1.069,2.634,-1.013
-0.3,1.517,2.865,0.993,0.112,0.009,-0.044,-1.684,-0.269,0.881,1.404,2.713,-1.217
-0.307,1.516,2.869,0.992,0.119,0.014,-0.046,-1.637,-0.275,0.856,1.721,2.625,-1.18
-0.314,1.514,2.873,0.991,0.125,0.02,-0.049,-1.696,-0.302,0.897,2.076,2.771,-1.376
-0.321,1.513,2.876,0.99,0.132,0.026,-0.052,-1.651,-0.307,0.868,2.28,2.681,-1.403
-0.328,1.511,2.88,0.988,0.139,0.032,-0.055,-1.679,-0.324,0.884,2.518,2.815,-1.505
-0.334,1.51,2.883,0.987,0.146,0.036,-0.057,-1.638,-0.326,0.856,2.573,2.616,-1.448
-0.341,1.508,2.887,0.986,0.153,0.041,-0.059,-1.618,-0.329,0.843,2.697,2.502,-1.373
-0.348,1.507,2.89,0.985,0.157,0.043,-0.06,-1.695,-0.362,0.871,2.645,2.308,-1.291
-0.355,1.505,2.894,0.984,0.163,0.045,-0.061,-1.693,-0.373,0.873,2.732,2.011,-1.128
-0.362,1.503,2.897,0.983,0.166,0.045,-0.063,-1.641,-0.368,0.836,2.451,1.614,-0.987
-0.369,1.502,2.901,0.982,0.173,0.044,-0.061,-1.703,-0.389,0.874,2.778,1.291,-0.575
-0.376,1.5,2.904,0.981,0.178,0.041,-0.061,-1.693,-0.398,0.868,2.687,0.758,-0.389
-0.383,1.498,2.908,0.981,0.182,0.035,-0.06,-1.704,-0.409,0.879,2.596,0.088,-0.094
-0.39,1.496,2.911,0.981,0.184,0.031,-0.058,-1.655,-0.403,0.856,2.212,-0.249,0.122
-0.397,1.494,2.915,0.981,0.186,0.023,-0.056,-1.655,-0.415,0.867,2.058,-0.897,0.45
-0.404,1.492,2.919,0.981,0.187,0.018,-0.055,-1.714,-0.439,0.894,1.711,-1.217,0.58
-0.411,1.49,2.923,0.981,0.186,0.011,-0.052,-1.713,-0.446,0.911,1.342,-1.56,0.885
-0.418,1.488,2.927,0.981,0.186,0.007,-0.051,-1.634,-0.435,0.869,1.038,-1.558,0.849
-0.425,1.486,2.93,0.982,0.185,-0.0,-0.048,-1.634,-0.445,0.874,0.812,-1.865,1.071
-0.431,1.484,2.934,0.982,0.184,-0.006,-0.047,-1.612,-0.45,0.856,0.555,-2.033,1.019
-0.438,1.482,2.938,0.982,0.182,-0.011,-0.046,-1.829,-0.531,0.976,0.189,-2.352,1.199
-0.445,1.48,2.941,0.982,0.181,-0.017,-0.044,-1.735,-0.513,0.93,0.125,-2.343,1.177
-0.452,1.478,2.945,0.983,0.177,-0.022,-0.042,-1.738,-0.519,0.92,-0.339,-2.355,1.249
-0.459,1.475,2.948,0.983,0.176,-0.028,-0.04,-1.756,-0.53,0.931,-0.305,-2.403,1.361
-0.466,1.473,2.952,0.984,0.169,-0.033,-0.037,-1.761,-0.541,0.937,-0.924,-2.403,1.446
-0.473,1.471,2.956,0.985,0.166,-0.037,-0.035,-1.675,-0.521,0.883,-1.02,-2.224,1.434
-0.479,1.469,2.959,0.986,0.157,-0.039,-0.034,-1.711,-0.539,0.909,-1.753,-1.987,1.304
-0.486,1.466,2.963,0.987,0.151,-0.045,-0.031,-1.701,-0.536,0.891,-1.942,-2.156,1.402
-0.493,1.464,2.966,0.988,0.143,-0.046,-0.028,-1.735,-0.557,0.901,-2.391,-1.808,1.508
-0.5,1.462,2.969,0.989,0.137,-0.053,-0.026,-1.649,-0.533,0.847,-2.405,-1.962,1.477
-0.507,1.459,2.973,0.99,0.131,-0.055,-0.024,-1.724,-0.566,0.869,-2.6,-1.781,1.471
-0.514,1.457,2.976,0.99,0.124,-0.059,-0.023,-1.705,-0.569,0.848,-2.743,-1.764,1.414
-0.521,1.455,2.979,0.991,0.118,-0.061,-0.022,-1.706,-0.573,0.836,-2.783,-1.603,1.283
-0.527,1.452,2.982,0.992,0.111,-0.064,-0.021,-1.613,-0.543,0.79,-2.679,-1.509,1.123
-0.534,1.45,2.986,0.993,0.103,-0.059,-0.021,-1.711,-0.597,0.837,-3.167,-0.681,0.921
-0.541,1.447,2.989,0.993,0.097,-0.059,-0.024,-1.707,-0.614,0.823,-3.241,-0.548,0.505
-0.547,1.445,2.992,0.994,0.096,-0.052,-0.023,-1.675,-0.611,0.815,-2.67,0.187,0.413
