Step,u0,u1,u2,u3,o_u0,o_u1,o_u2,o_u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz
1,0.4,0.395,0.4,0.4,0.23772078360185167,0.23565531257352526,0.23772078362937918,0.23772077934685318,0.037,-0.002,0.169,1.0,-0.004,-0.004,-0.024,0.004,0.002,0.001,0.023,-0.036,-0.018,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.391,0.4,0.393,0.4,0.2795919180509491,0.28262624124930796,0.2803557913952718,0.28353777295641414,0.037,-0.002,0.169,1.0,-0.004,-0.003,-0.024,-0.001,0.002,0.007,-0.006,0.091,-0.011,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.4,0.359,0.4,0.348,0.3019795661107427,0.28520390389385947,0.30231607382826,0.2803498809965119,0.037,-0.002,0.17,1.0,-0.003,-0.01,-0.023,-0.021,-0.005,0.047,0.069,-0.508,0.127,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.386,0.311,0.4,0.344,0.30538493626852736,0.2644988811909646,0.31197449147346434,0.27746098523878826,0.035,-0.002,0.18,0.999,-0.006,-0.032,-0.023,-0.063,-0.001,0.341,-0.196,-1.628,-0.01,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.27,0.057,0.272,0.05,0.25533402801590854,0.1421590558350988,0.2591441901954307,0.14455479510079514,0.028,-0.002,0.221,0.993,-0.013,-0.114,-0.019,-0.202,0.004,1.077,-0.223,-4.259,0.147,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.158,0.05,0.189,0.05,0.18301122189326705,0.08496483733870266,0.19866808325083193,0.08601996708371167,0.012,-0.0,0.281,0.982,-0.023,-0.187,-0.015,-0.461,0.036,1.759,-0.383,-4.094,0.229,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.191,0.05,0.195,0.05,0.16613932167379641,0.05977540164071732,0.1746095570329885,0.06024010112841758,-0.009,0.002,0.347,0.974,-0.028,-0.224,-0.011,-0.692,0.056,2.205,-0.229,-2.468,0.236,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.05,0.4,0.05,0.4,0.09552621245671727,0.20516823298413234,0.09925666567657729,0.2053728915393546,-0.04,0.004,0.435,0.986,-0.023,-0.163,-0.009,-0.804,0.067,2.327,0.225,3.334,0.058,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.068,0.349,0.05,0.333,0.07258599937188734,0.24635082452612433,0.06606979815775003,0.23917691026045454,-0.067,0.007,0.507,0.999,-0.015,-0.033,-0.011,-0.816,0.072,2.176,0.367,7.296,-0.011,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.079,0.385,0.05,0.4,0.06708237071435906,0.28046534921906374,0.05145366306034365,0.2841801216813434,-0.094,0.009,0.572,0.989,-0.006,0.143,-0.019,-0.795,0.068,1.929,0.2,10.01,-0.435,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.05,0.128,0.196,0.334,0.051899625558843206,0.18088593158703511,0.11034291172871497,0.2743437820026458,-0.121,0.013,0.631,0.961,-0.048,0.269,-0.038,-0.808,0.119,1.77,-2.497,7.677,-1.359,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.05,0.05,0.4,0.255,0.04521284537216373,0.10202089952477254,0.22743914680348776,0.23485591935529213,-0.146,0.02,0.69,0.948,-0.151,0.278,-0.023,-0.746,0.217,1.754,-5.776,0.856,-0.856,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.4,0.05,0.4,0.072,0.19875453082992162,0.06728724373143516,0.27901055442004996,0.13563381872536423,-0.168,0.033,0.753,0.962,-0.244,0.119,0.034,-0.679,0.36,1.856,-5.59,-8.916,0.044,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
