px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.022,-0.035,0.056,1.0,0.012,0.007,0.001,0.001,0.001,0.002,-0.028,-0.033,-0.026
0.022,-0.035,0.056,1.0,0.013,0.007,0.001,0.001,0.001,-0.001,0.01,-0.004,-0.005
0.022,-0.035,0.056,1.0,0.01,0.006,0.002,0.005,-0.002,0.009,-0.241,-0.066,0.119
0.022,-0.035,0.056,1.0,0.013,0.007,0.001,0.001,0.0,0.003,0.027,0.001,0.027
0.022,-0.035,0.056,1.0,0.01,0.006,0.002,0.003,-0.001,0.011,-0.329,-0.077,0.143
0.022,-0.035,0.056,1.0,0.011,0.007,0.001,-0.001,-0.002,0.006,-0.166,0.033,0.027
0.022,-0.035,0.056,1.0,0.012,0.007,0.002,-0.001,0.001,0.001,-0.067,-0.014,0.047
0.022,-0.035,0.056,1.0,0.011,0.007,0.002,-0.001,0.001,0.001,-0.111,-0.013,0.039
0.022,-0.035,0.056,1.0,0.012,0.007,0.002,-0.0,-0.001,-0.002,0.04,0.013,0.06
0.022,-0.035,0.056,1.0,0.013,0.009,0.002,0.001,-0.002,-0.006,0.044,0.112,0.032
0.022,-0.035,0.056,1.0,0.011,0.007,0.002,-0.002,-0.005,0.008,-0.154,-0.089,0.003
0.022,-0.035,0.056,1.0,0.011,0.006,0.003,0.001,-0.004,0.007,-0.113,-0.167,0.085
0.022,-0.035,0.056,1.0,0.012,0.007,0.002,-0.002,-0.002,0.001,0.002,-0.064,0.01
0.022,-0.035,0.056,1.0,0.013,0.007,0.002,-0.003,0.0,-0.001,0.077,-0.028,0.002
0.022,-0.035,0.056,1.0,0.012,0.007,0.002,-0.002,-0.002,0.005,-0.012,0.01,0.002
0.022,-0.035,0.056,1.0,0.012,0.008,0.002,-0.002,-0.002,0.004,-0.015,0.021,0.005
0.022,-0.035,0.056,1.0,0.014,0.007,0.002,-0.001,0.005,0.004,0.21,-0.049,0.016
0.022,-0.035,0.056,1.0,0.013,0.007,0.002,0.001,0.0,-0.001,0.037,-0.026,-0.002
0.022,-0.035,0.056,1.0,0.014,0.007,0.002,0.002,0.0,0.0,0.103,-0.033,-0.017
0.022,-0.035,0.056,1.0,0.013,0.008,0.002,0.002,-0.001,-0.008,0.046,0.108,-0.02
