Step,u0,u1,u2,u3,o_u0,o_u1,o_u2,o_u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz
1,0.399,0.4,0.4,0.4,0.23707584255575626,0.237596524386091,0.237713898142814,0.23772049774868476,0.037,-0.002,0.169,1.0,-0.004,-0.003,-0.023,-0.002,-0.001,0.005,-0.014,0.098,0.021,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.4,0.384,0.4,0.386,0.2832484899524418,0.2763829771765672,0.28353276558097074,0.27724314471686273,0.037,-0.002,0.169,1.0,-0.004,-0.007,-0.023,-0.002,-0.002,0.002,-0.023,-0.323,0.029,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.4,0.393,0.398,0.393,0.30358727654806256,0.29722729341748944,0.3026919616691995,0.2976697068327955,0.036,-0.002,0.172,1.0,-0.003,-0.012,-0.024,-0.021,0.009,0.113,0.025,-0.673,-0.046,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.277,0.191,0.304,0.211,0.257365521097959,0.21629186564033695,0.2694193482835765,0.2256125165541009,0.034,-0.001,0.195,0.998,-0.015,-0.061,-0.021,-0.085,0.022,0.693,-0.508,-2.829,0.107,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.122,0.05,0.133,0.063,0.16807506912799453,0.11761438540381751,0.1780797227068951,0.1275003054864074,0.025,0.0,0.243,0.991,-0.03,-0.127,-0.019,-0.265,0.057,1.435,-0.754,-4.039,0.147,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.194,0.05,0.22,0.066,0.1608330570050138,0.07415489304920854,0.17683063552721745,0.0855741889579266,0.007,0.004,0.311,0.979,-0.044,-0.197,-0.016,-0.495,0.103,1.974,-0.602,-4.09,0.211,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.072,0.05,0.05,0.05,0.102952316627759,0.05501450780420679,0.10023486905846397,0.060043772481393635,-0.016,0.008,0.386,0.974,-0.041,-0.222,-0.012,-0.676,0.123,2.164,0.242,-1.65,0.017,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.069,0.115,0.081,0.05,0.0763398144685342,0.07544140221944165,0.08026291265864802,0.04880053267514099,-0.041,0.013,0.458,0.978,-0.03,-0.208,-0.005,-0.743,0.14,2.139,0.643,0.694,0.373,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.089,0.249,0.05,0.263,0.07355430466244879,0.14457022616640391,0.05770458512964241,0.1389764363014,-0.067,0.017,0.522,0.987,-0.012,-0.161,-0.001,-0.793,0.141,1.998,0.917,2.762,0.286,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.121,0.095,0.05,0.062,0.08635113722917662,0.10635760928824077,0.04777847779500727,0.088967034838864,-0.093,0.022,0.577,0.995,0.005,-0.104,0.002,-0.789,0.137,1.704,1.039,3.227,-0.03,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.078,0.187,0.064,0.226,0.07293589901151364,0.13062261287571114,0.049631511244449186,0.14022570100181153,-0.12,0.026,0.623,0.999,0.013,-0.047,-0.003,-0.815,0.135,1.427,0.57,3.435,-0.385,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.193,0.086,0.4,0.081,0.11838376479406268,0.09604976409412755,0.20070022177580005,0.09776970275788083,-0.148,0.031,0.663,1.0,0.009,-0.025,0.002,-0.819,0.143,1.189,-0.182,1.542,0.142,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.083,0.146,0.058,0.207,0.08903515433073544,0.10750420962806172,0.11439278768770451,0.13562082645841428,-0.177,0.037,0.696,1.0,-0.008,-0.012,0.01,-0.863,0.169,1.001,-0.889,0.609,0.452,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.4,0.126,0.4,0.125,0.21804997836624648,0.10357653680518061,0.2292227567272206,0.11576146574748941,-0.207,0.042,0.723,0.999,-0.023,-0.046,0.017,-0.911,0.16,0.833,-0.768,-1.85,0.342,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.055,0.05,0.062,0.05,0.12069343939526825,0.067973480414229,0.12875732325771347,0.07333911581914448,-0.238,0.047,0.745,0.995,-0.026,-0.091,0.026,-0.946,0.156,0.695,-0.101,-2.754,0.435,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.345,0.117,0.336,0.079,0.2075589696775562,0.08225821680700558,0.20673724850409173,0.06777500490015141,-0.271,0.052,0.763,0.987,-0.016,-0.157,0.039,-0.985,0.145,0.543,0.589,-3.848,0.53,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.05,0.23,0.061,0.235,0.1137682194199954,0.13927581686207724,0.11814667719795621,0.13490378913570822,-0.305,0.057,0.779,0.985,-0.012,-0.165,0.049,-1.031,0.152,0.497,0.382,-0.551,0.479,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.05,0.123,0.063,0.13,0.07246097820701117,0.11636755274833308,0.08017818696663817,0.11750490075673477,-0.338,0.062,0.792,0.995,-0.012,-0.088,0.053,-0.978,0.156,0.412,0.168,4.227,0.267,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.05,0.4,0.05,0.4,0.05426846408630663,0.23009251190710966,0.057667275003395656,0.23059342257766782,-0.37,0.068,0.805,0.995,-0.024,0.085,0.052,-0.963,0.171,0.383,-0.035,9.794,0.118,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.176,0.247,0.311,0.268,0.10275686544971212,0.21175587367596285,0.16436488376089137,0.22124116308775887,-0.402,0.074,0.815,0.968,-0.038,0.24,0.053,-0.959,0.183,0.288,-0.277,9.123,0.323,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.236,0.213,0.156,0.204,0.1507805908523454,0.1886266673244203,0.14222657070873826,0.1887441093974005,-0.433,0.08,0.821,0.946,-0.044,0.316,0.053,-0.909,0.189,0.228,-0.163,4.643,0.273,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.363,0.073,0.4,0.097,0.22869842821807554,0.11557283492196957,0.24148132448859125,0.126272836721583,-0.459,0.087,0.833,0.972,-0.04,0.226,0.059,-0.812,0.216,0.361,-0.264,-4.852,0.13,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.4,0.211,0.317,0.144,0.27956510471681817,0.145399648272785,0.24817502312583523,0.12017937526324161,-0.482,0.095,0.85,0.998,0.005,0.029,0.054,-0.705,0.21,0.49,1.87,-11.115,-0.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.265,0.131,0.259,0.05,0.24165567079730507,0.12246935513609747,0.22503242047805574,0.07528456255362302,-0.506,0.101,0.867,0.984,0.063,-0.155,0.054,-0.713,0.196,0.517,2.872,-10.766,0.041,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.117,0.195,0.05,0.102,0.1589124813277509,0.14127664180635074,0.12146391659117294,0.0785493545467846,-0.529,0.105,0.888,0.973,0.11,-0.193,0.061,-0.698,0.125,0.622,2.787,-2.593,-0.08,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.05,0.273,0.05,0.4,0.09234343282251015,0.18448233321142915,0.07585289614091477,0.21343658350446504,-0.553,0.107,0.915,0.988,0.107,-0.081,0.075,-0.728,0.052,0.819,0.434,6.424,-0.034,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.103,0.387,0.193,0.4,0.08667530409879802,0.25406453699178955,0.11990596593190371,0.27284358604602144,-0.576,0.107,0.943,0.986,0.054,0.129,0.089,-0.705,0.024,0.807,-1.906,11.952,-0.322,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.083,0.219,0.28,0.308,0.07506071659437608,0.209733219057063,0.1782141461339318,0.2579096722790365,-0.6,0.108,0.964,0.942,-0.036,0.318,0.105,-0.709,0.019,0.662,-4.132,11.7,-0.276,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.05,0.137,0.151,0.199,0.055413513092676524,0.15383645798832277,0.1460309998749929,0.2024546726356951,-0.622,0.11,0.984,0.903,-0.11,0.396,0.127,-0.648,0.055,0.63,-4.047,5.371,0.07,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.4,0.05,0.283,0.061,0.20324718138687242,0.09010779021829884,0.19076396574853577,0.1163186970487814,-0.634,0.113,1.009,0.93,-0.128,0.317,0.136,-0.397,0.116,0.746,-1.63,-4.062,-0.642,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.4,0.23,0.262,0.104,0.26835597704598546,0.1424918544264484,0.20107769181249274,0.09782318794478331,-0.641,0.118,1.036,0.975,-0.059,0.171,0.128,-0.236,0.14,0.813,2.856,-9.149,-0.659,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.4,0.348,0.38,0.123,0.29703113512788787,0.21818893738223682,0.2583961303578804,0.09828632978899914,-0.647,0.122,1.06,0.991,0.076,-0.027,0.107,-0.176,0.104,0.687,6.278,-12.023,-0.711,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.268,0.119,0.133,0.05,0.25074578906860645,0.1491491648022321,0.1733175811172672,0.06564253055562635,-0.652,0.124,1.078,0.961,0.204,-0.165,0.085,-0.17,0.047,0.563,6.412,-9.381,-0.755,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.091,0.063,0.088,0.05,0.1513227239888601,0.09387140912055336,0.11566452439958544,0.0512654855467212,-0.66,0.121,1.099,0.943,0.252,-0.211,0.061,-0.236,-0.066,0.656,2.278,-3.551,-1.195,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.05,0.078,0.05,0.4,0.0890007264759978,0.07610823406983762,0.07329617773022987,0.20142023570974313,-0.672,0.111,1.128,0.965,0.214,-0.147,0.033,-0.374,-0.299,0.874,-2.594,3.155,-1.816,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.05,0.354,0.311,0.337,0.061555055781823784,0.19196481719959244,0.17114230408217268,0.23947402902573223,-0.686,0.097,1.158,0.994,0.107,-0.025,0.02,-0.409,-0.415,0.885,-6.104,7.015,-1.603,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.265,0.307,0.316,0.4,0.1457006684276938,0.22190167804521066,0.21681125301444815,0.28431097868742927,-0.699,0.082,1.178,0.992,-0.01,0.121,0.017,-0.406,-0.45,0.624,-6.591,8.504,-0.885,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.101,0.152,0.105,0.17,0.10934545457282,0.16566079952771162,0.14244281419384883,0.20112822960258225,-0.712,0.065,1.193,0.974,-0.074,0.215,0.019,-0.41,-0.503,0.477,-3.669,5.7,-0.644,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.4,0.227,0.237,0.173,0.22699559906024958,0.1742518396170604,0.16849634493355548,0.16601795807152492,-0.723,0.049,1.211,0.975,-0.067,0.214,0.001,-0.319,-0.507,0.581,0.42,0.294,-0.788,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.4,0.303,0.315,0.128,0.2788152377130616,0.21200868319605143,0.2151632509701345,0.1305269482056621,-0.729,0.032,1.238,0.993,0.006,0.118,-0.023,-0.188,-0.499,0.778,4.235,-5.157,-0.79,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.266,0.135,0.205,0.05,0.24154744067107536,0.15385416331959292,0.1865283813123053,0.07984183629682454,-0.734,0.015,1.264,0.994,0.091,-0.025,-0.047,-0.157,-0.502,0.758,5.037,-7.987,-0.74,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.218,0.077,0.158,0.05,0.20393635581525388,0.10211386085353093,0.1529166524496935,0.0575192041565729,-0.74,-0.003,1.29,0.978,0.135,-0.142,-0.076,-0.182,-0.534,0.804,2.748,-6.957,-1.248,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.088,0.05,0.143,0.275,0.12922417393974264,0.06732817747368837,0.13110257189680397,0.14829942105635158,-0.748,-0.023,1.323,0.972,0.102,-0.18,-0.113,-0.252,-0.588,0.958,-1.751,-3.021,-1.562,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.05,0.077,0.187,0.305,0.07926806852899225,0.06427680759821655,0.14131872899539474,0.2016745939428818,-0.758,-0.042,1.356,0.981,0.017,-0.123,-0.147,-0.283,-0.602,0.995,-5.405,2.155,-1.386,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.05,0.4,0.249,0.319,0.05726644175964758,0.20715073876373505,0.1735812265687424,0.23127310540852034,-0.767,-0.062,1.384,0.982,-0.082,-0.006,-0.169,-0.276,-0.616,0.865,-6.694,5.61,-0.631,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.237,0.123,0.155,0.204,0.13138439526743678,0.1463011965441567,0.14593491705030714,0.19300336124348114,-0.777,-0.083,1.409,0.972,-0.131,0.085,-0.177,-0.31,-0.615,0.744,-3.945,4.84,-0.133,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.4,0.352,0.144,0.165,0.23670617866335247,0.22176532045992917,0.12875512175536444,0.15855811584938626,-0.789,-0.103,1.431,0.97,-0.096,0.108,-0.193,-0.346,-0.614,0.686,1.546,2.107,-0.76,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
