Step,u0,u1,u2,u3,o_u0,o_u1,o_u2,o_u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz
19,0.4,0.268,0.077,0.05,0.2228801924441583,0.2076989124868994,0.08179163217034727,0.08527466296245487,-0.531,-0.066,1.11,0.985,-0.05,-0.008,-0.167,-1.589,-0.11,1.384,5.28,2.637,0.835,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.4,0.359,0.05,0.05,0.2770027333624012,0.25181232772869877,0.05837786092331816,0.05991185478715261,-0.585,-0.071,1.153,0.978,0.129,-0.03,-0.164,-1.645,-0.137,1.304,10.004,0.725,0.127,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.276,0.164,0.275,0.05,0.24556154234707422,0.18434662023506565,0.14882351307836167,0.048741774331669256,-0.642,-0.076,1.192,0.948,0.251,-0.091,-0.173,-1.729,-0.154,1.215,8.162,-2.445,-0.51,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.05,0.05,0.183,0.05,0.1305052956812764,0.10354518325403289,0.14757191077901582,0.043825148001067946,-0.7,-0.081,1.232,0.947,0.238,-0.128,-0.177,-1.787,-0.171,1.25,-0.414,-2.154,0.525,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.05,0.05,0.316,0.4,0.07983229687719387,0.06795854406156557,0.20624935362081565,0.19814344206025408,-0.758,-0.089,1.276,0.969,0.088,-0.097,-0.208,-1.822,-0.228,1.332,-9.64,0.03,-0.541,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.05,0.05,0.327,0.4,0.057514931900353956,0.05228550252781829,0.2368501545659651,0.2661081919076752,-0.815,-0.095,1.316,0.964,-0.131,0.017,-0.232,-1.81,-0.22,1.252,-14.403,3.688,-0.924,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.05,0.05,0.222,0.4,0.04768596137424838,0.04538323862156627,0.20340647000505857,0.29604117070363517,-0.871,-0.104,1.347,0.895,-0.318,0.169,-0.264,-1.689,-0.256,0.957,-13.443,6.206,-1.638,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.242,0.4,0.167,0.335,0.12938225901577616,0.19882965251598653,0.16404615200550682,0.27995549751236587,-0.925,-0.113,1.371,0.807,-0.4,0.314,-0.301,-1.636,-0.272,0.784,-8.06,8.02,-1.312,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.308,0.4,0.152,0.137,0.19490547470757583,0.26641041221693706,0.14002795559654127,0.18456701212664017,-0.971,-0.119,1.396,0.78,-0.338,0.382,-0.363,-1.413,-0.174,0.77,1.888,6.398,-0.378,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.4,0.391,0.122,0.05,0.2646821264146369,0.29229107455347053,0.1163126466012728,0.10364212169291662,-1.009,-0.122,1.423,0.834,-0.148,0.299,-0.44,-1.172,-0.122,0.831,13.012,0.436,0.297,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.4,0.391,0.05,0.05,0.29541309111044123,0.3034194757238226,0.07358223775464318,0.06800127329536731,-1.045,-0.124,1.446,0.859,0.089,0.111,-0.491,-1.123,-0.083,0.694,17.947,-3.122,0.493,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.365,0.175,0.092,0.05,0.29310100780447007,0.211698054334081,0.07365109817236179,0.052304327495728165,-1.08,-0.127,1.465,0.822,0.233,-0.063,-0.515,-1.057,-0.089,0.616,12.863,-4.714,-0.324,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.098,0.05,0.248,0.122,0.1730323229723677,0.11559115202018522,0.14320627095973484,0.07747490563064281,-1.114,-0.131,1.492,0.798,0.209,-0.13,-0.55,-1.057,-0.156,0.82,1.546,-4.934,-1.217,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.05,0.05,0.4,0.4,0.0985620206881144,0.07326382199598222,0.2419128012588414,0.21296344114428095,-1.148,-0.138,1.525,0.808,0.013,-0.055,-0.586,-1.073,-0.197,1.015,-12.009,-3.455,-0.638,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
