Step,u0,u1,u2,u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz
1,-0.058,-0.109,0.4,0.002,0.016,-0.013,0.038,0.999,0.012,0.031,0.006,-0.0,-0.0,-0.003,0.141,-0.003,0.003,0.0,0.0,1.010475089036893,1.0,0.0,0.0,0.0,0.0,0.0,0.31418369922398437,0.0,0.0,0.0
2,-0.038,-0.11,0.4,-0.0,0.016,-0.013,0.039,0.999,0.01,0.031,0.005,-0.0,0.002,0.011,0.001,0.014,-0.02,0.0,0.0,1.0209455799482656,1.0,0.0,0.0,0.0,0.0,0.0,0.313976813851341,0.0,0.0,0.0
3,0.002,-0.062,0.4,0.003,0.016,-0.013,0.046,1.0,0.006,0.024,0.006,0.019,0.006,0.222,-0.274,-0.328,0.025,0.0,0.0,1.0314068766269824,1.0,0.0,0.0,0.0,0.0,0.0,0.31363210580288237,0.0,0.0,0.0
4,-0.001,0.047,0.4,0.005,0.018,-0.012,0.071,1.0,0.003,0.005,0.006,0.063,0.012,0.734,-0.099,-0.978,0.045,0.0,0.0,1.0418543870017911,1.0,0.0,0.0,0.0,0.0,0.0,0.3131497263910077,0.0,0.0,0.0
5,0.005,0.035,0.353,0.0,0.022,-0.012,0.116,1.0,-0.0,-0.004,0.006,0.107,0.015,1.327,-0.047,-0.698,-0.026,0.0,0.0,1.0522835250530496,1.0,0.0,0.0,0.0,0.0,0.0,0.3125298873600757,0.0,0.0,0.0
6,0.003,-0.008,0.233,-0.001,0.026,-0.011,0.181,1.0,0.001,-0.008,0.005,0.13,0.034,1.927,-0.002,-0.221,-0.044,0.0,0.0,1.0626897128257962,1.0,0.0,0.0,0.0,0.0,0.0,0.3117728607934722,0.0,0.0,0.0
7,-0.023,-0.076,0.113,0.001,0.031,-0.009,0.262,1.0,0.005,0.001,0.005,0.147,0.04,2.429,0.259,0.351,-0.018,0.0,0.0,1.073068382439281,1.0,0.0,0.0,0.0,0.0,0.0,0.31087897899416905,0.0,0.0,0.0
8,-0.002,-0.045,0.05,-0.003,0.037,-0.008,0.354,1.0,0.004,0.001,0.004,0.159,0.047,2.73,0.083,-0.006,-0.059,0.0,0.0,1.083414978092074,1.0,0.0,0.0,0.0,0.0,0.0,0.3098486343388507,0.0,0.0,0.0
9,0.021,-0.048,0.05,-0.001,0.042,-0.006,0.45,1.0,0.002,0.001,0.004,0.165,0.063,2.893,-0.161,0.029,-0.027,0.0,0.0,1.093724958061871,1.0,0.0,0.0,0.0,0.0,0.0,0.3086822791056787,0.0,0.0,0.0
10,0.022,-0.009,0.05,-0.001,0.048,-0.004,0.543,1.0,0.001,-0.009,0.004,0.177,0.056,2.867,-0.17,-0.346,-0.033,0.0,0.0,1.1039937966991193,1.0,0.0,0.0,0.0,0.0,0.0,0.3073804252757706,0.0,0.0,0.0
11,-0.011,-0.016,0.05,-0.002,0.053,-0.002,0.628,1.0,0.005,-0.011,0.004,0.181,0.055,2.653,0.203,-0.219,-0.059,0.0,0.0,1.1142169864135891,1.0,0.0,0.0,0.0,0.0,0.0,0.3059436443084562,0.0,0.0,0.0
12,0.012,0.004,0.05,0.004,0.059,-0.0,0.704,1.0,0.005,-0.017,0.005,0.172,0.052,2.345,-0.117,-0.357,0.034,0.0,0.0,1.1243900396530164,1.0,0.0,0.0,0.0,0.0,0.0,0.30437256689041847,0.0,0.0,0.0
13,-0.009,-0.021,0.05,0.003,0.065,0.002,0.771,1.0,0.009,-0.017,0.004,0.176,0.055,2.051,0.114,-0.03,0.016,0.0,0.0,1.1345084908729504,1.0,0.0,0.0,0.0,0.0,0.0,0.302667882658868,0.0,0.0,0.0
14,0.002,-0.025,0.05,-0.001,0.07,0.003,0.829,1.0,0.008,-0.016,0.003,0.17,0.059,1.788,-0.02,0.02,-0.032,0.0,0.0,1.144567898496941,1.0,0.0,0.0,0.0,0.0,0.0,0.30083033989881214,0.0,0.0,0.0
15,-0.001,-0.028,0.051,-0.004,0.076,0.005,0.879,1.0,0.008,-0.016,0.002,0.175,0.05,1.527,0.002,0.008,-0.067,0.0,0.0,1.1545638468662045,1.0,0.0,0.0,0.0,0.0,0.0,0.29886074521459416,0.0,0.0,0.0
16,-0.004,-0.015,0.08,-0.001,0.082,0.006,0.919,1.0,0.009,-0.018,0.002,0.168,0.048,1.246,0.017,-0.141,-0.029,0.0,0.0,1.164491948177914,1.0,0.0,0.0,0.0,0.0,0.0,0.2967599631758133,0.0,0.0,0.0
17,0.007,-0.019,0.121,0.001,0.087,0.008,0.951,1.0,0.008,-0.019,0.002,0.161,0.047,0.969,-0.129,-0.038,-0.004,0.0,0.0,1.1743478444112587,1.0,0.0,0.0,0.0,0.0,0.0,0.2945289159378284,0.0,0.0,0.0
18,-0.01,0.001,0.155,-0.01,0.093,0.009,0.975,1.0,0.009,-0.024,0.001,0.168,0.043,0.729,0.066,-0.205,-0.143,0.0,0.0,1.1841272092404358,1.0,0.0,0.0,0.0,0.0,0.0,0.29216858283697134,0.0,0.0,0.0
19,-0.026,0.004,0.196,0.002,0.098,0.011,0.99,1.0,0.011,-0.026,0.002,0.17,0.046,0.495,0.225,-0.182,0.015,0.0,0.0,1.1938257499337235,1.0,0.0,0.0,0.0,0.0,0.0,0.2896799999606481,0.0,0.0,0.0
20,-0.01,-0.005,0.226,0.006,0.103,0.012,1.0,1.0,0.011,-0.026,0.003,0.158,0.041,0.315,-0.02,-0.015,0.07,0.0,0.0,1.2034392092378123,1.0,0.0,0.0,0.0,0.0,0.0,0.2870642596925588,0.0,0.0,0.0
21,0.005,-0.016,0.251,0.005,0.109,0.014,1.005,1.0,0.008,-0.025,0.003,0.152,0.042,0.171,-0.122,0.101,0.051,0.0,0.0,1.2129633672465607,1.0,0.0,0.0,0.0,0.0,0.0,0.28432251023315813,0.0,0.0,0.0
22,0.003,-0.001,0.26,0.002,0.113,0.015,1.009,1.0,0.007,-0.026,0.003,0.143,0.042,0.119,-0.059,-0.035,0.007,0.0,0.0,1.2223940432533562,1.0,0.0,0.0,0.0,0.0,0.0,0.2814559550956719,0.0,0.0,0.0
23,0.005,0.024,0.262,0.001,0.118,0.016,1.013,1.0,0.006,-0.029,0.002,0.133,0.035,0.133,-0.075,-0.247,0.006,0.0,0.0,1.2317270975862722,1.0,0.0,0.0,0.0,0.0,0.0,0.2784658525777861,0.0,0.0,0.0
24,-0.013,0.004,0.25,0.0,0.122,0.017,1.02,1.0,0.008,-0.028,0.002,0.122,0.041,0.22,0.119,-0.026,-0.008,0.0,0.0,1.2409584334252086,1.0,0.0,0.0,0.0,0.0,0.0,0.27535351520931894,0.0,0.0,0.0
