Step,u0,u1,u2,u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz
25,-0.01,0.009,0.028,-0.002,0.092,0.046,1.303,0.999,0.025,-0.03,0.014,0.066,0.1,-0.883,0.085,-0.239,-0.061,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.021,0.096,0.397,-0.015,0.094,0.05,1.264,0.999,0.024,-0.033,0.014,0.122,0.198,-2.507,-0.15,-0.875,-0.277,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.03,0.101,0.296,-0.001,0.096,0.053,1.215,0.999,0.022,-0.039,0.014,0.071,0.121,-1.75,-0.22,-0.601,-0.026,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,-0.014,-0.07,0.373,-0.001,0.098,0.056,1.158,0.999,0.023,-0.029,0.014,0.071,0.103,-1.801,0.052,0.73,-0.019,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,-0.058,-0.114,0.349,0.006,0.1,0.059,1.105,0.999,0.028,-0.018,0.016,0.053,0.075,-1.541,0.189,0.718,0.081,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.009,0.163,0.5,0.013,0.101,0.061,1.054,0.999,0.026,-0.028,0.018,0.04,0.108,-2.732,-0.479,-1.213,0.144,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.033,0.169,0.388,0.003,0.101,0.062,1.021,0.999,0.021,-0.039,0.016,0.003,0.051,-1.284,-0.389,-0.785,0.022,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,-0.002,-0.011,0.337,-0.001,0.101,0.063,1.002,0.999,0.019,-0.033,0.016,-0.009,0.023,-0.824,-0.11,0.463,-0.024,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,-0.07,-0.157,0.176,-0.005,0.1,0.062,0.999,1.0,0.024,-0.012,0.014,-0.029,-0.014,-0.064,0.297,1.163,-0.065,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,-0.021,-0.021,0.038,-0.001,0.098,0.061,1.014,1.0,0.023,-0.011,0.013,-0.048,-0.033,0.415,-0.041,0.131,-0.045,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.018,0.084,0.001,0.001,0.096,0.06,1.034,1.0,0.018,-0.021,0.012,-0.062,-0.046,0.658,-0.392,-0.811,-0.026,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.029,0.149,0.001,0.009,0.094,0.058,1.058,0.999,0.01,-0.036,0.014,-0.081,-0.055,0.78,-0.398,-1.185,0.131,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,-0.044,-0.053,0.0,-0.009,0.092,0.055,1.079,1.0,0.015,-0.02,0.013,-0.049,-0.069,0.576,0.245,0.871,-0.117,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,-0.053,-0.097,0.001,-0.0,0.091,0.053,1.09,1.0,0.018,-0.006,0.013,-0.061,-0.08,0.372,0.182,1.076,-0.002,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,-0.039,-0.089,0.029,-0.005,0.089,0.051,1.092,1.0,0.018,0.006,0.011,-0.064,-0.086,0.091,-0.069,0.722,-0.096,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.006,0.029,0.079,0.002,0.087,0.049,1.088,1.0,0.013,-0.001,0.012,-0.082,-0.065,-0.122,-0.388,-0.337,-0.008,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.033,0.168,0.171,0.007,0.083,0.047,1.073,1.0,0.004,-0.018,0.013,-0.094,-0.068,-0.455,-0.457,-1.17,0.095,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,-0.027,0.077,0.249,-0.002,0.081,0.045,1.051,1.0,0.005,-0.015,0.012,-0.075,-0.078,-0.726,0.106,-0.126,-0.02,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,-0.073,-0.058,0.306,-0.008,0.08,0.043,1.026,1.0,0.01,-0.0,0.01,-0.05,-0.075,-0.846,0.355,0.709,-0.097,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,-0.042,-0.164,0.333,-0.009,0.078,0.04,0.994,1.0,0.01,0.022,0.009,-0.05,-0.073,-0.969,0.008,1.036,-0.127,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.052,0.034,0.36,0.011,0.077,0.038,0.963,1.0,0.001,0.012,0.012,-0.057,-0.061,-0.969,-0.531,-0.457,0.173,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.062,0.199,0.365,0.003,0.075,0.036,0.934,1.0,-0.005,-0.008,0.013,-0.042,-0.063,-0.769,-0.419,-1.277,0.058,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,-0.002,0.123,0.325,-0.005,0.074,0.034,0.918,1.0,-0.003,-0.013,0.013,-0.02,-0.058,-0.523,0.086,-0.434,-0.06,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,-0.059,-0.012,0.295,-0.005,0.074,0.033,0.913,1.0,0.005,-0.002,0.012,0.001,-0.053,-0.231,0.41,0.53,-0.048,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,-0.023,-0.112,0.211,-0.002,0.076,0.032,0.917,1.0,0.007,0.018,0.011,0.03,-0.039,0.123,0.093,0.948,-0.025,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.036,-0.006,0.13,0.003,0.077,0.03,0.93,1.0,0.002,0.019,0.012,0.048,-0.03,0.379,-0.345,-0.008,0.047,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.066,0.053,0.076,0.002,0.08,0.03,0.949,1.0,-0.005,0.015,0.013,0.082,-0.023,0.578,-0.49,-0.605,0.027,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,-0.03,-0.082,0.027,-0.004,0.083,0.029,0.97,1.0,0.002,0.022,0.012,0.134,-0.054,0.768,0.21,0.589,-0.081,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,-0.047,-0.022,0.035,0.001,0.087,0.028,0.987,1.0,0.009,0.021,0.011,0.117,-0.028,0.567,0.389,0.109,-0.004,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.037,0.086,0.064,0.002,0.09,0.027,0.999,1.0,0.002,0.009,0.012,0.111,-0.018,0.385,-0.384,-0.739,0.002,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.077,0.088,0.107,-0.002,0.094,0.027,1.004,1.0,-0.005,0.0,0.012,0.167,-0.017,0.171,-0.602,-0.656,-0.058,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.044,-0.005,0.164,0.0,0.098,0.026,1.0,1.0,-0.007,0.007,0.012,0.137,-0.016,-0.082,-0.139,0.399,-0.012,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,-0.046,-0.091,0.239,-0.0,0.103,0.025,0.989,1.0,0.002,0.022,0.01,0.138,-0.029,-0.317,0.491,0.853,-0.016,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,-0.084,-0.042,0.291,-0.005,0.107,0.024,0.972,1.0,0.011,0.026,0.008,0.133,-0.028,-0.524,0.516,0.215,-0.109,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,-0.01,0.077,0.351,0.002,0.111,0.024,0.95,1.0,0.009,0.017,0.008,0.129,-0.015,-0.653,-0.137,-0.58,0.001,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.104,0.132,0.389,0.003,0.116,0.024,0.929,1.0,-0.002,0.008,0.01,0.161,-0.012,-0.736,-0.804,-0.808,-0.003,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.1685393258426937,0.0,0.0,9.992007221626409e-14
61,0.077,-0.035,0.368,0.001,0.122,0.023,0.912,1.0,-0.007,0.017,0.01,0.181,-0.012,-0.524,-0.376,0.419,-0.033,0.016853932584269662,0.0,1.0056179775280898,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.16853932584269704,0.0,0.0,4.9960036108132044e-14
62,-0.081,-0.126,0.334,-0.001,0.129,0.023,0.904,1.0,0.005,0.029,0.009,0.236,-0.011,-0.241,0.666,0.773,-0.065,0.033707865168539325,0.0,1.0112359550561798,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.16853932584269704,0.0,0.0,0.0
63,-0.094,-0.008,0.252,0.002,0.138,0.023,0.909,1.0,0.014,0.026,0.008,0.264,-0.006,0.113,0.617,-0.167,-0.017,0.05056179775280899,0.0,1.0168539325842696,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.16853932584269704,0.0,0.0,0.0
64,0.062,0.102,0.194,0.008,0.148,0.023,0.924,1.0,0.006,0.013,0.009,0.299,0.014,0.463,-0.527,-0.962,0.103,0.06741573033707865,0.0,1.0224719101123596,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.16853932584269704,0.0,0.0,0.0
65,0.092,0.002,0.107,0.005,0.158,0.024,0.948,1.0,-0.004,0.01,0.009,0.35,0.013,0.749,-0.663,-0.107,0.047,0.08426966292134831,0.0,1.0280898876404494,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.16853932584269704,0.0,0.0,0.0
66,0.044,-0.045,0.064,-0.001,0.17,0.024,0.975,1.0,-0.008,0.014,0.008,0.365,0.008,0.834,-0.116,0.326,-0.046,0.10112359550561797,0.0,1.0337078651685394,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.16853932584269704,0.0,0.0,0.0
67,-0.075,-0.027,0.058,-0.005,0.182,0.024,1.001,1.0,0.007,0.018,0.006,0.371,0.002,0.796,0.833,0.051,-0.119,0.11797752808988764,0.0,1.0393258426966292,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.16853932584269704,0.0,0.0,0.0
68,-0.051,0.012,0.075,-0.002,0.194,0.024,1.022,1.0,0.013,0.013,0.005,0.366,0.005,0.641,0.418,-0.238,-0.041,0.1348314606741573,0.0,1.0449438202247192,1.0,0.0,0.0,0.0,0.5056179775280897,0.0,0.16853932584269704,0.0,0.0,-4.9960036108132044e-14
69,0.091,0.009,0.103,0.009,0.205,0.025,1.034,1.0,0.002,0.009,0.006,0.412,0.032,0.493,-0.779,-0.279,0.144,0.15168539325842695,0.0,1.050561797752809,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.1685393258426937,0.0,0.0,0.0
70,0.121,-0.003,0.145,-0.001,0.218,0.026,1.041,1.0,-0.014,0.008,0.006,0.378,0.027,0.197,-0.644,0.045,-0.019,0.16853932584269662,0.0,1.0561797752808988,1.0,0.0,0.0,0.0,0.5056179775280903,0.0,0.16853932584269704,0.0,0.0,4.9960036108132044e-14
71,0.024,-0.088,0.201,0.002,0.23,0.027,1.039,1.0,-0.011,0.014,0.006,0.454,0.016,-0.07,0.351,0.439,-0.014,0.1853932584269663,0.0,1.0617977528089888,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.16853932584269704,0.0,0.0,0.0
72,-0.089,-0.032,0.264,-0.007,0.243,0.027,1.03,1.0,0.006,0.015,0.003,0.382,-0.001,-0.254,0.914,0.099,-0.152,0.20224719101123595,0.0,1.0674157303370786,1.0,0.0,0.0,0.0,0.5056179775280895,0.0,0.16853932584269704,0.0,0.0,0.0
73,-0.062,0.079,0.322,-0.0,0.255,0.027,1.016,1.0,0.014,0.005,0.002,0.383,0.014,-0.43,0.364,-0.674,-0.035,0.2191011235955056,0.0,1.0730337078651686,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.16853932584269704,0.0,0.0,0.0
74,0.119,-0.087,0.5,0.017,0.267,0.028,1.0,1.0,0.008,-0.001,0.003,0.947,0.067,-1.229,-1.089,-1.105,0.324,0.23595505617977527,0.0,1.0786516853932584,1.0,0.0,0.0,0.0,0.5056179775280903,0.0,0.16853932584269704,0.0,0.0,0.0
75,0.13,-0.076,0.336,0.001,0.28,0.029,0.986,1.0,-0.002,0.005,0.004,0.529,0.032,-0.577,-0.78,0.189,0.09,0.25280898876404495,0.0,1.0842696629213484,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.16853932584269704,0.0,0.0,-4.9960036108132044e-14
76,-0.152,0.027,0.315,0.005,0.292,0.029,0.982,1.0,0.013,-0.002,0.002,0.543,0.009,-0.095,1.17,-0.487,0.055,0.2696629213483146,0.0,1.0898876404494382,1.0,0.0,0.0,0.0,0.5056179775280895,0.0,0.1685393258426937,0.0,0.0,0.0
77,-0.132,0.092,0.191,0.002,0.306,0.029,0.996,1.0,0.026,-0.01,-0.0,0.437,-0.002,0.384,0.801,-0.452,-0.012,0.28651685393258425,0.0,1.095505617977528,1.0,0.0,0.0,0.0,0.5056179775280895,0.0,0.16853932584269704,0.0,0.0,4.9960036108132044e-14
78,0.112,0.014,0.129,0.006,0.319,0.03,1.021,1.0,0.006,-0.004,0.0,0.427,0.013,0.73,-0.982,0.166,0.054,0.3033707865168539,0.0,1.101123595505618,1.0,0.0,0.0,0.0,0.5056179775280903,0.0,0.16853932584269704,0.0,0.0,0.0
79,0.119,-0.069,0.045,-0.001,0.334,0.03,1.051,1.0,-0.008,0.009,-0.0,0.441,0.008,0.91,-0.914,0.707,-0.054,0.3202247191011236,0.0,1.1067415730337078,1.0,0.0,0.0,0.0,0.5056179775280903,0.0,0.16853932584269704,0.0,0.0,0.0
80,-0.004,-0.031,0.024,-0.004,0.348,0.029,1.08,1.0,-0.006,0.014,-0.001,0.445,-0.011,0.922,0.314,0.236,-0.073,0.33707865168539325,0.0,1.1123595505617978,1.0,0.0,0.0,0.0,0.5056179775280895,0.0,0.16853932584269704,0.0,0.0,0.0
81,-0.07,0.074,0.039,-0.005,0.362,0.029,1.106,1.0,0.01,0.002,-0.003,0.426,-0.014,0.792,0.696,-0.605,-0.101,0.3539325842696629,0.0,1.1179775280898876,1.0,0.0,0.0,0.0,0.5056179775280903,0.0,0.16853932584269704,0.0,0.0,0.0
82,-0.012,0.07,0.061,-0.001,0.374,0.029,1.123,1.0,0.01,-0.001,-0.003,0.385,-0.001,0.581,0.053,-0.243,-0.02,0.3707865168539326,0.0,1.1235955056179776,1.0,0.0,0.0,0.0,0.5056179775280903,0.0,0.16853932584269704,0.0,0.0,-4.9960036108132044e-14
83,0.039,0.01,0.087,0.005,0.388,0.029,1.136,1.0,0.003,0.001,-0.002,0.444,0.004,0.421,-0.309,0.14,0.071,0.38764044943820225,0.0,1.1292134831460674,1.0,0.0,0.0,0.0,0.5056179775280895,0.0,0.1685393258426937,0.0,0.0,0.0
84,0.016,-0.052,0.147,-0.002,0.404,0.029,1.141,1.0,0.002,0.009,-0.003,0.477,-0.001,0.136,-0.033,0.457,-0.046,0.4044943820224719,0.0,1.1348314606741572,1.0,0.0,0.0,0.0,0.5056179775280895,0.0,0.16853932584269704,0.0,0.0,4.9960036108132044e-14
85,-0.014,-0.07,0.208,-0.006,0.418,0.029,1.137,1.0,0.005,0.016,-0.004,0.473,-0.0,-0.13,0.191,0.418,-0.103,0.42134831460674155,0.0,1.1404494382022472,1.0,0.0,0.0,0.0,0.5056179775280895,0.0,0.16853932584269704,0.0,0.0,0.0
86,-0.023,-0.031,0.275,-0.006,0.432,0.029,1.125,1.0,0.009,0.015,-0.005,0.484,-0.004,-0.384,0.114,-0.062,-0.102,0.4382022471910112,0.0,1.146067415730337,1.0,0.0,0.0,0.0,0.5056179775280903,0.0,0.16853932584269704,0.0,0.0,0.0
87,0.008,0.061,0.328,-0.004,0.444,0.029,1.111,1.0,0.006,0.006,-0.004,0.465,0.005,-0.52,-0.089,-0.573,-0.073,0.4550561797752809,0.0,1.151685393258427,1.0,0.0,0.0,0.0,0.5056179775280903,0.0,0.16853932584269704,0.0,0.0,0.0
88,0.021,0.085,0.34,0.003,0.458,0.029,1.094,1.0,0.004,-0.001,-0.003,0.433,0.005,-0.526,-0.135,-0.383,0.048,0.47191011235955055,0.0,1.1573033707865168,1.0,0.0,0.0,0.0,0.5056179775280895,0.0,0.16853932584269704,0.0,0.0,0.0
89,0.012,-0.029,0.354,0.005,0.474,0.029,1.077,1.0,0.002,0.005,-0.002,0.476,0.006,-0.458,0.034,0.337,0.087,0.4887640449438202,0.0,1.1629213483146068,1.0,0.0,0.0,0.0,0.5056179775280903,0.0,0.16853932584269704,0.0,0.0,-4.9960036108132044e-14
90,-0.017,-0.108,0.328,-0.005,0.49,0.029,1.07,1.0,0.005,0.015,-0.003,0.503,0.001,-0.256,0.108,0.61,-0.086,0.5056179775280899,0.0,1.1685393258426966,1.0,0.0,0.0,0.0,0.5056179775280895,0.0,0.1685393258426937,0.0,0.0,0.0
91,-0.026,-0.032,0.272,-0.003,0.505,0.029,1.071,1.0,0.008,0.015,-0.003,0.492,0.001,0.026,0.133,0.019,-0.056,0.5224719101123595,0.0,1.1741573033707864,1.0,0.0,0.0,0.0,0.5056179775280895,0.0,0.16853932584269704,0.0,0.0,9.992007221626409e-14
92,0.01,0.063,0.218,-0.0,0.521,0.03,1.081,1.0,0.007,0.004,-0.003,0.509,0.008,0.323,-0.126,-0.638,-0.006,0.5393258426966292,0.0,1.1797752808988764,1.0,0.0,0.0,0.0,0.5056179775280911,0.0,0.16853932584270037,0.0,0.0,0.0
93,0.019,0.042,0.162,0.005,0.536,0.03,1.097,1.0,0.005,-0.001,-0.003,0.516,0.005,0.523,-0.169,-0.365,0.093,0.5561797752808989,0.0,1.1853932584269664,1.0,0.0,0.0,0.0,0.5056179775280895,0.0,0.16853932584269704,0.0,0.0,-9.992007221626409e-14
94,0.016,-0.065,0.127,0.0,0.553,0.03,1.118,1.0,0.004,0.006,-0.003,0.544,-0.003,0.644,-0.133,0.46,0.005,0.5730337078651685,0.0,1.1910112359550562,1.0,0.0,0.0,0.0,0.5056179775280895,0.0,0.1685393258426937,0.0,0.0,0.0
95,-0.009,-0.088,0.094,-0.006,0.573,0.03,1.142,1.0,0.007,0.013,-0.004,0.567,0.0,0.675,0.087,0.45,-0.1,0.5898876404494382,0.0,1.196629213483146,1.0,0.0,0.0,0.0,0.5056179775280895,0.0,0.16853932584269704,0.0,0.0,4.9960036108132044e-14
96,-0.014,-0.044,0.073,-0.005,0.59,0.03,1.161,1.0,0.01,0.01,-0.005,0.646,0.004,0.681,0.104,-0.292,-0.082,0.6067415730337078,0.0,1.202247191011236,1.0,0.0,0.0,0.0,0.5056179775280895,0.0,0.16853932584269704,0.0,0.0,0.0
97,-0.015,0.046,0.131,0.002,0.607,0.03,1.174,1.0,0.011,-0.001,-0.004,0.541,0.007,0.425,0.082,-0.572,0.044,0.6235955056179775,0.0,1.2078651685393258,1.0,0.0,0.0,0.0,0.5056179775280911,0.0,0.16853932584269704,0.0,0.0,0.0
98,0.004,0.088,0.175,0.001,0.623,0.03,1.18,1.0,0.009,-0.011,-0.004,0.527,0.004,0.195,-0.085,-0.624,0.022,0.6404494382022472,0.0,1.2134831460674158,1.0,0.0,0.0,0.0,0.5056179775280895,0.0,0.16853932584269704,0.0,0.0,0.0
99,0.022,-0.024,0.228,-0.003,0.641,0.03,1.179,1.0,0.006,-0.007,-0.005,0.57,0.001,-0.027,-0.188,0.313,-0.045,0.6573033707865168,0.0,1.2191011235955056,1.0,0.0,0.0,0.0,0.5056179775280895,0.0,0.16853932584269704,0.0,0.0,0.0
100,0.011,-0.091,0.267,0.002,0.656,0.03,1.173,1.0,0.006,0.003,-0.005,0.562,-0.002,-0.188,-0.062,0.711,0.03,0.6741573033707865,0.0,1.2247191011235956,1.0,0.0,0.0,0.0,0.5056179775280911,0.0,0.16853932584269704,0.0,0.0,-4.9960036108132044e-14
