0.057,-0.007,0.173,1.0,0.013,-0.009,0.016,-0.012,0.015,0.02,-0.21,0.073,-0.193
0.058,-0.008,0.173,1.0,0.014,-0.011,0.018,0.015,-0.005,0.008,-0.155,-0.266,0.233
0.056,-0.008,0.171,0.999,0.027,0.018,0.006,-0.059,0.002,-0.064,1.142,2.129,-0.788
0.057,-0.006,0.177,1.0,0.012,-0.016,0.014,0.006,0.051,0.166,-0.537,-1.584,0.119
0.057,-0.007,0.185,1.0,0.014,-0.013,0.012,-0.011,0.019,0.363,-0.924,-0.934,0.202
0.056,-0.006,0.191,1.0,0.0,0.014,0.022,-0.042,-0.044,0.398,-5.212,2.295,1.208
0.059,-0.008,0.239,1.0,0.008,-0.015,0.013,0.045,-0.02,0.967,-0.597,-0.945,-0.328
0.058,-0.009,0.276,1.0,0.006,-0.018,0.023,-0.042,-0.011,1.063,0.125,-1.142,0.606
0.06,-0.009,0.324,1.0,0.022,-0.003,0.015,0.036,-0.015,1.313,0.919,0.284,-0.205
0.061,-0.01,0.366,1.0,0.017,-0.005,0.015,0.035,-0.036,1.273,-0.222,-0.315,0.118
0.061,-0.01,0.399,1.0,0.001,0.014,0.022,-0.004,-0.049,1.157,-2.022,1.689,0.301
0.062,-0.011,0.443,1.0,0.012,-0.007,0.022,0.03,-0.022,1.176,0.091,-1.613,0.24
0.065,-0.013,0.478,1.0,0.02,-0.01,0.015,0.158,-0.05,1.581,-1.239,-3.872,1.06
0.066,-0.015,0.507,1.0,0.022,-0.005,0.013,0.086,-0.07,1.029,-0.143,-1.201,0.176
0.066,-0.014,0.532,0.999,0.036,-0.004,0.01,0.012,0.017,0.78,1.176,0.53,-0.023
0.068,-0.017,0.552,1.0,0.017,-0.011,0.013,0.053,-0.052,0.716,-0.494,-0.581,0.133
0.07,-0.02,0.569,1.0,0.014,-0.006,0.015,0.121,-0.147,0.652,0.984,-2.01,-1.196
0.071,-0.019,0.582,1.0,0.014,-0.006,0.014,0.051,-0.039,0.414,-0.006,-0.303,-0.245
0.071,-0.021,0.589,1.0,0.02,0.003,0.01,0.015,-0.056,0.262,0.327,0.822,-0.33
0.073,-0.023,0.598,1.0,0.009,-0.005,0.016,0.069,-0.228,0.201,-4.466,1.046,-0.508
0.075,-0.024,0.602,1.0,0.011,-0.009,0.016,0.039,-0.032,0.153,-0.725,0.206,0.078
0.075,-0.027,0.601,1.0,0.016,0.004,0.004,0.041,-0.145,-0.006,-0.177,0.435,-1.537
0.076,-0.027,0.6,0.999,-0.021,0.013,0.022,0.01,-0.044,-0.062,-1.897,0.9,0.372
0.079,-0.028,0.597,1.0,0.003,-0.001,0.02,0.046,-0.045,-0.094,0.14,-0.204,-0.026
0.08,-0.03,0.591,1.0,-0.001,0.004,0.021,0.047,-0.217,-0.206,-7.905,1.321,0.51
0.082,-0.031,0.585,1.0,0.01,-0.006,0.015,0.055,-0.057,-0.191,-0.904,0.046,-0.156
0.082,-0.032,0.584,1.0,0.012,-0.009,0.014,0.062,-0.067,-0.178,-0.464,-0.23,-0.181
0.083,-0.032,0.58,1.0,0.01,-0.01,0.017,0.04,-0.028,-0.158,-0.094,-0.172,0.057
0.085,-0.034,0.573,1.0,0.013,-0.003,0.013,0.048,-0.051,-0.201,0.11,0.328,-0.165
0.089,-0.037,0.565,1.0,0.008,-0.012,0.015,0.039,-0.035,-0.128,-0.197,0.128,-0.044
0.089,-0.037,0.565,1.0,0.008,-0.012,0.015,0.039,-0.035,-0.128,-0.197,0.128,-0.044
0.092,-0.039,0.555,1.0,0.012,-0.01,0.015,0.051,-0.035,-0.133,0.211,0.108,-0.102
0.094,-0.043,0.552,0.996,-0.086,-0.015,0.034,0.103,-0.171,-0.075,-8.982,-1.153,1.107
0.096,-0.043,0.548,1.0,0.014,-0.004,0.012,0.033,-0.047,-0.064,-0.006,0.286,-0.27
0.099,-0.045,0.547,1.0,0.017,0.008,0.006,0.081,-0.092,-0.049,0.6,0.658,-0.946
0.099,-0.045,0.547,1.0,0.017,0.008,0.006,0.081,-0.092,-0.049,0.6,0.658,-0.946
0.101,-0.045,0.551,1.0,0.013,-0.006,0.016,0.085,-0.053,0.089,0.007,-0.13,0.137
0.104,-0.047,0.559,1.0,0.011,-0.005,0.015,0.067,-0.046,0.155,-0.114,-0.154,0.022
0.108,-0.049,0.568,1.0,0.013,-0.003,0.016,0.085,-0.081,0.208,-0.367,-0.233,0.035
0.112,-0.051,0.583,1.0,0.014,-0.009,0.012,0.112,-0.012,0.336,0.161,-0.987,-0.276
0.114,-0.052,0.589,1.0,0.008,-0.019,0.016,0.109,-0.034,0.349,-0.532,-2.264,0.305
0.115,-0.053,0.596,1.0,0.011,0.0,0.015,0.1,-0.058,0.385,-0.15,-0.021,0.003
0.123,-0.055,0.626,1.0,-0.002,0.021,0.022,0.095,-0.076,0.441,-2.438,2.047,0.497
0.123,-0.055,0.626,1.0,-0.002,0.021,0.022,0.095,-0.076,0.441,-2.438,2.047,0.497
0.131,-0.059,0.66,1.0,0.014,0.005,0.014,0.161,-0.06,0.627,0.116,-0.164,-0.031
0.136,-0.061,0.681,1.0,0.009,0.015,0.006,0.159,-0.128,0.661,-0.067,0.806,-1.23
0.138,-0.061,0.686,1.0,0.018,0.02,0.01,0.15,-0.062,0.599,0.784,1.189,-0.677
0.144,-0.062,0.709,1.0,0.002,-0.003,0.019,0.134,-0.022,0.505,-1.024,-1.397,0.439
0.155,-0.065,0.736,1.0,0.009,0.013,0.016,0.239,-0.046,0.451,0.027,-0.526,-0.695
0.155,-0.065,0.736,1.0,0.009,0.013,0.016,0.239,-0.046,0.451,0.027,-0.526,-0.695
0.168,-0.069,0.753,1.0,0.015,0.017,0.012,0.231,-0.073,0.227,0.27,-0.467,-0.421
0.191,-0.074,0.753,0.999,0.014,0.026,0.018,0.225,-0.031,-0.091,0.172,0.474,0.266
0.207,-0.078,0.74,0.999,0.003,0.031,0.022,0.23,-0.056,-0.211,-0.914,0.446,0.662
0.22,-0.081,0.728,0.999,0.009,0.026,0.015,0.262,-0.031,-0.294,-0.36,0.351,0.13
0.229,-0.082,0.718,0.999,0.006,0.03,0.016,0.29,-0.026,-0.336,-0.215,0.457,0.148
0.247,-0.086,0.696,0.999,0.001,0.036,0.019,0.324,-0.056,-0.383,-0.113,0.232,0.254
0.261,-0.088,0.686,1.0,-0.0,0.023,0.017,0.372,-0.026,-0.269,-0.755,-0.479,0.381
0.261,-0.088,0.686,1.0,-0.0,0.023,0.017,0.372,-0.026,-0.269,-0.755,-0.479,0.381
0.276,-0.09,0.679,1.0,0.005,0.018,0.011,0.475,-0.063,-0.087,1.728,-0.268,-1.131
0.3,-0.092,0.671,0.999,0.014,0.026,0.016,0.393,0.0,-0.119,0.863,0.738,0.283
0.3,-0.092,0.671,0.999,0.014,0.026,0.016,0.393,0.0,-0.119,0.863,0.738,0.283
0.315,-0.094,0.673,1.0,0.008,0.014,0.013,0.523,-0.002,-0.169,2.505,4.842,-2.066
0.338,-0.097,0.676,1.0,0.004,0.012,0.013,0.499,-0.119,0.08,0.032,0.207,-0.256
0.365,-0.096,0.683,1.0,0.007,0.01,0.013,0.477,0.002,0.163,-0.02,-0.21,0.183
0.375,-0.096,0.688,1.0,0.003,0.004,0.014,0.504,-0.024,0.235,-0.706,-0.435,-0.156
0.401,-0.097,0.704,1.0,-0.0,0.0,0.015,0.493,0.016,0.318,-0.382,-0.058,0.218
0.407,-0.098,0.709,1.0,0.003,-0.008,0.013,0.48,-0.028,0.336,-0.04,-0.725,0.018
0.432,-0.096,0.728,1.0,-0.003,-0.005,0.014,0.576,-0.026,0.437,-0.519,0.586,-0.339
0.464,-0.095,0.752,1.0,-0.0,-0.01,0.014,0.569,0.003,0.459,0.545,-1.352,-0.337
0.474,-0.094,0.759,1.0,-0.001,-0.006,0.014,0.524,0.029,0.42,0.331,-0.237,-0.213
0.509,-0.09,0.786,1.0,-0.009,-0.008,0.015,0.506,0.042,0.389,-0.143,-0.338,-0.07
0.528,-0.088,0.8,1.0,-0.014,-0.006,0.017,0.489,0.076,0.335,-0.801,0.824,0.223
0.567,-0.081,0.826,1.0,-0.008,-0.012,0.014,0.496,0.073,0.321,0.302,-0.031,-0.193
0.572,-0.08,0.83,1.0,-0.006,-0.018,0.013,0.503,0.08,0.324,0.585,-0.817,-0.339
0.598,-0.074,0.843,1.0,-0.008,-0.019,0.015,0.482,0.12,0.249,0.158,-0.547,-0.069
0.604,-0.072,0.845,0.999,-0.023,-0.023,0.013,0.471,0.122,0.208,-1.215,-0.684,-0.361
0.636,-0.063,0.857,1.0,-0.006,-0.018,0.013,0.479,0.155,0.176,0.042,-0.639,0.15
0.636,-0.063,0.857,1.0,-0.006,-0.018,0.013,0.479,0.155,0.176,0.042,-0.639,0.15
0.695,-0.038,0.881,0.999,-0.01,-0.026,0.014,0.42,0.189,0.194,0.158,0.256,-0.088
0.703,-0.034,0.886,0.999,-0.013,-0.03,0.015,0.405,0.216,0.215,-0.015,-0.06,0.044
0.734,-0.015,0.905,0.999,-0.019,-0.03,0.005,0.33,0.163,0.26,-0.637,-0.039,-0.876
0.741,-0.008,0.909,0.999,-0.013,-0.033,0.015,0.337,0.274,0.251,0.166,-0.506,0.046
0.766,0.017,0.936,0.999,-0.014,-0.033,0.015,0.293,0.321,0.347,0.441,0.171,-0.058
0.769,0.021,0.942,0.999,-0.018,-0.043,0.016,0.284,0.328,0.401,-0.103,-0.707,0.058
0.79,0.054,0.988,0.999,-0.008,-0.038,0.013,0.191,0.379,0.54,0.922,0.397,-0.375
0.798,0.073,1.02,0.999,-0.018,-0.043,0.014,0.164,0.394,0.644,-0.177,0.033,-0.119
0.8,0.08,1.032,0.998,-0.019,-0.05,0.015,0.152,0.401,0.735,-0.558,-0.738,0.027
0.805,0.106,1.081,0.998,-0.017,-0.053,0.014,0.071,0.452,0.822,-0.179,-0.538,-0.103
0.807,0.125,1.116,0.999,-0.009,-0.046,0.011,0.035,0.439,0.821,0.359,0.266,-0.328
0.809,0.152,1.167,0.999,-0.009,-0.049,0.017,0.024,0.524,0.906,0.488,-0.09,0.17
0.807,0.176,1.202,0.999,-0.013,-0.05,0.014,-0.007,0.511,0.717,-0.497,-0.723,-0.097
