step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz,pose_vx,pose_vy,pose_vz,pose_avx,pose_avy,pose_avz,est_pose_x,est_pose_y,est_pose_z,est_pose_qw,est_pose_qx,est_pose_qy,est_pose_qz,est_pose_vx,est_pose_vy,est_pose_vz,est_pose_avx,est_pose_avy,est_pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,est_param_centre_rate_deg,est_param_max_rate_deg,est_param_rate_expo,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1763002623.9921992,0.0007215495435657412,0.00010406000803825984,0.0500000000681379,-0.004147736556745629,0.007215495435657412,0.0010406000803825984,0.500000000681379,-0.041477365567456286,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00496700877613955,-0.02500004294664565,-0.007239498068038412,0.9999255713117047,-0.0014199082147608548,-0.005068587326018067,-0.02169895493403328,-0.0009785162105663647,-3.7687003049962584e-06,-0.32109865551796435,-0.07363142854694703,-0.0106189256533112,-0.42327283912625197,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.2,0.12,100.0,100.0,0.0,0.0016,0.0016,0.0022,0.0
0,1763002624.0281618,0.008757905605650988,0.015726521749423867,0.09949998212054306,-0.021146666166208476,0.08043571557520904,0.1562350234146599,0.49999982053086545,-0.17040406975030303,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,-0.025,-0.002,1.0,-0.001,-0.004,-0.018,-0.001,0.002,0.002,-0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.2,0.12,100.0,100.0,0.0,0.0036,0.0022,0.0021,0.0
0,1763002624.0679638,0.001462244341757124,0.031655746675870025,0.14850498039902996,-0.030982830860380794,-0.07208082207837353,0.16086490143940402,0.4999999809969232,-0.10047631355834404,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,-0.025,-0.002,1.0,-0.0,-0.006,-0.018,0.002,-0.001,-0.004,0.0,-0.1,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.2,0.12,100.0,100.0,0.0,0.0015,0.0037,0.0091,0.0
0,1763002624.093858,-0.008624993936622605,0.027919148922655315,0.19701993051876943,-0.036315730250694865,-0.10072615834962158,-0.034200402864560095,0.4999999992372975,-0.05642727698917885,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,-0.025,-0.002,1.0,0.0,-0.005,-0.018,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.2,0.12,100.0,100.0,0.0,0.0022,0.0016,0.0033,0.0
0,1763002624.1351626,-0.010733682026058185,0.023986974452687097,0.24504973118891754,-0.03917463969291367,-0.021949380288018055,-0.03652982980741666,0.49999999975335785,-0.032220667447257545,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,-0.025,-0.002,1.0,-0.0,-0.005,-0.018,-0.002,0.002,0.005,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.2,0.12,100.0,100.0,0.0,0.006,0.0047,0.0043,0.0
0,1763002624.1598926,-0.008514916710537064,0.02377670215138814,0.2925988648632722,-0.040707820446026076,0.021114284952605387,0.00029597443227911274,0.4999963098624383,-0.019249271500415447,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,-0.025,-0.002,1.0,-0.001,-0.005,-0.018,-0.001,0.001,0.003,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.2,0.12,100.0,100.0,0.0,0.0022,0.0012,0.003,0.0
0,1763002624.1977835,-0.011387670979371815,0.027210027511699333,0.33382268921274805,-0.04155101186213216,-0.029579034359401228,0.03671092381825076,0.4414981299810858,-0.012502696205663369,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,-0.025,-0.002,1.0,-0.0,-0.006,-0.018,0.001,0.001,-0.002,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.2,0.12,100.0,100.0,0.0,0.001,0.0011,0.0087,0.0
0,1763002624.2312088,-0.00823677341043063,0.026226021583794938,0.3534952980981638,-0.0419859904675277,0.03037020859147468,-0.00711905652787405,0.23010835777543226,-0.008504887240168478,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,-0.025,-0.002,1.0,-0.001,-0.005,-0.018,-0.001,0.002,0.007,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.2,0.12,100.0,100.0,0.0,0.0062,0.0021,0.0024,0.0
0,1763002624.258189,-0.03187020842742061,0.024951651492813733,0.363720396489128,-0.04226637892096671,-0.23715802751094286,-0.010121098751432578,0.13760051371945828,-0.007002483581142929,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,-0.025,-0.002,1.0,-0.0,-0.005,-0.018,0.001,-0.001,-0.006,0.1,0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.2,0.12,100.0,100.0,0.0,0.0015,0.0011,0.0022,0.0
0,1763002624.303543,-0.0138369286678501,0.026216886151523993,0.3682174338362147,-0.042338661913333055,0.17714577675296295,0.01514751173638397,0.08134241311977956,-0.0049494678157600835,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,-0.025,-0.002,1.0,-0.001,-0.005,-0.018,-0.002,0.002,0.004,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.2,0.12,100.0,100.0,0.0,0.006,0.0037,0.0065,0.0
