0.1,0.05403
0.1,0.05405
0.1,0.05411
0.1,0.05421
0.1,0.05419
0.1,0.05424
0.1,0.05447
0.1,0.05433
0.1,0.05411
0.1,0.0541
0.1,0.05415
0.1,0.05428
0.1,0.05433
0.1,0.05431
0.1,0.0543
0.2,0.05438
0.2,0.05429
0.2,0.05415
0.2,0.05435
0.2,0.05417
0.2,0.05859
0.2,0.08089
0.2,0.10602
0.2,0.12451
0.2,0.13807
0.2,0.14776
0.2,0.15426
0.2,0.16046
0.2,0.16519
0.2,0.16944
0.2,0.17322
0.2,0.1757
0.2,0.17739
0.2,0.17853
0.2,0.1793
0.2,0.17963
0.2,0.17982
0.2,0.18019
0.2,0.18068
0.2,0.18095
0.2,0.18093
0.2,0.18084
0.2,0.18121
0.2,0.18165
0.2,0.18219
0.2,0.18233
0.2,0.18215
0.2,0.18234
0.2,0.18198
0.2,0.18166
0.2,0.1823
0.2,0.18222
0.2,0.1821
0.2,0.18202
0.2,0.18169
0.2,0.18189
0.2,0.18222
0.2,0.18265
0.2,0.18267
0.2,0.18234
0.2,0.18197
0.2,0.18209
0.2,0.18216
0.2,0.18191
0.2,0.18214
0.2,0.18205
0.2,0.18243
0.2,0.18256
0.2,0.18245
0.2,0.18268
0.2,0.1825
0.2,0.18219
0.2,0.18259
0.2,0.18271
0.2,0.1825
0.2,0.18192
0.2,0.18228
0.2,0.18305
0.2,0.18335
0.2,0.18349
0.2,0.18281
0.2,0.18252
0.2,0.183
0.2,0.18298
0.2,0.18265
0.2,0.18176
0.2,0.18152
0.2,0.18199
0.2,0.18187
0.2,0.18231
0.2,0.18224
0.2,0.18271
0.2,0.18264
0.2,0.18262
0.2,0.18315
0.2,0.1832
0.3,0.18336
0.3,0.18358
0.3,0.1833
0.3,0.18296
0.3,0.18293
0.3,0.18537
0.3,0.21075
0.3,0.25629
0.3,0.29124
0.3,0.31398
0.3,0.32844
0.3,0.33739
0.3,0.34323
0.3,0.34746
0.3,0.35047
0.3,0.35224
0.3,0.35336
0.3,0.35445
0.3,0.35502
0.3,0.35494
0.3,0.35454
0.3,0.35427
0.3,0.35412
0.3,0.35439
0.3,0.35449
0.3,0.35451
0.3,0.35489
0.3,0.35532
0.3,0.35527
0.3,0.35532
0.3,0.35555
0.3,0.3554
0.3,0.3552
0.3,0.35549
0.3,0.35537
0.3,0.35521
0.3,0.35473
0.3,0.35414
0.3,0.35383
0.3,0.35397
0.3,0.35434
0.3,0.35459
0.3,0.35424
0.3,0.35391
0.3,0.35417
0.3,0.3552
0.3,0.35535
0.3,0.35508
0.3,0.35516
0.3,0.35483
0.3,0.3543
0.3,0.35402
0.3,0.354
0.3,0.35385
0.3,0.35384
0.3,0.35421
0.3,0.35463
0.3,0.35463
0.3,0.35495
0.3,0.35505
0.3,0.35474
0.3,0.35451
0.3,0.35411
0.3,0.35417
0.3,0.35424
0.3,0.3535
0.3,0.35337
0.3,0.35404
0.3,0.35438
0.3,0.35462
0.3,0.35443
0.3,0.35413
0.3,0.35454
0.3,0.35436
0.3,0.35387
0.3,0.35376
0.3,0.35327
0.3,0.35292
0.3,0.35322
0.3,0.35353
0.3,0.35361
0.3,0.35364
0.4,0.35351
0.4,0.35382
0.4,0.35444
0.4,0.35455
0.4,0.35498
0.4,0.37106
0.4,0.42013
0.4,0.47011
0.4,0.50487
0.4,0.5269
0.4,0.54115
0.4,0.54948
0.4,0.55426
0.4,0.55743
0.4,0.55895
0.4,0.55927
0.4,0.55951
0.4,0.56037
0.4,0.56059
0.4,0.56013
0.4,0.55993
0.4,0.56047
0.4,0.56142
