step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,orb_pose_x,orb_pose_y,orb_pose_z,orb_pose_qw,orb_pose_qx,orb_pose_qy,orb_pose_qz,orb_pose_vx,orb_pose_vy,orb_pose_vz,orb_pose_avx,orb_pose_avy,orb_pose_avz,mot_pose_x,mot_pose_y,mot_pose_z,mot_pose_qw,mot_pose_qx,mot_pose_qy,mot_pose_qz,mot_pose_vx,mot_pose_vy,mot_pose_vz,mot_pose_avx,mot_pose_avy,mot_pose_avz,est_pose_x,est_pose_y,est_pose_z,est_pose_qw,est_pose_qx,est_pose_qy,est_pose_qz,est_pose_vx,est_pose_vy,est_pose_vz,est_pose_avx,est_pose_avy,est_pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,est_param_centre_rate_deg,est_param_max_rate_deg,est_param_rate_expo,est_param_angle_max_deg,est_param_tau_angle,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1762409210.94347,0.01983148263447615,0.0008433952333578993,0.09999899313028213,-0.007106702193673966,0.09916241317238074,0.004221976166789497,0.4999999656514107,-0.03552851096836983,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.404,0.023,-0.003,1.0,0.008,0.006,0.007,0.006,-0.004,0.009,-0.1,-0.1,-0.0,-0.40370095988974625,0.022800894633674188,-0.014863759533929106,1.000055029021955,-0.006057089210935618,0.004195330578205975,-0.0009029419913154555,0.005964581412369327,-0.0039797566987754916,-0.482658104205258,-0.9511558762735473,-0.040415025413917796,-0.5947181644555259,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.2,0.12,100.0,100.0,0.5,55.0,0.15,0.0022,0.0021,0.002,0.0005
0,1762409210.990399,0.01649436738031111,0.08661126424040168,0.19499801103001602,0.004906669855802462,-0.011722705612206182,0.42905519384355834,0.49999983778124,0.06184853579580063,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.403,0.023,-0.003,1.0,0.006,0.005,0.006,0.004,-0.0,0.002,-0.1,0.0,-0.0,-0.403,0.023,-0.003,1.0,0.006,0.005,0.006,0.004,-0.0,0.002,-0.1,0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.2,0.12,100.0,100.0,0.5,55.0,0.15,0.0012,0.001,0.0015,0.0002
0,1762409211.0414581,0.0012990297775456738,0.09422911476677404,0.28524707516301284,0.0068276589949058854,-0.0718480961687494,0.05974706869196222,0.49999982342248805,0.01083661315946775,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.403,0.023,-0.003,1.0,0.005,0.006,0.006,-0.002,-0.001,-0.002,-0.0,0.1,0.0,-0.40305437132714733,0.02291608393020382,-0.011947362850200396,0.9999865926962005,0.005307874470470347,0.007668548863575663,0.006071391931493321,-2.335108201948952e-05,-0.0024243661387432884,-0.3501079736230261,0.025544806365784403,0.03627938018402467,0.005096709950961986,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.2,0.12,100.0,100.0,0.5,55.0,0.15,0.0008,0.0016,0.0023,0.0004
0,1762409211.0897152,0.002439580531706705,0.10349662113195215,0.3709820249943417,0.00704822870270704,0.006032511215191581,0.06989981051758407,0.4999915179473974,0.0028147632877322457,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.403,0.023,-0.003,1.0,0.006,0.006,0.006,-0.001,-0.002,0.003,0.0,0.0,-0.0,-0.40296794716841755,0.022823989232625023,-0.008740268576215248,0.9999830092023718,0.006093020136510161,0.008350239045988354,0.005937511186808104,0.00255721662330772,-0.005108637449181124,-0.22702286480458944,0.007727552339406327,0.18275471881771796,-0.0061234254145337095,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.2,0.12,100.0,100.0,0.5,55.0,0.15,0.0008,0.001,0.0014,0.0002
0,1762409211.1465025,0.0034491827700086743,0.11388226473262077,0.4071760211110428,0.007283999097953828,0.005662906324436522,0.07780737328633111,0.2737204868320905,0.0029459091519106976,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.403,0.023,-0.003,1.0,0.006,0.005,0.006,0.002,0.002,-0.005,0.0,-0.1,-0.0,-0.402812832573353,0.022991556960392286,-0.006327444653030004,1.0000005450612615,0.005637318421041944,0.005444863308826236,0.00591870293762222,0.005572429550112246,-0.002353383829116114,-0.12269368683952056,-0.028106148692890052,0.12146067509552821,-0.006442569549511046,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.2,0.12,100.0,100.0,0.5,55.0,0.15,0.0029,0.0026,0.004,0.0005
0,1762409211.1994965,-0.0012553425698756306,0.11095057255674975,0.4085617532538855,0.012537841875052424,-0.022655331006919355,0.013817105303800092,0.10872766599197425,0.02809521365998144,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.404,0.023,-0.003,1.0,0.009,0.008,0.008,-0.007,0.005,-0.012,0.1,0.1,0.1,-0.40412890756012815,0.023022970133103428,-0.004008587259635722,0.9999213177704284,0.010504809722495416,0.01253133217437473,0.009969860964845206,0.0026507077409346136,-0.00442053357507513,-0.023137755325521352,0.02597659226301407,0.25007040745273174,0.057993666099552546,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.2,0.12,100.0,100.0,0.5,55.0,0.15,0.0055,0.0033,0.0036,0.0004
0,1762409211.2526839,0.0011564244007632122,0.11029660141181588,0.4085555310709064,0.011675751439659644,0.012377670495663122,0.024472787414518082,0.1021143273985764,-0.0011709917082007928,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.404,0.023,-0.003,1.0,0.009,0.008,0.008,-0.004,0.002,-0.005,0.0,0.1,0.0,-0.40395901032256026,0.02287279699496789,-0.0026506113684653084,0.9999545459960201,0.008519515929867588,0.01283659366683706,0.00793879996959912,0.006496911761717172,-0.007055541654342634,0.02176599880324035,-0.032489873865890355,0.27256967658622255,-0.008057834808734825,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.2,0.12,100.0,100.0,0.5,55.0,0.15,0.0041,0.0043,0.006,0.0006
0,1762409211.292581,0.0027884775666514802,0.12131879462677235,0.40824930475135884,0.00514546118378774,0.008454371929632137,0.08269011642773627,0.1006127511699889,-0.02972751341944461,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.403,0.023,-0.003,1.0,0.007,0.004,0.006,0.01,-0.006,0.015,-0.1,-0.2,-0.1,-0.40242028084023895,0.022542254561970315,-0.0016951293899917783,1.0000290423434761,0.004533870635277901,0.0029668757396777946,0.0038143392679625588,0.012972557728661117,-0.011907044675338008,0.03829480015571082,-0.09579173764987554,0.09811546612768968,-0.07645055338416107,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.2,0.12,100.0,100.0,0.5,55.0,0.15,0.0015,0.0017,0.0026,0.0003
0,1762409211.344062,0.001000340549763347,0.10454339052148391,0.4101432930319395,0.0072264656791169325,-0.008238565692777798,-0.053542321869749054,0.11153726759074298,0.011696387772592892,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.404,0.023,-0.003,1.0,0.008,0.01,0.008,-0.007,0.002,-0.004,0.0,0.2,0.0,-0.4040408494632201,0.022899980118076126,-0.0026480964084813915,0.9999170948882254,0.007502353729574607,0.0165840457243378,0.007924971317976516,0.006486491711600347,-0.005930714748957159,0.019073243846607656,-0.03252959415691017,0.31361329815785133,-0.009801726828900107,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.2,0.12,100.0,100.0,0.5,55.0,0.15,0.001,0.0013,0.0049,0.0006
0,1762409211.4018748,0.005900395068597079,0.11652856403742662,0.41024460680651,0.007549212554389012,0.02475535773160949,0.08606671521008452,0.10304739213083745,0.0034253507961396297,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.403,0.023,-0.003,1.0,0.006,0.006,0.006,0.006,-0.002,0.002,-0.1,-0.1,-0.0,-0.40254923988843155,0.022767713902182535,-0.0023561749689630317,1.0000041693924069,0.0037171391336102105,0.007165042152516961,0.005947459514191951,0.012200481581154863,-0.006914233541963638,0.02476470532577085,-0.08103987970420293,0.17610196181215365,-0.004897921789771881,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.2,0.12,100.0,100.0,0.5,55.0,0.15,0.0025,0.0049,0.0063,0.0006
