0.02,-0.044,0.056,1.0,-0.003,0.01,0.004,-0.001,0.001,0.002,0.006,-0.015,0.049
0.02,-0.044,0.056,1.0,-0.001,0.011,0.003,-0.0,0.004,-0.007,0.217,0.045,0.003
0.02,-0.043,0.057,1.0,-0.0,0.013,0.002,0.006,0.01,0.009,0.28,0.16,-0.091
0.021,-0.043,0.059,1.0,-0.004,0.012,0.002,0.024,0.016,0.077,-0.12,-0.199,0.008
0.021,-0.041,0.067,1.0,-0.007,0.0,0.001,0.032,0.056,0.249,0.038,-1.135,-0.053
0.023,-0.038,0.082,1.0,-0.012,0.001,0.004,0.045,0.081,0.424,-0.328,0.068,0.114
0.026,-0.035,0.104,1.0,-0.009,0.01,0.002,0.085,0.09,0.651,-0.049,0.79,-0.194
0.029,-0.032,0.133,1.0,0.0,0.02,0.002,0.098,0.089,0.872,0.219,0.974,-0.101
0.033,-0.028,0.166,1.0,0.011,0.006,0.002,0.12,0.105,1.009,0.534,-0.647,-0.034
0.037,-0.025,0.203,1.0,0.014,-0.017,0.002,0.116,0.122,1.109,0.047,-1.648,0.075
0.041,-0.02,0.241,0.999,0.012,-0.03,0.003,0.14,0.137,1.176,0.356,-0.837,0.008
0.045,-0.017,0.28,0.999,0.007,-0.033,0.001,0.125,0.113,1.162,-0.047,-0.358,-0.067
0.05,-0.012,0.317,1.0,0.001,-0.017,0.001,0.133,0.127,1.134,-0.194,0.783,-0.018
0.054,-0.008,0.354,1.0,-0.002,0.001,0.0,0.126,0.12,1.1,-0.408,0.69,0.037
0.058,-0.004,0.389,1.0,0.001,-0.001,-0.002,0.128,0.123,1.034,0.09,-0.06,-0.068
0.062,0.001,0.421,1.0,0.003,-0.01,-0.002,0.114,0.142,0.997,0.246,-0.741,-0.05
0.065,0.005,0.451,1.0,0.005,-0.022,-0.002,0.104,0.149,0.903,0.409,-0.397,-0.106
0.069,0.01,0.478,1.0,0.005,-0.023,-0.004,0.113,0.136,0.822,0.219,-0.036,-0.23
0.073,0.015,0.504,1.0,0.003,-0.023,-0.002,0.119,0.149,0.777,-0.099,-0.071,-0.034
0.077,0.02,0.527,1.0,0.003,-0.023,-0.002,0.11,0.153,0.731,-0.029,-0.137,0.002
0.08,0.025,0.549,1.0,0.009,-0.022,-0.003,0.115,0.155,0.655,0.387,-0.022,-0.127
0.083,0.03,0.569,1.0,0.019,-0.017,-0.004,0.099,0.155,0.604,1.086,0.413,-0.229
0.087,0.035,0.588,1.0,0.011,-0.021,-0.002,0.092,0.151,0.566,-0.285,-0.059,0.044
0.09,0.04,0.606,1.0,0.008,-0.024,-0.002,0.102,0.152,0.539,-0.424,-0.29,0.06
0.092,0.045,0.622,1.0,0.006,-0.021,-0.002,0.081,0.163,0.498,-0.168,0.042,0.036
0.095,0.05,0.639,1.0,0.01,-0.025,-0.003,0.084,0.15,0.49,0.275,-0.403,-0.084
0.098,0.055,0.653,1.0,0.013,-0.02,-0.002,0.067,0.148,0.459,-0.03,-0.032,0.094
0.1,0.061,0.668,1.0,0.02,-0.016,-0.004,0.067,0.147,0.428,0.276,0.413,-0.194
0.102,0.066,0.682,1.0,0.023,-0.013,-0.005,0.063,0.157,0.417,0.353,0.435,-0.204
0.104,0.07,0.695,1.0,0.018,-0.017,-0.001,0.063,0.138,0.393,-0.153,-0.069,0.097
0.106,0.075,0.709,1.0,0.018,-0.022,-0.001,0.066,0.141,0.394,-0.17,-0.421,0.133
0.106,0.075,0.709,1.0,0.018,-0.022,-0.001,0.066,0.141,0.394,-0.17,-0.421,0.133
0.108,0.08,0.721,1.0,0.016,-0.021,-0.003,0.056,0.148,0.394,-0.297,0.04,0.009
0.111,0.089,0.745,1.0,0.023,-0.021,-0.003,0.048,0.138,0.35,0.124,-0.038,-0.092
0.113,0.091,0.753,0.999,0.024,-0.024,-0.003,0.054,0.104,0.343,-0.103,-0.402,0.013
0.114,0.096,0.766,0.999,0.029,-0.016,-0.004,0.04,0.104,0.304,0.186,0.192,-0.142
0.115,0.1,0.777,0.999,0.029,-0.018,-0.002,0.033,0.103,0.334,-0.125,-0.097,0.08
0.116,0.102,0.784,0.999,0.034,-0.015,-0.002,0.04,0.109,0.312,0.637,0.237,0.066
0.117,0.106,0.797,0.999,0.034,-0.017,-0.002,0.032,0.1,0.292,0.554,-0.177,0.007
0.119,0.108,0.806,0.999,0.028,-0.018,-0.001,0.031,0.088,0.284,0.069,-0.113,-0.015
0.119,0.109,0.813,1.0,0.021,-0.015,-0.002,0.029,0.059,0.252,-0.251,0.109,-0.029
0.12,0.112,0.823,1.0,0.02,-0.018,-0.002,0.014,0.059,0.248,-0.112,-0.029,-0.068
0.121,0.114,0.831,1.0,0.02,-0.017,-0.001,0.02,0.063,0.24,0.334,-0.042,-0.02
0.121,0.114,0.831,1.0,0.02,-0.017,-0.001,0.02,0.063,0.24,0.334,-0.042,-0.02
0.121,0.116,0.84,1.0,0.018,-0.017,0.0,0.009,0.036,0.229,-0.54,0.087,0.168
0.122,0.119,0.851,1.0,0.022,-0.021,-0.002,0.009,0.049,0.185,0.372,-0.119,-0.18
0.122,0.119,0.852,1.0,0.016,-0.019,-0.0,0.002,0.046,0.192,-0.215,0.092,0.031
0.123,0.121,0.863,1.0,0.019,-0.023,-0.001,0.003,0.038,0.156,-0.149,-0.028,-0.015
0.122,0.123,0.868,0.999,0.02,-0.026,0.001,0.004,0.035,0.155,-0.001,-0.399,0.099
0.122,0.123,0.868,0.999,0.02,-0.026,0.001,0.004,0.035,0.155,-0.001,-0.399,0.099
0.122,0.123,0.873,1.0,0.02,-0.023,-0.0,-0.016,0.024,0.123,-0.131,0.234,-0.052
0.121,0.125,0.879,1.0,0.022,-0.02,0.001,-0.028,0.027,0.088,0.061,0.458,0.014
0.12,0.125,0.881,0.999,0.025,-0.02,0.001,-0.031,0.016,0.07,0.126,0.208,0.033
0.119,0.126,0.881,0.999,0.032,-0.018,0.0,-0.038,0.02,0.061,0.623,0.287,-0.08
0.116,0.125,0.884,1.0,0.015,-0.018,0.007,-0.072,-0.005,0.032,-1.108,0.483,0.483
0.115,0.125,0.887,0.999,0.028,-0.033,0.002,-0.041,0.0,0.077,0.467,-0.715,-0.051
0.114,0.125,0.887,0.999,0.025,-0.03,0.003,-0.057,-0.003,0.049,0.023,-0.074,0.011
0.11,0.124,0.889,0.999,0.028,-0.029,0.003,-0.085,-0.029,0.023,0.017,0.14,-0.006
0.107,0.123,0.891,0.999,0.03,-0.037,0.004,-0.09,-0.029,0.056,0.002,-0.098,0.083
