0.0,0.0
0.0,-1e-05
0.0,6e-05
0.0,0.00012
0.0,6e-05
0.0,3e-05
0.0,-9e-05
0.0,-7e-05
0.0,0.0
0.0,3e-05
0.0,9e-05
0.0,1e-05
0.0,4e-05
0.0,8e-05
0.0,-1e-05
0.0,8e-05
0.0,0.0001
0.0,3e-05
0.0,6e-05
0.0,4e-05
0.0,8e-05
0.0,0.00012
0.0,9e-05
0.0,6e-05
0.0,4e-05
0.0,6e-05
0.0,3e-05
0.0,-7e-05
0.0,8e-05
0.0,0.00012
0.0,0.00011
0.0,3e-05
0.0,9e-05
0.0,0.00012
0.0,9e-05
0.0,0.0
0.0,1e-05
0.0,4e-05
0.0,4e-05
0.0,1e-05
0.0,-4e-05
0.0,4e-05
0.0,9e-05
0.0,0.0001
0.0,0.00021
0.0,0.00012
0.0,9e-05
0.0,1e-05
0.0,2e-05
0.0,8e-05
0.0,5e-05
0.0,6e-05
0.0,-4e-05
0.0,-7e-05
0.0,1e-05
0.0,2e-05
0.0,1e-05
0.0,9e-05
0.0,2e-05
0.0,-2e-05
0.0,2e-05
0.0,8e-05
0.0,0.0002
0.0,0.00011
0.0,-5e-05
0.0,-1e-05
0.0,1e-05
0.0,0.0001
0.0,5e-05
0.0,1e-05
0.0,3e-05
0.0,8e-05
0.0,0.00018
0.0,4e-05
0.0,7e-05
0.0,0.00013
0.0,3e-05
0.0,9e-05
0.0,6e-05
0.0,3e-05
0.0,0.00017
0.1,7e-05
0.1,0.0001
0.1,1e-05
0.1,1e-05
0.1,0.00012
0.1,8e-05
0.1,5e-05
0.1,3e-05
0.1,-4e-05
0.1,4e-05
0.1,6e-05
0.1,5e-05
0.1,9e-05
0.1,-0.00026
0.1,-0.00041
0.1,0.00041
0.1,0.00086
0.1,0.00096
0.1,-0.00042
0.1,-0.00128
0.1,-0.00231
0.1,-0.00327
0.1,-0.00384
0.1,-0.00487
0.1,-0.00604
0.1,-0.00708
0.1,-0.0082
0.1,-0.00874
0.1,-0.00937
0.1,-0.00979
0.1,-0.0106
0.1,-0.01105
0.1,-0.01142
0.1,-0.01174
0.1,-0.01219
0.1,-0.0124
0.1,-0.01258
0.1,-0.01279
0.1,-0.01281
0.1,-0.01321
0.1,-0.01332
0.1,-0.01335
0.1,-0.0135
0.1,-0.01344
0.1,-0.01347
0.1,-0.01349
0.1,-0.01338
0.1,-0.01364
0.1,-0.01368
