step,timestamp,u0,u1,u2,u3,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz
0,1761181192.489192,4.508500821089102e-05,2.5002898587841914e-05,0.04999999727923718,-0.00205169419913413,-0.067,-0.039,0.003,0.889,0.001,-0.004,0.458
0,1761181192.5217216,0.05499993707851822,0.09795798155345288,0.0987499961042547,0.09796768249932723,-0.067,-0.039,0.003,0.889,0.002,-0.004,0.458
0,1761181192.5544882,-0.046356316680159895,-0.004485530697820164,0.1462812422821832,0.19544542465031195,-0.067,-0.039,0.003,0.889,0.001,-0.004,0.458
0,1761181192.5878584,0.05480232113691953,0.09562643742611128,0.19262420952550188,0.2905564016571791,-0.067,-0.039,0.003,0.889,0.001,-0.004,0.458
0,1761181192.621312,-0.04656769486409999,-0.006764203934014723,0.23780860146472904,0.3832920854852822,-0.067,-0.039,0.003,0.889,0.001,-0.005,0.458
0,1761181192.6560438,0.05456843018913317,0.0933701459757795,0.2818633453457301,0.3972035522676252,-0.067,-0.039,0.003,0.889,0.001,-0.004,0.458
0,1761181192.6879468,-0.04679546936133416,-0.008963305513912778,0.3248167461877688,0.3352229334790763,-0.067,-0.039,0.003,0.889,0.001,-0.004,0.458
0,1761181192.720128,0.05437194551874733,0.09125873807952492,0.36669630050007324,0.42683719273785925,-0.067,-0.039,0.003,0.889,0.001,-0.004,0.458
0,1761181192.7558517,0.029858446007094114,-0.011022081241748555,0.40752888990507324,0.5161520267066512,-0.067,-0.039,0.003,0.889,0.001,-0.004,0.458
0,1761181192.7880218,0.08833274862199739,0.08925107365744352,0.44734065130166395,0.5889059273159949,-0.067,-0.039,0.003,0.889,0.002,-0.004,0.458
0,1761181192.8181438,-0.013869437778723653,-0.012968405158227989,0.48615711390684213,0.6733926090178319,-0.067,-0.039,0.003,0.889,0.001,-0.004,0.458
0,1761181192.8523502,-0.030119407915055546,0.08735552290431542,0.5240031754130032,0.756551387865152,-0.067,-0.039,0.003,0.889,0.001,-0.004,0.458
0,1761181192.8854136,0.017048445620985418,-0.01376476194171436,0.56090225229658,0.8188866741893093,-0.067,-0.039,0.003,0.889,0.001,-0.004,0.458
0,1761181192.9203835,-0.06890064987996566,0.08657934710859612,0.5968796954492207,0.8518045013209339,-0.067,-0.039,0.003,0.889,0.002,-0.005,0.457
0,1761181192.9526088,0.03276713139909908,0.04042463565272772,0.5999991476970487,0.8335349919258433,-0.067,-0.039,0.003,0.889,-0.001,-0.004,0.457
0,1761181192.9873052,-0.011608302047787872,0.13936224801763353,0.6000000403057381,0.7931254199618717,-0.067,-0.039,0.003,0.889,0.001,-0.004,0.458
0,1761181193.0187635,0.026935094506118078,0.042082880494227023,0.5999987252720426,0.8265651103803527,-0.067,-0.039,0.003,0.889,0.001,-0.003,0.458
0,1761181193.052533,0.006774921474713723,0.14102942171324434,0.6000000513824029,0.8992090923721433,-0.067,-0.039,0.003,0.889,0.0,-0.004,0.457
0,1761181193.0904517,0.027422391588531776,0.03750402583120899,0.5999999789216423,0.8804733901774903,-0.067,-0.039,0.003,0.889,0.001,-0.004,0.458
0,1761181193.1210806,-0.07171430813565699,0.1365184859070933,0.5999991786684818,0.8456255125395115,-0.067,-0.039,0.003,0.889,0.0,-0.004,0.457
0,1761181193.1546347,0.030077148662769643,0.03325560572104136,0.599999990155625,0.8041831036548711,-0.067,-0.039,0.003,0.889,0.001,-0.005,0.458
0,1761181193.1861935,-0.04946918945440751,0.1324233311080404,0.6000000064976675,0.8146969017832274,-0.067,-0.039,0.003,0.889,0.001,-0.003,0.458
0,1761181193.219085,0.05176347020625387,0.029114347976325075,0.6000000675884243,0.8411348185017128,-0.067,-0.039,0.003,0.889,0.001,-0.004,0.457
0,1761181193.2526062,-0.04945571722031204,0.12835483813338364,0.5999994481677429,0.8755251438011739,-0.067,-0.039,0.003,0.889,0.001,-0.004,0.458
0,1761181193.2863693,0.051767008806551926,0.025148310349010272,0.5999999197493641,0.8649691534092144,-0.067,-0.039,0.003,0.889,0.001,-0.004,0.458
0,1761181193.320495,-0.04951730085525191,0.1245150849754689,0.599999927979791,0.8432396870523018,-0.067,-0.039,0.003,0.889,0.001,-0.004,0.458
0,1761181193.3538225,0.051640192570929194,0.021625247514873783,0.5999992885994541,0.8068653270449045,-0.067,-0.039,0.003,0.889,0.0,-0.004,0.458
0,1761181193.3871741,-0.04964837712010495,0.1210827203403791,0.6000000455633683,0.8334202448039562,-0.067,-0.039,0.003,0.889,0.002,-0.004,0.458
0,1761181193.4199986,0.029318108510594104,0.018062869872343554,0.599999997095294,0.8139309156352854,-0.067,-0.039,0.003,0.889,0.001,-0.004,0.457
0,1761181193.4533603,-0.04892992066710353,0.11761090426057745,0.6000000315766025,0.8501033007159066,-0.067,-0.039,0.003,0.889,0.001,-0.004,0.458
0,1761181193.4836526,0.042679257340581145,0.01693931039124333,0.5999998748358746,0.8348196882519499,-0.067,-0.039,0.003,0.889,0.001,-0.004,0.458
0,1761181193.519952,-0.05544037280899057,0.11651464452842653,0.59999999005272,0.8479207940029356,-0.067,-0.039,0.003,0.889,0.0,-0.004,0.458
0,1761181193.5520792,0.0451567758020352,0.016185597004298433,0.5999991035929384,0.8365324141379422,-0.067,-0.039,0.003,0.889,0.001,-0.004,0.458
0,1761181193.5838964,-0.025247568694672234,0.11578049509813369,0.599999975641032,0.8521087007474267,-0.067,-0.039,0.003,0.889,0.0,-0.004,0.457
