step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,orb_pose_x,orb_pose_y,orb_pose_z,orb_pose_qw,orb_pose_qx,orb_pose_qy,orb_pose_qz,orb_pose_vx,orb_pose_vy,orb_pose_vz,orb_pose_avx,orb_pose_avy,orb_pose_avz,mot_pose_x,mot_pose_y,mot_pose_z,mot_pose_qw,mot_pose_qx,mot_pose_qy,mot_pose_qz,mot_pose_vx,mot_pose_vy,mot_pose_vz,mot_pose_avx,mot_pose_avy,mot_pose_avz,est_pose_x,est_pose_y,est_pose_z,est_pose_qw,est_pose_qx,est_pose_qy,est_pose_qz,est_pose_vx,est_pose_vy,est_pose_vz,est_pose_avx,est_pose_avy,est_pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,est_param_centre_rate_deg,est_param_max_rate_deg,est_param_rate_expo,est_param_angle_max_deg,est_param_tau_angle,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1762407766.8683436,-0.0006742078433960426,0.0007097905789729837,0.04999999999932084,-0.0039772368413237905,-0.006742078433960425,0.007097905789729836,0.4999999999932083,-0.039772368413237905,0.039,0.011,-0.063,0.999,0.032,-0.023,0.015,0.004,-0.003,0.004,0.009,0.007,0.016,0.025,-0.01,-0.004,1.0,0.002,0.007,0.021,-0.0,0.002,-0.0,-0.0,-0.0,0.0,0.02499926937675783,-0.009933133110893002,-0.009490100567389019,1.0000726848746548,0.0023089042531345507,0.0066692656926476005,0.017306711172533986,-4.2180609019897026e-05,0.0020119493282842746,-0.3289433305709857,0.03737658564391268,-0.03934923200855843,-0.42306851102115994,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.2,0.12,100.0,100.0,0.5,55.0,0.15,0.0016,0.0022,0.0017,0.0002
0,1762407766.9021766,-0.007343944708605271,-0.020511505496740256,0.0974999967053705,0.019383089113234026,-0.0670344725737903,-0.21185806546764588,0.4999999670601571,0.23161464112491628,0.039,0.011,-0.063,0.999,0.032,-0.023,0.015,-0.001,0.007,-0.012,-0.001,-0.005,-0.008,0.025,-0.01,-0.005,1.0,0.001,0.009,0.021,-0.006,-0.002,-0.0,-0.1,0.2,0.0,0.025,-0.01,-0.005,1.0,0.001,0.009,0.021,-0.006,-0.002,-0.0,-0.1,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.2,0.12,100.0,100.0,0.5,55.0,0.15,0.0012,0.0031,0.0022,0.0003
0,1762407766.9346082,0.025232810803705465,-0.033705199679845976,0.14262499484607635,0.03198407966561953,0.3220955827688047,-0.1421926945794274,0.49999997975974386,0.13570145008047213,0.039,0.011,-0.063,0.999,0.032,-0.023,0.015,0.001,-0.001,0.001,-0.007,0.001,0.003,0.025,-0.01,-0.005,1.0,0.001,0.008,0.021,-0.0,0.002,-0.003,-0.0,-0.1,0.0,0.02501147665266023,-0.009934642655289233,-0.009767727234689513,1.0000115503824258,0.0009917352787570134,0.006345601549988235,0.02101544337937808,0.000695292983679189,0.001917079190545136,-0.2804404060171948,-0.004984147429659547,-0.09744211782988645,0.0020270268614686966,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.2,0.12,100.0,100.0,0.5,55.0,0.15,0.0013,0.002,0.0025,0.0002
0,1762407766.973311,-0.026028102647942385,0.005672672058785626,0.18549374418533415,0.02749777896014427,-0.4999927291146257,0.37692611754639294,0.49999999081561625,-0.028870967221942857,0.039,0.011,-0.063,0.999,0.032,-0.023,0.015,0.0,-0.0,-0.0,-0.0,-0.003,-0.001,0.025,-0.01,-0.004,1.0,0.003,0.007,0.019,-0.001,-0.003,0.023,-0.0,0.2,-0.1,0.02500312906835099,-0.010220647649348867,-0.02037298164071085,1.0000118791701522,0.0024539631095543317,0.010923145454811704,0.016429517533169645,0.001687865412423668,-0.003708867394076452,-0.49094841692801866,-0.030707233683042436,0.023632775791822165,-0.06526611931630691,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.2,0.12,100.0,100.0,0.5,55.0,0.15,0.0039,0.0043,0.002,0.0002
0,1762407767.0015383,0.02522264724578773,-0.017453254983276607,0.2262190231268539,0.03618736784300538,0.4994934476133299,-0.22842293439122946,0.4999996615078647,0.10064477830868318,0.039,0.011,-0.063,0.999,0.032,-0.023,0.015,-0.001,0.001,-0.001,-0.007,-0.004,-0.003,0.025,-0.01,-0.005,1.0,0.001,0.009,0.021,-0.008,0.003,-0.017,-0.1,0.2,0.1,0.024441668188822496,-0.009678101426779771,-0.04502933758626254,0.9998954375913416,-0.002308900515964299,0.011996955429288922,0.024143538620617466,-0.001696539129279374,0.003877734546888736,-0.7274679050359103,0.0017116535679664677,-0.08695197579181962,0.022099045346934278,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.2,0.12,100.0,100.0,0.5,55.0,0.15,0.0023,0.0015,0.0021,0.0002
0,1762407767.035014,-0.02361569460587113,0.0005153983039775795,0.26490806921751475,0.037010423954088566,-0.4757720948936947,0.17095990538090355,0.49999997247003586,0.026324245032334558,0.039,0.011,-0.063,0.999,0.032,-0.023,0.015,0.001,0.001,0.004,0.005,0.004,0.0,0.025,-0.01,-0.004,1.0,0.002,0.007,0.021,-0.001,-0.003,0.006,-0.1,0.1,-0.0,0.025212170500447238,-0.010380174802667095,-0.06795913526406572,1.0000214480555492,-0.0019085534294561069,0.0057820271689563866,0.02034789699137149,0.0053253617954903965,-0.0020979457173992055,-0.8651309553356645,-0.05248089997413111,-0.07859877278294702,-0.02738706194263328,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.2,0.12,100.0,100.0,0.5,55.0,0.15,0.0018,0.0017,0.0025,0.0003
0,1762407767.0725782,0.008667209431806912,-0.013528998474645965,0.30166265532911685,0.03666702786132189,0.3110211930738448,-0.14018626863424669,0.49999989572477904,0.015071251049377562,0.039,0.011,-0.063,0.999,0.032,-0.023,0.015,-0.001,-0.0,-0.009,0.006,0.001,0.004,0.025,-0.01,-0.004,1.0,0.002,0.009,0.021,-0.002,-0.002,0.004,-0.0,0.2,-0.0,0.025583312200846257,-0.010442926256815028,-0.09926111495920285,1.0000267516287007,0.0012279038477837779,0.00883391208637611,0.019823707756159367,0.01186096426980466,-0.0035800370295120316,-0.9925196060957343,0.016528327560061354,-0.12785174181814393,-0.036099840084667816,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.2,0.12,100.0,100.0,0.5,55.0,0.15,0.0039,0.003,0.0034,0.0003
0,1762407767.106465,-0.007624428315767817,-0.009442819405999506,0.3365795223952049,0.03638491441489258,-0.15858277275984384,0.03409729144914159,0.49999999832543895,0.015512379466367951,0.04,0.012,-0.063,0.999,0.032,-0.023,0.015,0.006,0.007,0.001,-0.005,-0.006,-0.01,0.025,-0.01,-0.005,1.0,0.001,0.008,0.021,-0.007,-0.003,-0.001,-0.1,0.1,0.0,0.024593550656451166,-0.010355383210456981,-0.13589760207403404,1.0000622365147047,-0.0026036339283812162,0.002972114427006316,0.019128494250040574,0.003924858894270708,0.0009615176598306765,-1.089620260946639,-0.020613746153962605,-0.09544446111464296,-0.04410285326298039,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.2,0.12,100.0,100.0,0.5,55.0,0.15,0.0045,0.0024,0.0037,0.0004
0,1762407767.1361647,-0.0015182431255410783,-0.012259372971803292,0.3697505459644656,0.03519916520077887,0.05724963774438349,-0.032886945361037596,0.49999999689020985,0.006334965066309244,0.04,0.012,-0.064,0.999,0.032,-0.023,0.015,-0.002,0.003,-0.001,0.013,0.01,-0.004,0.025,-0.01,-0.004,1.0,0.001,0.01,0.021,0.0,0.002,0.008,0.0,0.2,-0.0,0.02721465823710325,-0.009631551909652272,-0.17024066439885707,1.0000897230398766,0.0003464205015313543,0.004999317938172671,0.018369862628236994,0.021721403553664007,0.0009427527173204367,-1.1423637304053251,-0.005487360134316195,-0.13825610002794386,-0.04842131047247149,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.2,0.12,100.0,100.0,0.5,55.0,0.15,0.0021,0.002,0.003,0.0004
0,1762407767.1745293,-0.005580416323589537,0.00423789016584834,0.4012630186594085,0.032411430301867175,-0.04138085354325512,0.15884294489061468,0.499999999931662,-0.010277766388727492,0.041,0.012,-0.066,0.999,0.032,-0.024,0.015,0.081,0.013,-0.115,-0.0,-0.045,0.017,0.025,-0.01,-0.004,1.0,0.002,0.005,0.02,0.003,-0.002,0.008,-0.0,-0.2,-0.0,0.024708770319352195,-0.011003031714399926,-0.20886494015952978,1.0000395114034166,0.0005294179496214475,-0.008855514563247192,0.016468962874134168,-0.014020110040485478,-0.006077397430483241,-1.1741221092931575,-0.02806526779806541,-0.00248176377627162,-0.05242483631093733,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.2,0.12,100.0,100.0,0.5,55.0,0.15,0.0042,0.0031,0.0043,0.0004
