step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz,pose_vx,pose_vy,pose_vz,pose_avx,pose_avy,pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,est_param_centre_rate_deg,est_param_max_rate_deg,est_param_rate_expo,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1761628889.61987,0.00011541697805644517,6.664454616208169e-05,0.05000000000837654,-0.006693463859949671,0.0011541697805644516,0.0006664454616208169,0.5000000000837654,-0.0669346385994967,-0.067,-0.032,-0.004,0.999,0.003,0.001,-0.041,0.024,-0.004,-0.006,-0.007,-0.007,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.5,0.12,50.0,300.0,0.5,0.0018,0.0013,0.0041,0.0
0,1761628889.6593883,-0.026531657048223474,0.027967353582099425,0.09500000000724618,-0.04763216721684064,-0.2663553232847427,0.2790737349055355,0.4999999999970729,-0.4160804974288594,-0.068,-0.032,-0.004,0.999,0.003,0.001,-0.041,-0.027,0.0,0.004,0.001,0.008,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.5,0.12,50.0,300.0,0.5,0.0076,0.0027,0.0036,0.0
0,1761628889.6868942,-0.03051820600593699,0.01751570441653022,0.1354999999783869,-0.07196438004459614,-0.0663971466253586,-0.07654913807359259,0.4999999997186534,-0.2909542954943956,-0.068,-0.032,-0.004,0.999,0.002,0.001,-0.041,0.015,-0.003,0.001,-0.005,-0.003,0.006,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.5,0.12,50.0,300.0,0.5,0.0023,0.003,0.0034,0.0
0,1761628889.7173996,-0.034156293584514996,0.027809186725463203,0.17194999977114306,-0.08732412563989081,-0.06689908179171705,0.12045052750586004,0.49999999790594835,-0.22556183599754293,-0.068,-0.032,-0.004,0.999,0.003,0.001,-0.041,-0.007,0.001,-0.001,0.002,0.003,-0.007,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.5,0.12,50.0,300.0,0.5,0.0015,0.002,0.0025,0.0
0,1761628889.7557657,-0.034913853694916556,0.023817212286390783,0.20475499916449325,-0.09610927515662672,-0.04173189468853061,-0.012110557665260965,0.4999999937046447,-0.17517562080724972,-0.067,-0.032,-0.004,0.999,0.003,0.001,-0.041,0.015,0.005,-0.004,0.001,-0.011,0.001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.5,0.12,50.0,300.0,0.5,0.0017,0.0013,0.0078,0.0
0,1761628889.7848732,-0.03626571804260488,0.034511301543898955,0.23427949921684943,-0.10088955288402064,-0.0484324971717998,0.13075810486147244,0.49999999968805486,-0.1439120524305661,-0.068,-0.032,-0.004,0.999,0.002,0.001,-0.041,-0.018,-0.006,0.001,-0.007,0.008,0.006,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.5,0.12,50.0,300.0,0.5,0.0021,0.0011,0.0021,0.0
0,1761628889.8180652,-0.038866002851659975,0.031029652822564226,0.26085154924569126,-0.10433219313837835,-0.06226856613315582,-0.0003051856694483316,0.4999999995052674,-0.13531595542759783,-0.068,-0.032,-0.004,0.999,0.003,0.001,-0.041,0.001,0.002,0.005,0.005,0.003,-0.004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.5,0.12,50.0,300.0,0.5,0.0023,0.0009,0.003,0.0
0,1761628889.8482153,-0.04123212845899704,0.029462594235683245,0.2847663900866239,-0.10598057050238964,-0.06252725892503064,0.0153590669537544,0.4999999576550181,-0.12081596677849116,-0.068,-0.032,-0.004,0.999,0.003,0.001,-0.041,0.004,-0.001,-0.002,0.0,-0.001,0.002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.5,0.12,50.0,300.0,0.5,0.0008,0.0009,0.0016,0.0
0,1761628889.8837564,-0.04541629122546113,0.031829233701457973,0.306289710755802,-0.10685045138227367,-0.08307375612363799,0.05312898889343051,0.49999959677840505,-0.11467937930122987,-0.068,-0.032,-0.004,0.999,0.003,0.001,-0.041,-0.001,-0.003,-0.004,0.009,-0.003,0.003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.5,0.12,50.0,300.0,0.5,0.0015,0.0014,0.0027,0.0
0,1761628889.924628,-0.034681195410711935,0.028135844900700625,0.32566045246158715,-0.10783952662047644,0.061934666922030916,-0.005104654306115522,0.499997127813653,-0.11674120376430122,-0.067,-0.032,-0.004,0.999,0.002,0.001,-0.041,0.009,0.004,-0.0,-0.015,-0.003,-0.005,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.5,0.12,50.0,300.0,0.5,0.0036,0.0042,0.0053,0.0
