step,timestamp,u0,u1,u2,u3,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz
42,1760765630.800688,0.0,0.0,-0.5590028785599837,-0.0,-0.0,0.0,0.151,1.0,0.0,-0.0,0.0
43,1760765630.8091655,0.0,0.0,-0.5424975740315119,-0.0,-0.0,0.0,0.153,1.0,0.0,-0.0,0.0
44,1760765630.817572,0.0,0.0,-0.545360565155323,-0.0,-0.0,0.0,0.154,1.0,0.0,-0.0,0.0
45,1760765630.8257613,0.0,0.0,-0.5413332809962226,-0.0,-0.0,0.0,0.156,1.0,0.0,-0.0,0.0
46,1760765630.83405,0.0,0.0,-0.5573310304035826,-0.0,-0.0,0.0,0.157,1.0,0.0,-0.0,0.0
47,1760765630.8424044,0.0,0.0,-0.5506767945877724,-0.0,-0.0,0.0,0.159,1.0,0.0,-0.0,0.0
48,1760765630.8511524,0.0,0.0,-0.552560151656269,-0.0,-0.0,0.0,0.161,1.0,0.0,-0.0,0.0
49,1760765630.8596125,0.0,0.0,-0.525213198727918,-0.0,-0.0,0.0,0.162,1.0,0.0,-0.0,0.0
50,1760765630.8674512,0.0,0.0,-0.5179022249979305,-0.0,-0.0,0.0,0.164,1.0,0.0,-0.0,0.0
51,1760765630.8757765,0.0,0.0,-0.5404673535470648,-0.0,-0.0,0.0,0.165,1.0,0.0,-0.0,0.0
52,1760765630.8841941,0.0,0.0,-0.5462911381006259,-0.0,-0.0,0.0,0.167,1.0,0.0,-0.0,0.0
53,1760765630.892512,0.0,0.0,-0.5553986122250743,-0.0,-0.0,0.0,0.169,1.0,0.0,-0.0,0.0
54,1760765630.901058,0.0,0.0,-0.5631926105211678,-0.0,-0.0,0.0,0.171,1.0,0.0,-0.0,0.0
55,1760765630.9092805,0.0,0.0,-0.5440603543359862,-0.0,-0.0,0.0,0.173,1.0,0.0,-0.0,0.0
56,1760765630.917799,0.0,0.0,-0.5298481596911842,-0.0,-0.0,0.0,0.174,1.0,0.0,-0.0,0.0
57,1760765630.9260461,0.0,0.0,-0.548806702528294,-0.0,-0.0,0.0,0.176,1.0,0.0,-0.0,0.0
58,1760765630.934385,0.0,0.0,-0.5733420448199607,-0.0,-0.0,0.0,0.177,1.0,0.0,-0.0,0.0
59,1760765630.9424021,0.0,0.0,-0.5548665265489565,-0.0,-0.0,0.0,0.179,1.0,0.0,-0.0,0.0
60,1760765630.9507813,0.0,0.0,-0.5423016495055495,-0.0,-0.0,0.0,0.181,1.0,0.0,-0.0,0.0
61,1760765630.9590995,0.0,0.0,-0.5540360752867075,-0.0,-0.0,0.0,0.183,1.0,0.0,-0.0,0.0
62,1760765630.96783,0.0,0.0,-0.5056735091046786,-0.0,-0.0,0.0,0.184,1.0,0.0,-0.0,0.0
63,1760765630.9758086,0.0,0.0,-0.5515583064230635,-0.0,-0.0,0.0,0.186,1.0,0.0,-0.0,0.0
64,1760765630.9843817,0.0,0.0,-0.5380028496924387,-0.0,-0.0,0.0,0.187,1.0,0.0,-0.0,0.0
65,1760765630.992493,0.0,0.0,-0.5602450821004359,-0.0,-0.0,0.0,0.189,1.0,0.0,-0.0,0.0
66,1760765631.0016313,0.0,0.0,-0.484956261437132,-0.0,-0.0,0.0,0.19,1.0,0.0,-0.0,0.0
67,1760765631.0093226,0.0,0.0,-0.4730371766759993,-0.0,-0.0,0.0,0.19,1.0,0.0,-0.0,0.0
68,1760765631.017776,0.0,0.0,-0.5790189659575713,-0.0,-0.0,0.0,0.193,1.0,0.0,-0.0,0.0
69,1760765631.0258675,0.0,0.0,-0.5861562263394874,-0.0,-0.0,0.0,0.195,1.0,0.0,-0.0,0.0
70,1760765631.0347183,0.0,0.0,-0.5197388403335303,-0.0,-0.0,0.0,0.197,1.0,0.0,-0.0,0.0
71,1760765631.0425167,0.0,0.0,-0.5048699077745507,-0.0,-0.0,0.0,0.198,1.0,0.0,-0.0,0.0
72,1760765631.0507998,0.0,0.0,-0.5080667406714021,-0.0,-0.0,0.0,0.2,1.0,0.0,0.0,0.0
73,1760765631.0591745,0.0,0.0,-0.5486976346763675,-0.0,-0.0,0.0,0.202,1.0,0.0,0.0,0.0
74,1760765631.0674455,0.0,0.0,-0.5643724879425902,-0.0,-0.0,0.0,0.204,1.0,0.0,0.0,0.0
75,1760765631.0760825,0.0,0.0,-0.6099343891198379,-0.0,-0.0,0.0,0.207,1.0,0.0,0.0,0.0
76,1760765631.0844646,0.0,0.0,-0.5116597414603236,-0.0,-0.0,0.0,0.208,1.0,0.0,0.0,0.0
77,1760765631.0934784,0.0,0.0,-0.5450665184093371,-0.0,-0.0,0.0,0.21,1.0,0.0,0.0,0.0
78,1760765631.1010404,0.0,0.0,-0.5475956677601082,-0.0,-0.0,0.0,0.21,1.0,0.0,0.0,0.0
79,1760765631.1094599,0.0,0.0,-0.6053126931655899,-0.0,-0.0,0.0,0.214,1.0,0.0,0.0,0.0
80,1760765631.1174974,0.0,0.0,-0.527074024704439,-0.0,-0.0,0.0,0.216,1.0,0.0,0.0,0.0
81,1760765631.1257532,0.0,0.0,-0.5355247609147098,-0.0,-0.0,0.0,0.218,1.0,0.0,0.0,0.0
82,1760765631.134574,0.0,0.0,-0.5311636349825692,-0.0,-0.0,-0.0,0.219,1.0,0.0,0.0,0.0
83,1760765631.1424458,0.0,0.0,-0.5205689716816944,-0.0,-0.0,-0.0,0.221,1.0,0.0,0.0,0.0
84,1760765631.1507537,0.0,0.0,-0.5506920590598208,-0.0,-0.0,-0.0,0.223,1.0,0.0,0.0,0.0
85,1760765631.159089,0.0,0.0,-0.5683371260685759,-0.0,-0.0,-0.0,0.225,1.0,0.0,0.0,0.0
86,1760765631.1673222,0.0,0.0,-0.5419807528274426,-0.0,-0.0,-0.0,0.227,1.0,0.0,0.0,0.0
87,1760765631.175732,0.0,0.0,-0.5881993919188677,-0.0,-0.0,-0.0,0.23,1.0,0.0,0.0,0.0
88,1760765631.1841679,0.0,0.0,-0.588112535244832,-0.0,-0.0,-0.0,0.232,1.0,0.0,0.0,0.0
89,1760765631.1924202,0.0,0.0,-0.5469740861187548,-0.0,-0.0,-0.0,0.233,1.0,0.0,0.0,0.0
90,1760765631.2011595,0.0,0.0,-0.5258716161910408,-0.0,-0.0,-0.0,0.235,1.0,0.0,0.0,0.0
91,1760765631.209296,0.0,0.0,-0.5179039045468758,-0.0,-0.0,-0.0,0.237,1.0,0.0,0.0,0.0
92,1760765631.2173755,0.0,0.0,-0.5683858672645028,-0.0,-0.0,-0.0,0.239,1.0,0.0,0.0,0.0
93,1760765631.2258961,0.0,0.0,-0.5577912039636279,-0.0,-0.0,-0.0,0.241,1.0,0.0,0.0,0.0
94,1760765631.2343876,0.0,0.0,-0.5481761747180678,-0.0,-0.0,-0.0,0.242,1.0,0.0,0.0,0.0
95,1760765631.2434325,0.0,0.0,-0.4830722645404657,-0.0,-0.0,-0.0,0.244,1.0,0.0,0.0,0.0
96,1760765631.253193,0.0,0.0,-0.48100424849199475,-0.0,-0.0,-0.0,0.244,1.0,0.0,0.0,0.0
97,1760765631.2655149,0.0,0.0,-0.5367291688911382,-0.0,-0.0,-0.0,0.244,1.0,0.0,0.0,0.0
98,1760765631.2753723,0.0,0.0,-0.468664465283786,-0.0,-0.0,-0.0,0.245,1.0,0.0,0.0,0.0
99,1760765631.2865267,0.0,0.0,-0.5037076142022918,-0.0,-0.0,-0.0,0.246,1.0,0.0,0.0,0.0
100,1760765631.2952995,0.0,0.0,-0.5581300044049834,-0.0,-0.0,-0.0,0.248,1.0,0.0,0.0,0.0
101,1760765631.3030155,0.0,0.0,-0.5219225624511883,-0.0,-0.0,-0.0,0.25,1.0,0.0,0.0,0.0
102,1760765631.309456,0.0,0.0,-0.5556631811732422,-0.0,-0.0,-0.0,0.253,1.0,0.0,0.0,0.0
103,1760765631.317347,0.0,0.0,-0.6790758892602737,-0.0,-0.0,-0.0,0.261,1.0,0.0,0.0,0.0
104,1760765631.3256755,0.0,0.0,-0.6412320753369867,-0.0,-0.0,-0.0,0.264,1.0,0.0,0.0,0.0
105,1760765631.3340638,0.0,0.0,-0.5800685926444492,-0.0,-0.0,-0.0,0.266,1.0,0.0,0.0,0.0
106,1760765631.3424335,0.0,0.0,-0.5596228606309128,-0.0,-0.0,-0.0,0.268,1.0,0.0,0.0,0.0
107,1760765631.350779,0.0,0.0,-0.5240721565912952,-0.0,-0.0,-0.0,0.27,1.0,0.0,0.0,0.0
108,1760765631.3597326,0.0,0.0,-0.5761904912784144,-0.0,-0.0,-0.0,0.271,1.0,0.0,0.0,0.0
109,1760765631.3684182,0.0,0.0,-0.5386695734962645,-0.0,-0.0,-0.0,0.273,1.0,0.0,0.0,0.0
110,1760765631.375806,0.0,0.0,-0.5655089713035037,-0.0,-0.0,-0.0,0.275,1.0,0.0,0.0,0.0
111,1760765631.384009,0.0,0.0,-0.5490036667750322,-0.0,-0.0,-0.0,0.277,1.0,0.0,0.0,0.0
112,1760765631.3928514,0.0,0.0,-0.5055721077652853,-0.0,-0.0,-0.0,0.279,1.0,0.0,0.0,0.0
113,1760765631.4008367,0.0,0.0,-0.5672186150239289,-0.0,-0.0,-0.0,0.281,1.0,0.0,0.0,0.0
114,1760765631.4090548,0.0,0.0,-0.552026786323812,-0.0,-0.0,-0.0,0.283,1.0,0.0,0.0,0.0
115,1760765631.417863,0.0,0.0,-0.5230434614259688,-0.0,-0.0,-0.0,0.285,1.0,0.0,0.0,0.0
116,1760765631.4261281,0.0,0.0,-0.5229566047519332,-0.0,-0.0,-0.0,0.287,1.0,0.0,0.0,0.0
117,1760765631.434053,0.0,0.0,-0.5622740229285437,-0.0,-0.0,-0.0,0.289,1.0,0.0,0.0,0.0
118,1760765631.4423838,0.0,0.0,-0.5687545453962821,-0.0,-0.0,-0.0,0.291,1.0,0.0,0.0,0.0
119,1760765631.450733,0.0,0.0,-0.5374671649828665,-0.0,-0.0,-0.0,0.292,1.0,0.0,0.0,0.0
120,1760765631.4590073,0.0,0.0,-0.5583959215625087,-0.0,-0.0,-0.0,0.294,1.0,0.0,0.0,0.0
121,1760765631.4673822,0.0,0.0,-0.5599563824898681,-0.0,-0.0,-0.0,0.297,1.0,0.0,0.0,0.0
122,1760765631.4757526,0.0,0.0,-0.5460780296181061,-0.0,-0.0,-0.0,0.299,1.0,0.0,0.0,0.0
123,1760765631.4840267,0.0,0.0,-0.562075779025466,-0.0,-0.0,-0.0,0.3,1.0,0.0,0.0,0.0
124,1760765631.492372,0.0,0.0,-0.5508243778104139,-0.0,-0.0,-0.0,0.302,1.0,0.0,0.0,0.0
125,1760765631.5007029,0.0,0.0,-0.5454836178229586,-0.0,-0.0,-0.0,0.304,1.0,0.0,0.0,0.0
126,1760765631.5091245,0.0,0.0,-0.5375159061787935,-0.0,-0.0,-0.0,0.306,1.0,0.0,0.0,0.0
127,1760765631.517347,0.0,0.0,-0.545309904474887,-0.0,-0.0,-0.0,0.308,1.0,0.0,0.0,0.0
128,1760765631.5257115,0.0,0.0,-0.5485067373717385,-0.0,-0.0,-0.0,0.31,1.0,0.0,0.0,0.0
129,1760765631.5340228,0.0,0.0,-0.5530170460969447,-0.0,-0.0,-0.0,0.312,1.0,0.0,0.0,0.0
130,1760765631.5423706,0.0,0.0,-0.5424223827960699,-0.0,-0.0,-0.0,0.314,1.0,0.0,0.0,0.0
131,1760765631.5506992,0.0,0.0,-0.5630172976026719,-0.0,-0.0,-0.0,0.315,1.0,0.0,0.0,0.0
132,1760765631.5590172,0.0,0.0,-0.5517658963876196,-0.0,-0.0,-0.0,0.317,1.0,0.0,0.0,0.0
133,1760765631.567324,0.0,0.0,-0.547081874314342,-0.0,-0.0,-0.0,0.319,1.0,0.0,0.0,0.0
134,1760765631.575727,0.0,0.0,-0.5364872110134671,-0.0,-0.0,-0.0,0.321,1.0,0.0,0.0,0.0
135,1760765631.584029,0.0,0.0,-0.5534755401080447,-0.0,-0.0,-0.0,0.323,1.0,0.0,0.0,0.0
