Step,x0_px,x0_py,x0_pz,x0_qw,x0_qx,x0_qy,x0_qz,x0_vx,x0_vy,x0_vz,x0_wx,x0_wy,x0_wz,x0_u0_act,x0_u1_act,x0_u2_act,x0_u3_act,x0_u4_act,x0_u5_act,x0_u6_act,x0_u7_act,x0_u0_des,x0_u1_des,x0_u2_des,x0_u3_des,x0_u4_des,x0_u5_des,x0_u6_des,x0_u7_des,u_dot_0,u_dot_1,u_dot_2,u_dot_3,u_dot_4,u_dot_5,u_dot_6,u_dot_7,x_next_px,x_next_py,x_next_pz,x_next_qw,x_next_qx,x_next_qy,x_next_qz,x_next_vx,x_next_vy,x_next_vz,x_next_wx,x_next_wy,x_next_wz,x_next_u0_act,x_next_u1_act,x_next_u2_act,x_next_u3_act,x_next_u4_act,x_next_u5_act,x_next_u6_act,x_next_u7_act,x_next_u0_des,x_next_u1_des,x_next_u2_des,x_next_u3_des,x_next_u4_des,x_next_u5_des,x_next_u6_des,x_next_u7_des
1,0.023059740662574768,-0.03101685270667076,0.18137817084789276,0.9999804676432302,-0.0017162155576695458,0.004366938774248032,-0.004129017065646788,0.00853236069307146,0.0053497094203317575,-0.00949020170294201,-0.010605682258439329,0.03731429798429877,-0.015027441652276263,-0.25,0.25,-0.25,0.25,0.25,-0.25,0.25,-0.25,-0.25,0.25,-0.25,0.25,0.25,-0.25,0.25,-0.25,-1.1997412727975147,1.1989679320832802,-1.1997067382242306,1.1973103953845736,1.1994093562647934,-1.198641874196389,1.1998742240591638,-1.1987529303257334,0.022966558020369624,-0.02886374311402922,0.1449899795667067,0.9499814442610687,-0.0021540780597297617,0.005899235048744635,-0.004622797794259626,0.01339765580826045,0.007051995743764411,-0.552150390171619,-0.010737033669447291,0.03472436650338622,-0.013824907394308666,-0.3323292883820869,0.33226816241162105,-0.332326558719381,0.33213714830952296,0.3323030532184613,-0.33224239032384983,0.3323397970424269,-0.3322511683612109,-0.3574741272797515,0.357396793208328,-0.35747067382242304,0.35723103953845736,0.35744093562647933,-0.3573641874196389,0.35748742240591636,-0.3573752930325733
2,0.02278803288936615,-0.03148562088608742,0.18171270191669464,0.9999862104034993,-0.0011942030146439276,0.004144353239694246,-0.0029962006329418474,0.0003163812283064188,-0.0211954260098425,0.012808673017990444,0.05304542229080856,0.034214442168138286,0.07349440725496052,-0.3323292883820869,0.33226816241162105,-0.332326558719381,0.33213714830952296,0.3323030532184613,-0.33224239032384983,0.3323397970424269,-0.3322511683612109,-0.3574741272797515,0.357396793208328,-0.35747067382242304,0.35723103953845736,0.35744093562647933,-0.3573641874196389,0.35748742240591636,-0.3573752930325733,-1.1997349198317961,1.1507667880357506,-1.1995482135511752,1.1996632504718578,1.199503662706684,-1.199620156441513,1.1996241968737174,-1.1849102081147245,0.021981334063479234,-0.03184496711953653,0.16267167149850714,0.9500021695253492,0.0009691074973329811,0.005120185999772138,0.00018447721397377766,0.0069195342044566744,-0.018687347602426456,-0.1953819403916659,0.038497877855848066,0.018658741296344334,0.059929920376813536,-0.42224619737104885,0.41831007096227757,-0.4222285097398144,0.42203428399171694,0.42219975691423306,-0.422143847499601,0.42224872595803126,-0.4209905744630211,-0.45957391289894345,0.4546036323514867,-0.4595519614864194,0.4593358126087203,0.45951925511582375,-0.4594579936928082,0.45957547097299223,-0.45799754919241714
3,0.02288089692592621,-0.03166954219341278,0.1815607249736786,0.9999862808203779,-0.0014033508672825913,0.004195172978525826,-0.0028052274510323486,0.00797646100628319,-0.0066507297229521055,-0.0022826685141079973,-0.006975337981362857,0.03342933456809735,0.010458267436158797,-0.42224619737104885,0.41831007096227757,-0.4222285097398144,0.42203428399171694,0.42219975691423306,-0.422143847499601,0.42224872595803126,-0.4209905744630211,-0.45957391289894345,0.4546036323514867,-0.4595519614864194,0.4593358126087203,0.45951925511582375,-0.4594579936928082,0.45957547097299223,-0.45799754919241714,-1.1804317053315931,0.7237631256286343,-0.9276932168945374,1.1156694142462242,0.7279974737257386,-1.1856570310415788,1.1984042996906952,-1.0463839726827526,0.022158351143492464,-0.029899668732953577,0.1831580014907484,0.949998144694347,-0.0021356794347119354,0.004590156725982759,-0.0028545644123382946,0.00360613722161724,0.008452476633089605,0.28529863017880797,-0.03911501168540032,-0.018229982911807063,-0.032603182628572494,-0.5118124734697566,0.47149602226215237,-0.4918168691942187,0.506480060786876,0.47600347282901223,-0.5121219420620932,0.5132350037633255,-0.4998750041464876,-0.5546383877871557,0.5042497632967757,-0.5293436851015522,0.5479359634029067,0.5093430397326064,-0.5550507971123256,0.5564371273934121,-0.5397360690010715
4,0.022957324981689453,-0.03252735733985901,0.18196099996566772,0.999987948852615,0.00040042880656079556,0.004886815910667545,-0.00024665069654442224,0.005562404861281363,-0.014636551415689451,0.013311559097296656,0.06857154088680567,0.061195143093211044,0.10627042540234793,-0.5118124734697566,0.47149602226215237,-0.4918168691942187,0.506480060786876,0.47600347282901223,-0.5121219420620932,0.5132350037633255,-0.4998750041464876,-0.5546383877871557,0.5042497632967757,-0.5293436851015522,0.5479359634029067,0.5093430397326064,-0.5550507971123256,0.5564371273934121,-0.5397360690010715,0.36915789013894307,-0.19183528021854002,0.15102646146550336,-0.2558200448954637,-0.2182285271939457,0.15610640449355784,-0.36295658569893285,0.5502053731356668,0.02039477818765287,-0.02996431038636255,0.1994654918674864,0.9500247239089589,0.0037189485396650884,0.006759605245658213,0.004567477810452967,-0.04329915088154199,0.039167349046142844,0.6505122183107672,0.09936516909336118,0.0440466597315763,0.1317964383126069,-0.47697796731073405,0.4480047123159301,-0.47275690775847784,0.48023284057702303,0.4504733240044769,-0.4941597781052817,0.4789946515948903,-0.44994701821121846,-0.4899906793839036,0.459853747110083,-0.48777385469992424,0.49495716074321516,0.46205303502658157,-0.5116876168073535,0.4923196124538482,-0.4577287282374513
5,0.023024283349514008,-0.032745566219091415,0.18429024517536163,0.9999693778341661,0.0013149485649960723,0.006573438740526187,0.004037846870157253,0.013581598769376143,-0.08379177362009667,0.11936561265644682,0.2619903831548299,0.2300395299916479,0.4523173721026894,-0.47697796731073405,0.4480047123159301,-0.47275690775847784,0.48023284057702303,0.4504733240044769,-0.4941597781052817,0.4789946515948903,-0.44994701821121846,-0.4899906793839036,0.459853747110083,-0.48777385469992424,0.49495716074321516,0.46205303502658157,-0.5116876168073535,0.4923196124538482,-0.4577287282374513,-0.5089950626775014,0.39170202639211915,-0.2573556498135924,0.6755561145170985,0.5300061045119278,-0.6311406423955708,0.696999189713009,-0.13776000191663573,0.021909040251618897,-0.035687519193970174,0.2070595126550955,0.9497536824890007,0.009470445971467815,0.013045909576421696,0.01900853678610428,-0.005552559642187101,-0.016488567542517277,0.5359106735287199,0.07359965485907516,0.05927212856574646,0.18252551243578935,-0.4994180200608127,0.46208074003958544,-0.47645101432184156,0.51647210725533,0.4752323092284998,-0.5274970351322783,0.5163393363568596,-0.441960699678068,-0.5163906516824586,0.4760312623937907,-0.4891207269462873,0.5377649141577643,0.49195099372644524,-0.5492173002065429,0.5374035508024567,-0.44861829201724235
6,0.023164957761764526,-0.031010333448648453,0.1887008547782898,0.9999384230268341,-0.0008233548097756958,0.00694411244235905,0.008616933552794576,0.01990786756721654,0.07005472465027963,0.17753687048884464,-0.056973263253531164,0.17816866305804352,0.1914653175793571,-0.4994180200608127,0.46208074003958544,-0.47645101432184156,0.51647210725533,0.4752323092284998,-0.5274970351322783,0.5163393363568596,-0.441960699678068,-0.5163906516824586,0.4760312623937907,-0.4891207269462873,0.5377649141577643,0.49195099372644524,-0.5492173002065429,0.5374035508024567,-0.44861829201724235,0.5657651186930406,0.22426640536265918,-0.5192418240893897,-0.2953177762164244,0.37277322775241073,0.5608803615949971,0.06103411258772007,-1.1104479399476501,0.02171659036234554,-0.01854178467011323,0.22091251060072511,0.9501123624070604,-0.0048865985767209755,0.011432085730020044,0.010308558023905323,-0.028870404040242992,0.18035044164538594,0.7112644880707073,-0.1465544382604781,0.005673626567495149,-0.16084903764230474,-0.4376287580698358,0.46319682674448176,-0.49956767191970886,0.47721767465602305,0.48871755443321746,-0.4668998807232071,0.5051517051345583,-0.5107330991277734,-0.43399460722903155,0.47465633981036714,-0.5165888730079119,0.48134489082823373,0.5046307668153641,-0.465668399036716,0.5166367845211058,-0.5372321714111453
7,0.022999048233032227,-0.03411203250288963,0.20034365355968475,0.9995873644233649,0.0015601766178075644,0.009650627222374404,0.02700985242994075,0.002428952688834689,-0.07789306497057216,0.3610799125353908,0.14306331680565781,0.2502831876784376,1.0556019340166993,-0.4376287580698358,0.46319682674448176,-0.49956767191970886,0.47721767465602305,0.48871755443321746,-0.4668998807232071,0.5051517051345583,-0.5107330991277734,-0.43399460722903155,0.47465633981036714,-0.5165888730079119,0.48134489082823373,0.5046307668153641,-0.465668399036716,0.5166367845211058,-0.5372321714111453,-1.1998385709048909,-0.4079273699123491,1.1994793147170904,1.1581048273846244,-0.16769831637541066,-0.16741752429937917,0.269535751362755,0.9634842892063438,0.01940168564444494,-0.04227804384267811,0.24603759529125227,0.9493872919531652,0.008713317156407304,0.016551130129484226,0.06581084076452558,-0.044804857960626256,-0.18030214326426702,0.7966797258275555,0.2119574143913021,0.08312024847234706,0.823837087729122,-0.5088926503806896,0.41312806559323667,-0.3877038475985088,0.5468162384244954,0.4584339469688348,-0.4562145720595446,0.506544767456463,-0.42137621481497295,-0.5322787339580691,0.41013078582861384,-0.37081149788580725,0.5730881290252845,0.46262939683705484,-0.45912673151481814,0.5177585204313261,-0.4140221339199536
8,0.02209453284740448,-0.030295521020889282,0.2177555412054062,0.9993772315672054,-0.001952738929414577,0.007946558602148964,0.034324743875587954,-0.02442785480249575,0.07303156975858054,0.543153227854307,-0.084045175666401,-0.040115625920759956,0.5975855360755553,-0.5088926503806896,0.41312806559323667,-0.3877038475985088,0.5468162384244954,0.4584339469688348,-0.4562145720595446,0.506544767456463,-0.42137621481497295,-0.5322787339580691,0.41013078582861384,-0.37081149788580725,0.5730881290252845,0.46262939683705484,-0.45912673151481814,0.5177585204313261,-0.4140221339199536,0.6730990461306091,1.1999040023107659,-0.14982141954980666,-0.711840855238201,0.6558510956652256,0.8549421616243408,0.03875257865594217,-1.1998107833362657,0.013421435642584571,-0.014041387848908748,0.27472637804977657,0.9514307345131847,-0.0067302610176566535,0.0047070305650591775,0.03545078719999829,-0.169401494074324,0.2800148657562461,0.8521139376026717,-0.23923355043643513,-0.18997596053335775,-0.7556796933173361,-0.4411312040992712,0.48591861931364433,-0.37229759376670374,0.47543970870413044,0.4893045963789688,-0.36718354775480255,0.4895004415076125,-0.4917189600878885,-0.4383548926471048,0.5096146467682596,-0.3672530649464976,0.4732496370502002,0.5050830365617247,-0.3506761787766432,0.495745852275354,-0.5133021055575826
9,0.020555973052978516,-0.02974139153957367,0.24356518685817719,0.9988413841265685,-0.002214800287508905,0.007755224431578882,0.04744302382672564,-0.05197141852672971,0.09923448320079255,0.7630169089089194,-0.12483479969849051,-0.03860774937254653,0.5534271005394149,-0.4411312040992712,0.48591861931364433,-0.37229759376670374,0.47543970870413044,0.4893045963789688,-0.36718354775480255,0.4895004415076125,-0.4917189600878885,-0.4383548926471048,0.5096146467682596,-0.3672530649464976,0.4732496370502002,0.5050830365617247,-0.3506761787766432,0.495745852275354,-0.5133021055575826,0.13179618398190307,-0.11113056897401022,-1.0047003655202378,0.8404264280525395,0.21444859654780452,-0.4066154565813441,-0.10580821912400018,0.6208296709805236,0.014885853729854046,-0.02226754416456956,0.3173663027099456,0.949514690018443,-0.0009405180725557934,0.00915380153567117,0.07086658621720537,-0.032825821176494435,-0.012121163325435669,1.004152414240608,0.24816342575987738,0.195197092443257,0.8978568255452491,-0.4073649466107077,0.4638689519390514,-0.43074752568317437,0.5170767966005526,0.489134347806124,-0.37327988504208987,0.45956933992132665,-0.4281084018156032,-0.40325752961655925,0.4730208575324456,-0.4493604482511965,0.5336297980029441,0.501273744388419,-0.3738039154959455,0.4603777377491863,-0.4255540331816512
10,0.017988592386245728,-0.02778305672109127,0.275892049074173,0.9983088037392001,-0.004362987412393501,0.00747532839888622,0.05748579113985882,-0.08464157037453468,0.1196955207240834,0.9842767723672687,-0.2526149859717448,0.029253308162201695,0.44750242792989026,-0.4073649466107077,0.4638689519390514,-0.43074752568317437,0.5170767966005526,0.489134347806124,-0.37327988504208987,0.45956933992132665,-0.4281084018156032,-0.40325752961655925,0.4730208575324456,-0.4493604482511965,0.5336297980029441,0.501273744388419,-0.3738039154959455,0.4603777377491863,-0.4255540331816512,1.1999477311324545,-0.08657156453628989,-0.19026319139544978,-1.1924416814571406,0.027920012510377568,-0.98229123592801,0.5218157309804222,0.10202480757197696,0.008780814821792712,-0.017148991825419513,0.36634201763084373,0.9505984415082065,-0.014958397344326285,0.009856011883840804,0.04772032769297689,-0.09646549252924974,0.07520674078980914,1.1703759028112515,-0.3701994900740687,-0.03944139921043138,-1.0629859120749683,-0.29023914429819,0.43809285245992163,-0.43291289493165563,0.4046758400644679,0.4725351958722822,-0.432501542404961,0.4782122427144366,-0.3974497685873446,-0.26309988002248574,0.4407126582021944,-0.44591874497818157,0.38770413995708286,0.4790020584200358,-0.4533428433139493,0.48954042395976916,-0.39407385076537094
