Step,x0_px,x0_py,x0_pz,x0_qw,x0_qx,x0_qy,x0_qz,x0_vx,x0_vy,x0_vz,x0_wx,x0_wy,x0_wz,x0_u0_act,x0_u1_act,x0_u2_act,x0_u3_act,x0_u4_act,x0_u5_act,x0_u6_act,x0_u7_act,x0_u0_des,x0_u1_des,x0_u2_des,x0_u3_des,x0_u4_des,x0_u5_des,x0_u6_des,x0_u7_des,u_dot_0,u_dot_1,u_dot_2,u_dot_3,u_dot_4,u_dot_5,u_dot_6,u_dot_7,x_next_px,x_next_py,x_next_pz,x_next_qw,x_next_qx,x_next_qy,x_next_qz,x_next_vx,x_next_vy,x_next_vz,x_next_wx,x_next_wy,x_next_wz,x_next_u0_act,x_next_u1_act,x_next_u2_act,x_next_u3_act,x_next_u4_act,x_next_u5_act,x_next_u6_act,x_next_u7_act,x_next_u0_des,x_next_u1_des,x_next_u2_des,x_next_u3_des,x_next_u4_des,x_next_u5_des,x_next_u6_des,x_next_u7_des
1,0.0005203858017921448,-0.0248882956802845,0.18100260198116302,0.9999632163677695,0.0007275610641472147,0.0027695498219675757,-0.00808493414364069,0.010930585885890746,0.0027003595349196843,0.019965394342972592,0.018701641960134595,0.08625568044602207,-0.056540224400471246,-0.25,0.25,-0.25,0.25,0.25,-0.25,0.25,-0.25,-0.25,0.25,-0.25,0.25,0.25,-0.25,0.25,-0.25,-1.1995188206308092,1.195704311890557,-1.1970604838106378,1.1708892502996961,1.1980984984199472,-1.1837102231575864,1.1995842710306335,-1.1973164069915216,0.0018331897707458628,-0.023472655245856747,0.15564833796265207,0.949965055549381,0.0015301409379661563,0.006487212977056166,-0.010154347443901195,0.01726536700170542,0.0007281499363215177,-0.3763766653750849,0.016285457879725046,0.0747127711737488,-0.04735319363305227,-0.34058364864796015,0.3402558393030947,-0.34037238532747666,0.33812329494763016,0.3404615897079642,-0.3392250973026051,0.3405892732916951,-0.3403943787258339,-0.35745188206308093,0.3570704311890557,-0.3572060483810638,0.35458892502996964,0.3573098498419947,-0.3558710223157586,0.35745842710306336,-0.35723164069915214
2,-0.0012448132038116455,-0.026719722896814346,0.1783069670200348,0.9999893578438225,0.00023406992079622618,-0.0038329042644446574,-0.0025570012262907224,-0.03227342391814794,-0.07622424888234434,-0.06957574018968835,0.036547325730457006,-0.3198846849834752,0.3586915639946793,-0.34058364864796015,0.3402558393030947,-0.34037238532747666,0.33812329494763016,0.3404615897079642,-0.3392250973026051,0.3405892732916951,-0.3403943787258339,-0.35745188206308093,0.3570704311890557,-0.3572060483810638,0.35458892502996964,0.3573098498419947,-0.3558710223157586,0.35745842710306336,-0.35723164069915214,-1.1115929769405972,1.1963972005180548,-1.1998998533474738,1.1999861620793195,1.1999834974188954,-1.1999916843783602,0.8323089376261414,-1.171045290408833,-0.004219091692292982,-0.03292822661580392,0.16611423393449437,0.9502710903584927,0.0013318814971255831,-0.016268105560642968,0.011974503555145306,-0.03198650642707568,-0.07828388624162062,-0.001020069436146298,0.01671560418733549,-0.24628792362421476,0.28407069718446215,-0.424715714065898,0.431674242719373,-0.4320923401420643,0.4298402041759716,0.4321891476627039,-0.4309476066755551,0.4007203927468255,-0.4296347468509213,-0.4507385856539866,0.4588566296814084,-0.459335731296758,0.4568580949864031,0.45944270709178453,-0.4580766396378067,0.4228163995105243,-0.45647458770507787
3,-0.0010587871074676514,-0.02620583400130272,0.1787610799074173,0.9999887835836795,6.275694546156611e-05,-0.0027621977200143148,-0.0038469510205310733,-0.0271250190564356,-0.04154851773988609,-0.04804977710289693,0.006363697458789968,-0.21152215540646196,0.21299394610831837,-0.424715714065898,0.431674242719373,-0.4320923401420643,0.4298402041759716,0.4321891476627039,-0.4309476066755551,0.4007203927468255,-0.4296347468509213,-0.4507385856539866,0.4588566296814084,-0.459335731296758,0.4568580949864031,0.45944270709178453,-0.4580766396378067,0.4228163995105243,-0.45647458770507787,-0.007099869185326846,0.06048481617803947,0.46492721605436527,-0.05947054897178111,-0.12660032321817738,-0.09645877454608698,0.5603630782086761,0.6029251328390227,-0.0029223619223059942,-0.027802226957426433,0.1889770776652278,0.9503118163369927,-0.00023056045244554727,-0.005818882944191254,-5.133090533858235e-05,-0.010844940945653025,-0.03164104221842514,0.5363790046818693,-0.03273870110961764,0.17431066400615458,-0.1532808557944213,-0.41278130587377004,0.4243669369942281,-0.37963190747296993,0.41226099704105074,0.4088022380154534,-0.4267503253975837,0.436220296152012,-0.36530321837779667,-0.42891164328981995,0.44196227981514197,-0.3898762231264835,0.42806813533990484,0.42381053941537755,-0.4448186851105251,0.4577118873558657,-0.3733583450359217
4,-0.0013626441359519958,-0.027069084346294403,0.17821329832077026,0.9999906853011561,0.00028641789216942343,-0.004175552564287458,-0.0010545314116956147,-0.013275803775311916,-0.032358088260948686,-0.02385673916961527,0.013758090533641439,-0.12275900880947081,0.20271103165220936,-0.41278130587377004,0.4243669369942281,-0.37963190747296993,0.41226099704105074,0.4088022380154534,-0.4267503253975837,0.436220296152012,-0.36530321837779667,-0.42891164328981995,0.44196227981514197,-0.3898762231264835,0.42806813533990484,0.42381053941537755,-0.4448186851105251,0.4577118873558657,-0.3733583450359217,0.16311356616861394,0.8662907285681538,-0.9125362547734915,0.37940914156244787,0.47711172894344567,-0.3527599470519407,0.4663034360754861,-0.3841968428594879,-0.0022118773938488807,-0.02429658574911482,0.18968437739107394,0.9500860405210161,-0.00017577874207501246,-0.009342539157638797,0.006814145625191694,-0.01865843012125103,0.08627561956604454,0.4592302938982061,-0.001331598140717441,-0.21217378425682332,0.2533064132321798,-0.3835119491479048,0.4834720192057961,-0.4424928378547599,0.4295327574973024,0.43437645348362336,-0.4417626669034826,0.4616600885381231,-0.38274526008460386,-0.39115470450846757,0.5064932386812002,-0.4616360374475085,0.44460564272915437,0.4503311853389532,-0.45785374556019287,0.481456636595621,-0.3931101120700744
5,0.0012853294610977173,-0.025279296562075615,0.1822316199541092,0.9999751230573277,0.001988378542888298,0.005335694528248166,-0.004162929395705068,0.07134440985578513,0.0203839270202006,0.09016482801169351,0.11272901745504577,0.46788288745028,-0.021831899831845608,-0.3835119491479048,0.4834720192057961,-0.4424928378547599,0.4295327574973024,0.43437645348362336,-0.4417626669034826,0.4616600885381231,-0.38274526008460386,-0.39115470450846757,0.5064932386812002,-0.4616360374475085,0.44460564272915437,0.4503311853389532,-0.45785374556019287,0.481456636595621,-0.3931101120700744,-0.8681983671428147,-1.1999481120780535,0.4440561130546735,0.532166934936279,-0.1919600400278263,0.42173440272024854,0.10113873787861039,-0.5971076488781226,0.009021170260912342,-0.0216602319316428,0.2090437917632686,0.9507776891877964,0.005885351831981841,0.027638876154792068,-0.008386191300003678,0.12949397341852992,0.011649241675834116,0.7020626179119288,0.07168084483000328,0.640958556338607,-0.2659005814312994,-0.44149970973922065,0.3638666049620292,-0.3886006532978703,0.4588233237471304,0.4014896960165457,-0.38880590217277433,0.45388043212780094,-0.4183836342681722,-0.4584168059973256,0.3611737655393348,-0.3941486242696657,0.47559205408632454,0.4086186220692229,-0.3927876180101584,0.46749767855370106,-0.43316537135438293
6,0.00017547607421875,-0.024641554802656174,0.18429985642433167,0.999983752125747,-0.00097759134399638,0.0022627861834714534,0.005139999840932944,-0.0204792652270591,0.030799186098154237,0.04728453758117927,-0.1731974510592172,-0.12243462525257649,0.4811415392232473,-0.44149970973922065,0.3638666049620292,-0.3886006532978703,0.4588233237471304,0.4014896960165457,-0.38880590217277433,0.45388043212780094,-0.4183836342681722,-0.4584168059973256,0.3611737655393348,-0.3941486242696657,0.47559205408632454,0.4086186220692229,-0.3927876180101584,0.46749767855370106,-0.43316537135438293,-0.6079015050659209,1.1999996321167519,-0.9594858851618384,-0.3317249190271707,1.0869181452162955,-1.1999995832444892,-1.1999998950908772,-1.0446082150288993,-0.0069261216237110484,-0.01750276233790286,0.20388230456048403,0.9521539501082774,-0.008979738712429939,-0.013738270703632614,0.02513653004232696,-0.21312362901005283,0.1215148059110505,0.542746973130972,-0.19580530227582835,-0.8607357659476554,0.5980370193377149,-0.4773163056644402,0.44789887680739715,-0.4534793745066055,0.41297504125275564,0.4772031892323684,-0.4738204021245852,0.33260936707381394,-0.492172340255962,-0.4962861162040514,0.4631150404740433,-0.4703897815723662,0.4186399594792913,0.4968795054873913,-0.4931481954340994,0.3241228051169283,-0.5159679242895537
7,0.002634182572364807,-0.024818532168865204,0.1931978166103363,0.9998320754646389,0.0005469123290592336,0.00985379626612635,0.015440999259207062,0.05114408138701143,0.00781559007296881,0.2243077239086122,-0.008348640197919893,0.27580466652023017,0.6348672564102593,-0.4773163056644402,0.44789887680739715,-0.4534793745066055,0.41297504125275564,0.4772031892323684,-0.4738204021245852,0.33260936707381394,-0.492172340255962,-0.4962861162040514,0.4631150404740433,-0.4703897815723662,0.4186399594792913,0.4968795054873913,-0.4931481954340994,0.3241228051169283,-0.5159679242895537,-0.007514310162263893,-1.1999994461830497,-0.26066512800081687,-0.4260760406919035,-1.1999991848796487,0.029422991304870028,1.1999995418658083,0.46558282517925087,0.016453909499215186,-0.024157915769252455,0.23452298284471795,0.951224380684012,0.004447941453094181,0.03182867810644079,0.03028786954879019,0.3153156058966557,-0.03133538164565437,0.8846863065138479,0.24878290444332304,1.0172834079963886,-0.14922769501006106,-0.46043187172772826,0.32746094147277394,-0.4588541269536991,0.35760237361647296,0.3567896820068913,-0.4540560246717009,0.4162694802581469,-0.43550005246554113,-0.4722232414100752,0.31995934383203617,-0.4729368052938296,0.3551003574361364,0.3520356117250568,-0.4655484865319075,0.4279166190476627,-0.44361124555715103
8,0.0039075687527656555,-0.024162394925951958,0.20411062240600586,0.9994926178904029,0.00033508107293423405,0.01526131906918627,0.027955082606429718,0.052163615890891385,0.022945014337623516,0.31962441082341375,-0.015228896843966295,0.32026495285134066,0.7477864319119877,-0.46043187172772826,0.32746094147277394,-0.4588541269536991,0.35760237361647296,0.3567896820068913,-0.4540560246717009,0.4162694802581469,-0.43550005246554113,-0.4722232414100752,0.31995934383203617,-0.4729368052938296,0.3551003574361364,0.3520356117250568,-0.4655484865319075,0.4279166190476627,-0.44361124555715103,-0.5340538032734439,0.4756079533326518,0.04428454420430161,1.1999999791775433,1.1999985525515333,-0.1454502526545256,-1.0658581524423458,-1.0890489773148477,0.006549464175797104,-0.01865762056317452,0.24561511581993167,0.9505788571783338,-0.002625154299893363,0.0065808151181441996,0.054670057748207386,-0.06064100956206203,0.09677604133858518,0.731081874237931,-0.2773158827497477,-0.8604209960428011,0.5237691085208139,-0.4872436600939061,0.3494550364891168,-0.43680911211221146,0.44201161883598994,0.44048728832465955,-0.44769115721720665,0.3077487836388802,-0.5100242080854644,-0.5020174596669158,0.3515221719736995,-0.4448615106087079,0.4573453374820839,0.4544336863939573,-0.45681608747076474,0.29993497285104503,-0.5303355810107783
9,0.0042711347341537476,-0.025342747569084167,0.2171177715063095,0.9988251878050297,-7.564521330376689e-05,0.017173416832666464,0.04531348848125083,-0.01423059383916947,-0.06800835191012888,0.3356751531757532,-0.0677957971478004,-0.16073505067736316,1.2904848142319416,-0.4872436600939061,0.3494550364891168,-0.43680911211221146,0.44201161883598994,0.44048728832465955,-0.44769115721720665,0.3077487836388802,-0.5100242080854644,-0.5020174596669158,0.3515221719736995,-0.4448615106087079,0.4573453374820839,0.4544336863939573,-0.45681608747076474,0.29993497285104503,-0.5303355810107783,-0.44971996102410716,-1.1999998733637416,-0.7757927390162287,-0.40870832680317337,-1.1999998436427668,-0.7199486546106773,1.0160163245700702,0.16220644481288327,0.004659903148216843,-0.030558985704952114,0.26377814968132685,0.947535246092287,0.0030863266701757885,0.019407482138669146,0.07656438957270495,0.06460837679296241,-0.07907021029705226,0.8692501665105582,0.2204934958303878,0.6268777333123998,0.10523297714571528,-0.5064635044564869,0.22954768650032306,-0.48432772029491133,0.38990888849798416,0.31999581638805197,-0.49022477098960465,0.3770655566373332,-0.47736706252193695,-0.5218885827859808,0.21394607603864035,-0.5001977089798954,0.39360723792766245,0.31171201770998275,-0.5059701485582943,0.38653985666549984,-0.4875981574789509
10,0.008006840944290161,-0.022576456889510155,0.23913733661174774,0.9981130737613274,-0.0011313221423744422,0.030419591189881776,0.053325983992476456,0.037414861747645994,0.027301388584661287,0.5739679744686258,-0.12450070815742535,0.3375695886290434,0.8436021044686646,-0.5064635044564869,0.22954768650032306,-0.48432772029491133,0.38990888849798416,0.31999581638805197,-0.49022477098960465,0.3770655566373332,-0.47736706252193695,-0.5218885827859808,0.21394607603864035,-0.5001977089798954,0.39360723792766245,0.31171201770998275,-0.5059701485582943,0.38653985666549984,-0.4875981574789509,0.32214768360524826,0.7727664481993383,0.7006189295659804,0.6034140345421322,1.1999995482589045,0.8795764963268176,-0.7408130352624935,-0.40141916480513884,0.0058770622024356105,-0.015289536729900244,0.3025755146939121,0.9474274909593733,-0.007309338799730553,0.026626433970816293,0.06792010140510513,-0.10997583199696398,0.1252923026713738,0.9870287752561222,-0.34820745305476,-0.5422416426480101,-0.027199212142862583,-0.45860749781903865,0.27926922469839904,-0.40520222327280075,0.42350452858935217,0.40435432742302824,-0.3953836373734564,0.29771292676106575,-0.4914126947260658,-0.46357938528615705,0.2805254170566422,-0.40512593057430263,0.4342682794854926,0.416126371650374,-0.39271399149769776,0.2931315603059755,-0.5033601660855173
