step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,orb_pose_x,orb_pose_y,orb_pose_z,orb_pose_qw,orb_pose_qx,orb_pose_qy,orb_pose_qz,orb_pose_vx,orb_pose_vy,orb_pose_vz,orb_pose_avx,orb_pose_avy,orb_pose_avz,mot_pose_x,mot_pose_y,mot_pose_z,mot_pose_qw,mot_pose_qx,mot_pose_qy,mot_pose_qz,mot_pose_vx,mot_pose_vy,mot_pose_vz,mot_pose_avx,mot_pose_avy,mot_pose_avz,est_pose_x,est_pose_y,est_pose_z,est_pose_qw,est_pose_qx,est_pose_qy,est_pose_qz,est_pose_vx,est_pose_vy,est_pose_vz,est_pose_avx,est_pose_avy,est_pose_avz,ukf_pose_x,ukf_pose_y,ukf_pose_z,ukf_pose_qw,ukf_pose_qx,ukf_pose_qy,ukf_pose_qz,ukf_pose_vx,ukf_pose_vy,ukf_pose_vz,ukf_pose_avx,ukf_pose_avy,ukf_pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,est_param_centre_rate_deg,est_param_max_rate_deg,est_param_rate_expo,fixed_angle_max_deg,est_param_tau_angle,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1762931325.0537481,6.400460982435044e-09,-6.4004545819388135e-06,0.09999999731409286,-5.335921155880388e-06,3.2002304912175216e-08,-3.2002272909694067e-05,0.49999998657046424,-2.667960577940194e-05,0.029,-0.01,-0.002,1.0,0.0,-0.0,0.002,-0.005,0.004,0.0,-0.0,0.001,-0.002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,-0.01,-0.002,0.99999799999,0.0,0.0,0.0020000039999640003,-0.005,0.004,0.0,-0.0,0.001,-0.002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.2,0.12,100.0,100.0,0.5,55.0,0.16,0.0014,0.0011,0.0014,0.0001
0,1762931325.1282341,-0.0015784961978969145,-0.003112966119303616,0.19999998830943802,0.00033242306258114685,-0.007892512991789485,-0.015532828323608385,0.49999995497672584,0.0016887949186851362,0.029,-0.01,-0.002,1.0,0.0,-0.0,0.002,0.002,-0.004,0.004,-0.0,0.002,0.003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029133610294211125,-0.010266665547477587,-0.016554823923036203,0.9999978424191731,-9.752444991049904e-08,4.891752224237674e-05,0.0020767363749819353,0.002012383776088688,-0.0039999498192988805,-0.4293112637313018,9.36718999193128e-09,0.0009704918158686714,0.0017271605578633496,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.2,0.12,100.0,100.0,0.5,55.0,0.16,0.0036,0.0032,0.0041,0.0005
0,1762931325.1905363,-0.0008711292185604217,-0.003452938530123872,0.2999998867993662,0.0003656621799626522,0.003536834896682463,-0.0016998620541012785,0.49999949244964065,0.00016619558690752676,0.029,-0.009,-0.002,1.0,0.0,-0.0,0.001,0.0,0.002,-0.0,-0.0,-0.001,-0.002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028997889525927887,-0.008732943339571083,-0.054136961364243244,0.9999995602497131,-8.021915664607949e-05,-0.00019381881047295834,0.0009147141638916075,-7.723734159549865e-05,0.0020229914010956203,-0.6753504267071779,-0.004606469934866896,-0.009207256861718584,-0.0009501306021791943,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.2,0.12,100.0,100.0,0.5,55.0,0.16,0.0028,0.0025,0.0021,0.0002
0,1762931325.2549398,-0.0011702236413931506,-0.002970576465223043,0.39971960143604646,0.00040792472434728673,-0.0014954721141636432,0.0024118103245041474,0.4985985731834014,0.00021131272192317284,0.029,-0.01,-0.002,1.0,0.0,-0.0,0.001,-0.001,-0.001,-0.006,0.002,-0.002,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028775925912601086,-0.010202480750504039,-0.10246822758414294,0.9999993289691013,-0.00015337617106601882,-0.0005956129707794769,0.0009826991100118814,-0.0015894678941890347,-0.0009397689581078906,-0.734573530113024,-0.003924612281042461,-0.012097928322605903,-0.00044381397448641435,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.2,0.12,100.0,100.0,0.5,55.0,0.16,0.0026,0.0009,0.0016,0.0002
0,1762931325.322237,-0.0008981294572383738,-0.003471022974783655,0.38436252698887763,0.000596018223611053,0.001360470920773884,-0.0025022325478030565,-0.07678537223584458,0.000940467496318831,0.029,-0.01,-0.002,1.0,0.0,-0.0,0.002,0.003,0.001,0.002,0.001,0.001,0.001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0295289969082763,-0.009773069621516929,-0.045658411280621994,0.9999975378159315,-0.0003109584466987723,-0.0008795497387158586,0.0020140332355502123,0.0015267649610825132,0.0015415824255429595,-0.1785468711047085,-0.003820663021362143,-0.01061189303934104,-0.00037780538436655057,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.2,0.12,100.0,100.0,0.5,55.0,0.16,0.0026,0.0014,0.0017,0.0002
0,1762931325.3908076,-0.0012190582885007236,-0.004824166324048241,0.3541933775926285,0.0007479052230318781,-0.0016046441563117493,-0.006765716746322927,-0.1508457469812458,0.0007594349971041255,0.029,-0.01,-0.002,1.0,0.0,-0.0,0.002,0.01,-0.0,-0.008,0.004,-0.004,0.003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030878077700307795,-0.010013894782564156,-0.00035663576149032707,0.9999972725506442,-0.00011284751373848795,-0.001001269630573009,0.002107839221929799,0.00801720549848592,-4.976355679475069e-05,0.1106470062172552,-0.0037282890478306397,-0.011007551254192857,-0.00016918342888258745,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.2,0.12,100.0,100.0,0.5,55.0,0.16,0.0031,0.0019,0.0026,0.0002
0,1762931325.4567175,-0.000988450701746503,-0.0036557261713729573,0.34525014696378936,0.000834233335865234,0.001153037933771102,0.005842200763376419,-0.04471615314419547,0.0004316405641667801,0.029,-0.01,-0.002,1.0,0.0,-0.0,0.002,0.002,0.001,-0.003,0.002,-0.002,0.001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029306383270316406,-0.009790638267356702,0.02315472538084592,0.9999974851035818,-0.00021635782036131282,-0.000994174826441335,0.00199975851193789,0.00041975164423609004,0.0012474988054985803,0.17160921433395954,-0.004177101404968496,-0.015656071409758037,-0.0007612342086206177,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.2,0.12,100.0,100.0,0.5,55.0,0.16,0.0025,0.0019,0.0022,0.0003
0,1762931325.52319,-0.0014020482274502634,-0.002595830727659526,0.3576626258159805,0.0008835762258996587,-0.002067987628518803,0.005299477218567155,0.062062394260955715,0.00024671445017212384,0.029,-0.01,-0.002,1.0,0.0,-0.0,0.002,-0.002,-0.002,0.0,-0.001,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02851174268841016,-0.010370202406759742,0.007175134650743549,0.9999974897123273,-0.000304496682960406,-0.0010883464790518611,0.0019360325926693444,-0.0036269794341174575,-0.0015010220602153317,0.042322318003441405,-0.0034375740677627404,-0.013362836761237444,-0.0011209346493356006,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.2,0.12,100.0,100.0,0.5,55.0,0.16,0.004,0.001,0.0015,0.0002
0,1762931325.5914857,-0.0013153736436837956,-0.0034224314706475527,0.3632165858908766,0.0009246214920095846,0.00043337291883233954,-0.0041330037149401345,0.02776980037448054,0.00020522633054962893,0.029,-0.01,-0.003,1.0,0.0,-0.0,0.002,0.004,-0.001,-0.005,0.001,-0.003,0.001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02966901826178812,-0.010181250950451817,-0.00489458899500838,0.9999973438682643,-0.00027496648148044034,-0.0011573875952604607,0.001975238530455745,0.0018341810393849754,-0.000618647290925201,-0.001664706400221417,-0.004648027721048749,-0.008763170900434075,-0.0010278016404051472,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.2,0.12,100.0,100.0,0.5,55.0,0.16,0.0034,0.0014,0.0035,0.0002
0,1762931325.6540139,-0.0012679220830574824,-0.003317192740682638,0.3604080109169556,0.0009526090917587461,0.0002372578031315676,0.0005261936498245725,-0.014042874869604545,0.00013993799874580792,0.029,-0.01,-0.002,1.0,0.0,-0.0,0.002,0.001,-0.001,-0.001,-0.0,-0.0,0.001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029123031858219565,-0.01017528717864237,-0.001659827666152009,0.9999976819839548,-0.0003180657488257608,-0.0008116784163366888,0.0019699993200503335,-0.0003540257544749521,-0.0005269952575237364,0.02984651822136454,-0.004621833547737383,-0.010994949487575432,-0.0010960474629538766,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.2,0.12,100.0,100.0,0.5,55.0,0.16,0.0011,0.0012,0.0016,0.0002
