xError,yError,zError,rollError,pitchError,yawError
0.0,0.0,0.985,0.0,0.0,0.0
0.0,0.0,0.985,0.0,0.0,0.0
0.0,0.0,0.974,0.0,0.0,0.0
0.0,0.0,0.956,0.0,0.0,0.0
0.0,0.0,0.923,0.0,0.0,0.0
0.0,0.0,0.887,0.0,0.0,0.0
0.0,0.0,0.858,0.0,0.0,0.0
0.0,0.0,0.836,0.0,0.0,0.0
0.0,0.0,0.8089999999999999,0.0,0.0,0.0
0.0,0.0,0.764,0.0,0.0,0.0
0.0,0.0,0.726,0.0,0.0,0.0
0.0,0.0,0.685,0.0,0.0,0.0
0.0,0.0,0.656,0.0,0.0,0.0
0.0,0.0,0.638,0.0,0.0,0.0
0.0,0.0,0.589,0.0,0.0,0.0
0.0,0.0,0.5509999999999999,0.0,0.0,0.0
0.0,0.0,0.529,0.0,0.0,0.0
0.0,0.0,0.505,0.0,0.0,0.0
0.0,0.0,0.493,0.0,0.0,0.0
0.0,0.0,0.471,0.0,0.0,0.0
0.0,0.0,0.45099999999999996,0.0,0.0,0.0
0.0,0.0,0.42600000000000005,0.0,0.0,0.0
0.0,0.0,0.41300000000000003,0.0,0.0,0.0
0.0,0.0,0.393,0.0,0.0,0.0
0.0,0.0,0.376,0.0,0.0,0.0
0.0,0.0,0.354,0.0,0.0,0.0
0.0,0.0,0.344,0.0,0.0,0.0
0.0,0.0,0.32799999999999996,0.0,0.0,0.0
0.0,0.0,0.31699999999999995,0.0,0.0,0.0
0.0,0.0,0.30300000000000005,0.0,0.0,0.0
0.0,0.0,0.29700000000000004,0.0,0.0,0.0
0.0,0.0,0.277,0.0,0.0,0.0
0.0,0.0,0.266,0.0,0.0,0.0
0.0,0.0,0.257,0.0,0.0,0.0
0.0,0.0,0.246,0.0,0.0,0.0
0.0,0.0,0.236,0.0,0.0,0.0
0.0,0.0,0.22499999999999998,0.0,0.0,0.0
0.0,0.0,0.21299999999999997,0.0,0.0,0.0
0.0,0.0,0.20399999999999996,0.0,0.0,0.0
0.0,0.0,0.19999999999999996,0.0,0.0,0.0
0.0,0.0,0.19199999999999995,0.0,0.0,0.0
0.0,0.0,0.18700000000000006,0.0,0.0,0.0
0.0,0.0,0.17700000000000005,0.0,0.0,0.0
0.0,0.0,0.17300000000000004,0.0,0.0,0.0
0.0,0.0,0.16500000000000004,0.0,0.0,0.0
0.0,0.0,0.15700000000000003,0.0,0.0,0.0
0.0,0.0,0.15600000000000003,0.0,0.0,0.0
0.0,0.0,0.14900000000000002,0.0,0.0,0.0
0.0,0.0,0.14300000000000002,0.0,0.0,0.0
0.0,0.0,0.137,0.0,0.0,0.0
0.0,0.0,0.13,0.0,0.0,0.0
0.0,0.0,0.124,0.0,0.0,0.0
0.0,0.0,0.11599999999999999,0.0,0.0,0.0
0.0,0.0,0.11399999999999999,0.0,0.0,0.0
0.0,0.0,0.10899999999999999,0.0,0.0,0.0
0.0,0.0,0.10299999999999998,0.0,0.0,0.0
0.0,0.0,0.10099999999999998,0.0,0.0,0.0
0.0,0.0,0.09599999999999997,0.0,0.0,0.0
0.0,0.0,0.09099999999999997,0.0,0.0,0.0
0.0,0.0,0.08699999999999997,0.0,0.0,0.0
0.0,0.0,0.08299999999999996,0.0,0.0,0.0
0.0,0.0,0.07899999999999996,0.0,0.0,0.0
0.0,0.0,0.07499999999999996,0.0,0.0,0.0
0.0,0.0,0.07399999999999995,0.0,0.0,0.0
0.0,0.0,0.07099999999999995,0.0,0.0,0.0
0.0,0.0,0.06699999999999995,0.0,0.0,0.0
0.0,0.0,0.06299999999999994,0.0,0.0,0.0
0.0,0.0,0.06000000000000005,0.0,0.0,0.0
0.0,0.0,0.05600000000000005,0.0,0.0,0.0
0.0,0.0,0.05500000000000005,0.0,0.0,0.0
0.0,0.0,0.052000000000000046,0.0,0.0,0.0
0.0,0.0,0.050000000000000044,0.0,0.0,0.0
0.0,0.0,0.04700000000000004,0.0,0.0,0.0
0.0,0.0,0.04500000000000004,0.0,0.0,0.0
0.0,0.0,0.04200000000000004,0.0,0.0,0.0
0.0,0.0,0.041000000000000036,0.0,0.0,0.0
0.0,0.0,0.040000000000000036,0.0,0.0,0.0
0.0,0.0,0.038000000000000034,0.0,0.0,0.0
0.0,0.0,0.03600000000000003,0.0,0.0,0.0
0.0,0.0,0.03300000000000003,0.0,0.0,0.0
0.0,0.0,0.03200000000000003,0.0,0.0,0.0
0.0,0.0,0.029000000000000026,0.0,0.0,0.0
0.0,0.0,0.028000000000000025,0.0,0.0,0.0
0.0,0.0,0.026000000000000023,0.0,0.0,0.0
0.0,0.0,0.025000000000000022,0.0,0.0,0.0
0.0,0.0,0.02400000000000002,0.0,0.0,0.0
0.0,0.0,0.02200000000000002,0.0,0.0,0.0
0.0,0.0,0.02100000000000002,0.0,0.0,0.0
0.0,0.0,0.019000000000000017,0.0,0.0,0.0
0.0,0.0,0.018000000000000016,0.0,0.0,0.0
0.0,0.0,0.016000000000000014,0.0,0.0,0.0
0.0,0.0,0.015000000000000013,0.0,0.0,0.0
0.0,0.0,0.013000000000000012,0.0,0.0,0.0
0.0,0.0,0.01200000000000001,0.0,0.0,0.0
0.0,0.0,0.01200000000000001,0.0,0.0,0.0
0.0,0.0,0.01100000000000001,0.0,0.0,0.0
0.0,0.0,0.010000000000000009,0.0,0.0,0.0
0.0,0.0,0.009000000000000008,0.0,0.0,0.0
0.0,0.0,0.007000000000000006,0.0,0.0,0.0
0.0,0.0,0.007000000000000006,0.0,0.0,0.0
0.0,0.0,0.006000000000000005,0.0,0.0,0.0
0.0,0.0,0.0050000000000000044,0.0,0.0,0.0
0.0,0.0,0.0040000000000000036,0.0,0.0,0.0
0.0,0.0,0.0040000000000000036,0.0,0.0,0.0
0.0,0.0,0.0030000000000000027,0.0,0.0,0.0
0.0,0.0,0.0020000000000000018,0.0,0.0,0.0
0.0,0.0,0.0020000000000000018,0.0,0.0,0.0
0.0,0.0,0.0010000000000000009,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
