Step,u0,u1,u2,u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz
23,0.008,-0.001,-1.3,-0.001,0.07,0.014,0.871,1.0,0.007,-0.025,-0.006,0.045,0.055,2.367,0.049,0.01,0.015,0.0,0.0,0.7931034482758621,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0
24,0.024,-0.001,-1.262,0.008,0.07,0.016,0.944,1.0,0.005,-0.024,-0.005,0.02,0.059,2.227,-0.111,0.102,0.156,0.0,0.0,0.8275862068965517,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206884,0.0,0.0,0.0
25,-0.007,0.011,-1.188,-0.014,0.071,0.018,1.008,1.0,0.01,-0.026,-0.008,0.025,0.057,2.015,0.188,-0.034,-0.181,0.0,0.0,0.8620689655172413,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0
26,-0.011,0.046,-1.092,-0.012,0.072,0.019,1.063,0.999,0.013,-0.029,-0.008,0.03,0.052,1.685,0.158,-0.432,-0.157,0.0,0.0,0.896551724137931,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0
27,-0.014,0.018,-1.002,-0.005,0.073,0.021,1.108,1.0,0.015,-0.025,-0.008,0.023,0.051,1.372,0.14,-0.073,-0.026,0.0,0.0,0.9310344827586207,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206884,0.0,0.0,0.0
28,-0.008,-0.018,-0.943,0.003,0.074,0.023,1.142,1.0,0.016,-0.021,-0.007,0.022,0.052,1.066,0.037,0.348,0.099,0.0,0.0,0.9655172413793103,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0
29,-0.013,0.005,-0.902,-0.007,0.075,0.025,1.168,1.0,0.016,-0.022,-0.008,0.023,0.05,0.788,0.086,0.065,-0.061,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206917,0.0,0.0,0.0
30,0.018,0.027,-0.868,-0.005,0.075,0.027,1.183,1.0,0.012,-0.021,-0.007,0.021,0.052,0.486,-0.232,-0.188,-0.04,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.024,-0.008,-0.829,0.012,0.076,0.028,1.19,1.0,0.009,-0.016,-0.004,0.011,0.046,0.202,-0.25,0.181,0.224,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,-0.006,-0.001,-0.725,-0.005,0.076,0.03,1.187,1.0,0.012,-0.017,-0.006,0.018,0.046,-0.075,0.045,0.097,-0.039,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,-0.048,-0.014,-0.598,-0.012,0.077,0.031,1.176,1.0,0.017,-0.015,-0.008,0.02,0.038,-0.328,0.344,0.215,-0.14,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,-0.035,0.026,-0.461,-0.003,0.078,0.032,1.158,1.0,0.017,-0.016,-0.007,0.019,0.04,-0.54,0.156,-0.192,-0.01,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.039,-0.023,-0.323,0.011,0.078,0.034,1.134,1.0,0.01,-0.012,-0.004,0.015,0.036,-0.711,-0.475,0.274,0.211,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,-0.002,-0.015,-0.233,0.0,0.079,0.035,1.107,1.0,0.009,-0.013,-0.005,0.013,0.04,-0.784,0.024,0.211,0.035,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,-0.041,0.004,-0.222,-0.006,0.079,0.036,1.083,1.0,0.011,-0.015,-0.006,0.001,0.036,-0.731,0.36,0.106,-0.059,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,-0.024,-0.009,-0.343,-0.002,0.079,0.037,1.067,1.0,0.013,-0.017,-0.006,0.017,0.03,-0.494,0.133,0.23,0.003,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.006,0.023,-0.571,0.003,0.079,0.038,1.063,1.0,0.012,-0.02,-0.005,0.002,0.03,-0.154,-0.131,-0.012,0.077,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.017,-0.027,-0.852,-0.001,0.079,0.038,1.071,1.0,0.008,-0.017,-0.006,-0.002,0.021,0.217,-0.164,0.42,0.017,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,-0.031,-0.013,-1.079,-0.013,0.079,0.039,1.087,1.0,0.01,-0.018,-0.007,-0.002,0.02,0.474,0.336,0.284,-0.169,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,-0.014,0.021,-1.162,-0.005,0.079,0.04,1.106,1.0,0.01,-0.019,-0.007,-0.009,0.014,0.521,0.14,-0.075,-0.044,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.007,0.011,-1.16,-0.001,0.078,0.04,1.119,1.0,0.008,-0.017,-0.006,-0.011,0.024,0.41,-0.038,0.021,0.015,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.05,0.017,-1.049,0.005,0.078,0.041,1.124,1.0,0.001,-0.016,-0.005,-0.014,0.023,0.172,-0.402,-0.037,0.107,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.025,-0.008,-0.896,-0.001,0.077,0.042,1.122,1.0,0.002,-0.012,-0.005,-0.01,0.014,-0.069,-0.128,0.164,0.016,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,-0.02,-0.013,-0.692,-0.004,0.077,0.042,1.109,1.0,0.007,-0.01,-0.005,-0.015,0.008,-0.355,0.23,0.19,-0.034,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,-0.042,-0.022,-0.452,-0.009,0.076,0.042,1.087,1.0,0.012,-0.007,-0.006,-0.019,0.009,-0.64,0.293,0.235,-0.104,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,-0.068,0.015,-0.208,-0.006,0.076,0.042,1.056,1.0,0.019,-0.01,-0.007,-0.015,0.003,-0.898,0.311,-0.085,-0.055,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.03,0.034,-0.034,0.007,0.075,0.043,1.021,1.0,0.01,-0.013,-0.005,-0.03,0.011,-1.051,-0.442,-0.107,0.138,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.027,0.05,-0.007,0.001,0.075,0.043,0.988,1.0,0.006,-0.016,-0.005,-0.008,0.013,-0.995,-0.258,-0.242,0.053,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.008,0.033,-0.145,-0.007,0.074,0.044,0.966,1.0,0.002,-0.014,-0.005,-0.003,0.016,-0.662,0.066,-0.182,-0.092,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,-0.033,-0.045,-0.466,-0.007,0.074,0.044,0.963,1.0,0.008,-0.005,-0.006,0.001,0.017,-0.122,0.328,0.294,-0.073,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.014,-0.03,-0.944,-0.009,0.075,0.045,0.982,1.0,0.007,-0.004,-0.007,0.021,0.028,0.539,-0.017,0.086,-0.103,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.01,-0.062,-1.207,-0.002,0.077,0.046,1.02,1.0,0.008,0.001,-0.005,0.041,0.025,1.096,-0.005,0.242,0.003,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.011,-0.046,-1.3,-0.002,0.078,0.047,1.066,1.0,0.006,-0.001,-0.005,0.052,0.036,1.367,0.049,0.14,0.003,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,-0.006,-0.01,-1.297,0.001,0.08,0.048,1.11,1.0,0.008,-0.006,-0.004,0.059,0.032,1.345,0.194,-0.229,0.037,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.014,0.014,-1.236,-0.0,0.082,0.049,1.147,1.0,0.006,-0.015,-0.004,0.052,0.032,1.134,-0.035,-0.322,0.023,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,0.017,-0.013,-1.142,0.002,0.084,0.05,1.175,1.0,0.005,-0.016,-0.004,0.057,0.026,0.872,-0.08,0.042,0.049,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.013,-0.02,-1.067,-0.001,0.086,0.05,1.194,1.0,0.005,-0.016,-0.004,0.062,0.026,0.591,-0.025,0.118,0.012,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.01,-0.022,-0.994,-0.004,0.088,0.051,1.203,1.0,0.006,-0.013,-0.005,0.063,0.02,0.288,-0.018,0.067,-0.039,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.006,0.021,-0.877,-0.002,0.09,0.052,1.202,1.0,0.009,-0.016,-0.006,0.055,0.023,-0.0,-0.017,-0.361,-0.003,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,-0.024,0.014,-0.711,-0.0,0.091,0.052,1.192,1.0,0.013,-0.015,-0.006,0.051,0.024,-0.298,0.217,-0.246,0.039,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,-0.014,0.012,-0.498,-0.011,0.093,0.053,1.172,1.0,0.013,-0.017,-0.007,0.05,0.028,-0.606,0.076,-0.155,-0.136,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0.006,-0.05,-0.298,0.005,0.095,0.053,1.145,1.0,0.011,-0.011,-0.005,0.056,0.021,-0.834,-0.131,0.355,0.117,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.014,-0.011,-0.131,-0.001,0.096,0.054,1.112,1.0,0.008,-0.013,-0.005,0.058,0.016,-0.997,-0.145,-0.028,0.02,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,-0.005,-0.021,-0.068,-0.006,0.098,0.054,1.079,1.0,0.009,-0.011,-0.005,0.057,0.013,-0.968,0.015,0.013,-0.075,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,-0.016,0.023,-0.139,-0.004,0.1,0.054,1.053,1.0,0.01,-0.019,-0.005,0.051,0.003,-0.772,0.079,-0.194,-0.037,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,-0.025,0.032,-0.41,-0.004,0.101,0.054,1.044,1.0,0.013,-0.021,-0.005,0.039,-0.0,-0.307,0.108,-0.263,-0.028,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
