Step,u0,u1,u2,u3,o_u0,o_u1,o_u2,o_u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz
19,0.05,0.06,0.05,0.064,0.07104677110719029,0.07739984579488071,0.042802946131756885,0.047243543030038415,-0.041,-0.115,1.206,0.997,0.067,0.025,0.022,-0.226,-0.221,0.702,0.92,0.309,0.093,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.05,0.073,0.262,0.281,0.05383639751918996,0.0667942555748337,0.13589609392692695,0.14647270011526772,-0.048,-0.122,1.221,0.999,0.037,0.033,0.023,-0.214,-0.203,0.494,-1.335,0.507,0.068,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.215,0.205,0.266,0.247,0.119715656244991,0.12128584897095883,0.17872163106740216,0.17503034592413713,-0.055,-0.128,1.228,0.998,-0.031,0.037,0.026,-0.207,-0.182,0.284,-3.591,0.478,0.073,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.102,0.111,0.208,0.219,0.09844460056810386,0.10321733315279819,0.17154369926628704,0.17487164017865248,-0.062,-0.133,1.229,0.994,-0.099,0.04,0.03,-0.2,-0.164,0.066,-4.339,0.207,0.075,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.212,0.206,0.134,0.123,0.13804476171969848,0.13750895116332412,0.13547009809213306,0.13216551144125754,-0.067,-0.139,1.226,0.994,-0.099,0.039,0.031,-0.198,-0.183,-0.063,-1.537,0.001,0.05,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.4,0.4,0.163,0.156,0.2396395751932311,0.23940359306497705,0.13265992822249772,0.12790782298087194,-0.073,-0.146,1.226,0.999,-0.011,0.038,0.031,-0.168,-0.196,-0.03,3.946,-0.313,0.099,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.198,0.201,0.057,0.05,0.19414987512771378,0.19539790656159037,0.08389316729569973,0.0786899311743763,-0.078,-0.154,1.225,0.992,0.116,0.037,0.029,-0.144,-0.228,-0.013,7.125,-0.25,0.198,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.212,0.217,0.05,0.05,0.18046460756855787,0.18286353080029716,0.059303417480324326,0.057011812047538475,-0.082,-0.163,1.224,0.977,0.209,0.043,0.028,-0.118,-0.263,-0.046,6.33,-0.025,0.161,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.05,0.05,0.235,0.229,0.10183556836878745,0.10291186267536748,0.13119028218211737,0.1276529748046784,-0.084,-0.174,1.228,0.983,0.176,0.039,0.032,-0.081,-0.325,0.069,0.585,-0.016,0.217,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.05,0.05,0.4,0.4,0.06720559658672419,0.06767961733557265,0.23662073039153356,0.23506283207786266,-0.085,-0.187,1.236,0.998,-0.019,0.038,0.045,-0.047,-0.361,0.215,-9.264,0.291,0.273,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
