Step,u0,u1,u2,u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz
25,0.003,-0.016,0.0,-0.003,0.062,0.038,1.544,1.0,0.021,-0.008,-0.003,0.022,0.11,-0.317,0.185,-0.193,0.008,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.022,0.028,0.0,-0.001,0.063,0.042,1.524,1.0,0.021,-0.016,-0.002,0.011,0.106,-0.603,-0.048,-0.512,0.021,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.031,0.059,0.0,-0.0,0.063,0.045,1.495,0.999,0.02,-0.027,-0.002,0.004,0.109,-0.903,-0.012,-0.607,0.026,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.024,0.006,0.039,0.005,0.063,0.049,1.457,0.999,0.022,-0.027,-0.002,0.025,0.142,-1.692,0.168,0.086,0.103,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.038,-0.047,0.228,-0.008,0.064,0.052,1.409,0.999,0.026,-0.021,-0.003,0.056,0.163,-2.405,-0.049,0.312,-0.06,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-0.008,-0.109,0.174,-0.006,0.064,0.055,1.352,1.0,0.028,-0.012,-0.003,0.02,0.1,-1.862,0.127,0.483,-0.033,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,-0.06,0.025,0.291,-0.006,0.064,0.057,1.288,0.999,0.033,-0.015,-0.003,0.002,0.091,-2.139,0.238,-0.446,-0.037,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,-0.089,0.119,0.347,0.0,0.063,0.06,1.221,0.999,0.037,-0.025,-0.003,-0.018,0.076,-2.064,0.178,-0.618,0.041,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,-0.024,0.211,0.435,0.003,0.063,0.062,1.151,0.999,0.032,-0.037,-0.002,-0.021,0.072,-2.183,-0.296,-0.69,0.04,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.108,-0.041,0.496,0.012,0.062,0.064,1.084,1.0,0.02,-0.021,-0.0,-0.014,0.065,-2.118,-0.787,0.705,0.144,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.06,-0.284,0.475,-0.002,0.062,0.065,1.025,1.0,0.015,0.001,-0.001,-0.012,0.037,-1.78,-0.276,1.322,-0.024,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,-0.045,-0.283,0.372,-0.006,0.062,0.066,0.983,1.0,0.018,0.017,-0.002,-0.002,0.012,-1.305,0.244,0.72,-0.078,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,-0.164,0.207,0.343,-0.008,0.061,0.065,0.961,0.999,0.031,-0.014,-0.005,-0.011,-0.015,-0.761,0.596,-1.668,-0.137,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,-0.038,0.351,0.203,0.004,0.061,0.063,0.96,0.999,0.029,-0.045,-0.004,-0.012,-0.048,-0.09,-0.149,-1.911,0.031,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.044,0.187,0.106,0.003,0.06,0.061,0.975,0.998,0.019,-0.058,-0.004,-0.032,-0.071,0.385,-0.641,-0.573,0.081,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.014,-0.247,0.033,-0.005,0.059,0.058,1.001,1.0,0.01,-0.016,-0.003,-0.033,-0.089,0.788,-0.286,2.198,0.001,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,-0.039,-0.199,0.0,-0.011,0.057,0.055,1.029,1.0,0.011,0.014,-0.005,-0.048,-0.098,0.808,0.118,1.623,-0.079,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
