Step,u0,u1,u2,u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz,err_z,aug_u
1,-0.021,-0.082,-0.396,0.007,0.001,-0.007,0.055,1.0,0.007,0.028,0.012,0.001,0.001,-0.001,-0.031,-0.015,0.044,0.0,0.0,0.034482758620689655,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0,-0.34342848627211087,[-0.01025999]
2,-0.035,-0.097,-0.375,0.003,0.002,-0.007,0.055,0.999,0.008,0.029,0.011,0.008,-0.003,0.011,0.069,0.071,-0.017,0.0,0.0,0.06896551724137931,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0,-0.37187514326427956,[-0.02136982]
3,-0.006,0.076,-0.326,0.002,0.001,-0.007,0.057,1.0,0.006,0.009,0.009,-0.018,-0.002,0.062,-0.161,-0.993,-0.028,0.0,0.0,0.10344827586206896,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0,-0.3577901477990898,[-0.03205886]
4,0.033,0.1,-0.375,0.002,0.001,-0.006,0.066,1.0,0.002,-0.014,0.009,-0.014,0.05,0.275,-0.234,-2.009,-0.072,0.0,0.0,0.13793103448275862,1.0,0.0,0.0,0.0,0.0,0.0,1.03448275862069,0.0,0.0,0.0,-0.25509139533651115,[-0.03967976]
5,0.084,0.077,-0.465,0.011,0.002,-0.005,0.087,1.0,-0.005,-0.01,0.011,0.03,0.032,0.608,-0.617,-0.692,0.064,0.0,0.0,0.1724137931034483,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0,-0.07539990067499902,[-0.04193235]
6,-0.045,-0.089,-0.552,-0.004,0.004,-0.004,0.119,1.0,0.005,0.007,0.008,0.047,0.031,0.939,0.397,0.545,-0.122,0.0,0.0,0.20689655172413793,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206893,0.0,0.0,0.0,0.026863771439071704,[-0.04112979]
7,-0.069,-0.1,-0.65,-0.007,0.006,-0.003,0.159,1.0,0.013,0.018,0.007,0.061,0.036,1.162,0.511,0.68,-0.149,0.0,0.0,0.24137931034482757,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0,0.022061396029026348,[-0.0404707]
8,-0.055,-0.009,-0.722,0.001,0.009,-0.002,0.205,1.0,0.018,0.011,0.006,0.088,0.039,1.351,0.289,-0.485,-0.032,0.0,0.0,0.27586206896551724,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,0.10427271450242337,[-0.03735553]
9,0.063,-0.017,-0.731,0.015,0.013,-0.0,0.252,1.0,0.005,0.006,0.008,0.104,0.044,1.403,-0.69,-0.376,0.216,0.0,0.0,0.3103448275862069,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,0.05147954511007535,[-0.03581757]
10,0.037,0.024,-0.703,0.005,0.017,0.001,0.295,1.0,0.001,-0.003,0.008,0.118,0.05,1.291,-0.266,-0.684,0.039,0.0,0.0,0.3448275862068966,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206893,0.0,0.0,0.0,-0.1024841684180442,[-0.03887931]
11,0.033,0.067,-0.664,-0.006,0.021,0.003,0.335,1.0,-0.003,-0.01,0.007,0.114,0.051,1.177,-0.103,-0.974,-0.143,0.0,0.0,0.3793103448275862,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206893,0.0,0.0,0.0,-0.1377018282697533,[-0.04299317]
12,-0.1,-0.1,-0.587,-0.011,0.025,0.003,0.368,1.0,0.013,0.008,0.006,0.125,0.029,1.034,1.049,0.873,-0.216,0.0,0.0,0.41379310344827586,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,-0.21169683841535702,[-0.04931765]
13,-0.044,-0.099,-0.582,-0.007,0.03,0.004,0.399,1.0,0.011,0.006,0.006,0.148,0.035,0.917,0.308,0.277,-0.137,0.0,0.0,0.4482758620689655,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206893,0.0,0.0,0.0,-0.27666822636517296,[-0.04732318]
14,0.015,-0.099,-0.554,0.0,0.035,0.006,0.424,1.0,0.009,0.013,0.006,0.136,0.04,0.794,-0.253,0.1,-0.008,0.0,0.0,0.48275862068965514,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,-0.2885588076732568,[-0.04483409]
15,0.049,-0.054,-0.509,0.005,0.039,0.007,0.447,1.0,0.0,0.003,0.008,0.137,0.037,0.71,-0.369,-0.201,0.044,0.0,0.0,0.5172413793103449,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,-0.2824624020654093,[-0.04258366]
16,0.007,0.005,-0.479,0.015,0.044,0.008,0.469,1.0,0.001,-0.012,0.009,0.126,0.047,0.654,0.099,-0.346,0.19,0.0,0.0,0.5517241379310345,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206884,0.0,0.0,0.0,-0.3083430267639028,[-0.04417456]
17,-0.072,0.074,-0.457,-0.008,0.049,0.01,0.491,1.0,0.009,-0.025,0.007,0.145,0.041,0.651,0.659,-0.75,-0.167,0.0,0.0,0.5862068965517241,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,-0.2906199747350793,[-0.0506043]
18,-0.006,-0.095,-0.412,0.001,0.053,0.011,0.513,1.0,0.008,-0.016,0.007,0.14,0.038,0.671,0.011,0.705,-0.006,0.0,0.0,0.6206896551724138,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,-0.2917946178357922,[-0.06012427]
19,0.059,-0.066,-0.436,0.0,0.058,0.012,0.539,1.0,0.003,-0.015,0.006,0.147,0.045,0.739,-0.472,0.328,-0.019,0.0,0.0,0.6551724137931034,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,-0.297689070276706,[-0.06967687]
20,0.022,-0.092,-0.466,0.002,0.063,0.014,0.567,1.0,-0.001,-0.008,0.008,0.126,0.044,0.862,0.015,0.442,-0.027,0.0,0.0,0.6896551724137931,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,-0.2150198939718616,[-0.07921579]
