Step,u0,u1,u2,u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz,err_z,aug_u
1,-0.058,0.055,-0.489,0.021,-0.382,-0.03,0.174,0.999,0.013,-0.005,0.037,0.003,-0.001,0.021,0.213,0.879,0.123,0.0,0.0,0.034482758620689655,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0,-0.24342253866940025,[-0.00727229]
2,-0.03,0.1,-0.518,0.012,-0.382,-0.03,0.174,0.999,0.012,-0.02,0.034,0.003,0.014,0.005,0.013,-0.597,-0.138,0.0,0.0,0.06896551724137931,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0,-0.2918238889057109,[-0.01599058]
3,-0.023,0.1,-0.444,0.012,-0.382,-0.03,0.175,0.999,0.012,-0.006,0.035,0.008,-0.003,0.023,-0.152,0.356,-0.009,0.0,0.0,0.10344827586206896,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0,-0.22226306455605252,[-0.02263073]
4,0.027,0.1,-0.42,0.005,-0.382,-0.03,0.176,0.999,0.004,-0.006,0.033,0.007,0.016,0.047,-0.366,0.303,-0.146,0.0,0.0,0.13793103448275862,1.0,0.0,0.0,0.0,0.0,0.0,1.03448275862069,0.0,0.0,0.0,-0.3048934835221337,[-0.03173947]
5,0.025,-0.099,-0.386,0.014,-0.38,-0.03,0.181,0.999,-0.001,0.024,0.034,0.043,0.007,0.143,-0.246,1.504,0.01,0.0,0.0,0.1724137931034483,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0,-0.26156654660941514,[-0.03955382]
6,0.025,-0.041,-0.339,0.002,-0.379,-0.029,0.188,0.999,-0.005,0.029,0.032,0.059,0.019,0.212,-0.098,0.629,-0.163,0.0,0.0,0.20689655172413793,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206893,0.0,0.0,0.0,-0.3263579889426853,[-0.04930382]
7,-0.052,0.026,-0.366,0.006,-0.376,-0.028,0.2,0.999,0.002,0.026,0.029,0.078,0.007,0.378,0.422,0.014,-0.094,0.0,0.0,0.24137931034482757,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0,-0.28471249488062567,[-0.05780966]
8,-0.043,0.1,-0.397,0.008,-0.373,-0.027,0.217,1.0,0.006,0.014,0.028,0.103,0.027,0.505,0.299,-0.775,-0.063,0.0,0.0,0.27586206896551724,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,-0.29258578067050023,[-0.06655071]
9,-0.039,-0.045,-0.449,0.002,-0.367,-0.026,0.242,0.999,0.008,0.024,0.026,0.162,0.026,0.739,0.2,0.501,-0.115,0.0,0.0,0.3103448275862069,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,-0.14996317441618312,[-0.07103088]
10,0.012,-0.072,-0.48,0.001,-0.361,-0.024,0.272,0.999,0.003,0.027,0.024,0.203,0.056,0.898,-0.083,0.581,-0.118,0.0,0.0,0.3448275862068966,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206893,0.0,0.0,0.0,-0.16235630254979416,[-0.07588131]
11,0.011,-0.028,-0.505,-0.016,-0.353,-0.022,0.307,0.999,-0.001,0.031,0.021,0.216,0.068,0.996,0.084,-0.051,-0.386,0.0,0.0,0.3793103448275862,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206893,0.0,0.0,0.0,-0.1875406437718996,[-0.08148412]
12,0.06,0.008,-0.548,0.007,-0.344,-0.02,0.347,0.999,-0.009,0.025,0.025,0.25,0.065,1.174,-0.238,-0.407,-0.013,0.0,0.0,0.41379310344827586,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,-0.07813540626954918,[-0.08381842]
