Step,u0,u1,u2,u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz
23,0.043,-0.026,-0.579,0.002,0.066,0.007,0.566,1.0,-0.003,-0.011,-0.002,0.087,0.06,0.907,-0.136,0.003,0.041,0.0,0.0,0.7931034482758621,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0
24,-0.057,-0.005,-0.62,-0.004,0.068,0.008,0.597,1.0,0.007,-0.017,-0.002,0.081,0.052,0.932,0.655,-0.053,-0.052,0.0,0.0,0.8275862068965517,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206884,0.0,0.0,0.0
25,-0.033,-0.007,-0.633,-0.001,0.071,0.01,0.629,1.0,0.012,-0.019,-0.003,0.08,0.052,0.927,0.307,0.013,-0.003,0.0,0.0,0.8620689655172413,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0
26,0.016,0.018,-0.642,0.005,0.074,0.012,0.659,1.0,0.011,-0.023,-0.003,0.087,0.055,0.913,-0.213,-0.208,0.096,0.0,0.0,0.896551724137931,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0
27,0.001,0.024,-0.812,-0.004,0.077,0.014,0.688,1.0,0.009,-0.023,-0.004,0.088,0.059,0.873,0.028,-0.3,-0.034,0.0,0.0,0.9310344827586207,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206884,0.0,0.0,0.0
28,0.001,-0.016,-0.802,-0.004,0.079,0.016,0.714,1.0,0.007,-0.019,-0.004,0.075,0.056,0.794,0.077,0.091,-0.04,0.0,0.0,0.9655172413793103,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0
29,-0.0,-0.026,-0.784,0.001,0.082,0.017,0.737,1.0,0.009,-0.017,-0.004,0.076,0.048,0.685,0.02,0.151,0.045,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206917,0.0,0.0,0.0
30,-0.011,-0.003,-0.749,-0.003,0.084,0.019,0.755,1.0,0.01,-0.017,-0.004,0.072,0.054,0.538,0.141,-0.103,-0.027,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.02,0.019,-0.69,-0.003,0.086,0.021,0.765,1.0,0.007,-0.02,-0.005,0.063,0.053,0.333,-0.146,-0.221,-0.027,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.004,0.036,-0.637,-0.002,0.088,0.022,0.77,1.0,0.008,-0.024,-0.005,0.061,0.042,0.154,-0.032,-0.28,-0.003,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,-0.019,-0.03,-0.582,-0.001,0.09,0.024,0.769,1.0,0.01,-0.018,-0.005,0.064,0.047,-0.013,0.18,0.293,0.026,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,-0.013,-0.024,-0.542,-0.005,0.092,0.025,0.764,1.0,0.012,-0.018,-0.005,0.064,0.045,-0.145,0.043,0.219,-0.053,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,-0.008,-0.015,-0.516,-0.003,0.094,0.026,0.757,1.0,0.012,-0.014,-0.004,0.06,0.036,-0.214,-0.042,0.024,-0.021,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.017,0.014,-0.501,0.001,0.096,0.028,0.748,1.0,0.009,-0.018,-0.004,0.049,0.034,-0.246,-0.223,-0.133,0.038,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
