Step,u0,u1,u2,u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz,err_z,aug_u
20,-0.023,-0.066,-0.523,-0.01,-0.233,0.017,0.607,1.0,0.012,0.002,-0.007,0.319,0.061,1.131,0.255,0.336,-0.136,0.0,0.0,0.6896551724137931,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,-0.29209850492794565,[-0.10027324]
21,-0.03,-0.008,-0.478,-0.003,-0.222,0.019,0.642,1.0,0.015,-0.003,-0.006,0.321,0.057,1.064,0.249,-0.219,-0.018,0.0,0.0,0.7241379310344828,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206884,0.0,0.0,0.0,-0.3021302169720397,[-0.09996145]
22,0.019,0.002,-0.465,0.007,-0.212,0.021,0.675,1.0,0.012,-0.008,-0.004,0.318,0.052,0.995,-0.24,-0.223,0.137,0.0,0.0,0.7586206896551724,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,-0.35789371815099413,[-0.10144365]
23,0.019,-0.001,-0.459,0.001,-0.201,0.023,0.706,1.0,0.011,-0.011,-0.004,0.315,0.057,0.938,-0.188,-0.134,0.048,0.0,0.0,0.7931034482758621,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,-0.3613034736286902,[-0.10214751]
24,-0.024,-0.066,-0.478,0.005,-0.191,0.025,0.736,1.0,0.013,-0.009,-0.003,0.321,0.064,0.91,0.284,0.492,0.096,0.0,0.0,0.8275862068965517,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206884,0.0,0.0,0.0,-0.33931002347695094,[-0.10404772]
25,-0.008,0.009,-0.48,-0.002,-0.18,0.027,0.766,1.0,0.014,-0.016,-0.005,0.318,0.056,0.87,0.06,-0.204,-0.01,0.0,0.0,0.8620689655172413,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,-0.32850198310883416,[-0.10402468]
26,-0.016,0.014,-0.491,-0.003,-0.169,0.029,0.795,1.0,0.017,-0.017,-0.005,0.321,0.058,0.876,0.098,-0.296,-0.015,0.0,0.0,0.896551724137931,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,-0.27997177356690284,[-0.10588506]
27,-0.005,-0.021,-0.672,-0.008,-0.159,0.031,0.823,1.0,0.015,-0.015,-0.007,0.325,0.061,0.864,0.044,0.021,-0.089,0.0,0.0,0.9310344827586207,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206884,0.0,0.0,0.0,-0.2845954567240617,[-0.10723253]
28,0.007,0.033,-0.689,-0.011,-0.148,0.033,0.85,1.0,0.013,-0.02,-0.008,0.32,0.06,0.835,-0.037,-0.54,-0.138,0.0,0.0,0.9655172413793103,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,-0.08836046056232005,[-0.10306617]
29,0.008,-0.047,-0.705,-0.004,-0.138,0.034,0.877,1.0,0.011,-0.014,-0.006,0.328,0.049,0.822,-0.029,0.195,-0.025,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206917,0.0,0.0,0.0,-0.052367911133226475,[-0.09734705]
30,-0.017,-0.055,-0.694,0.005,-0.127,0.035,0.9,1.0,0.013,-0.011,-0.005,0.321,0.033,0.687,0.146,0.227,0.113,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1558969460881221,[-0.0939814]
31,0.006,-0.015,-0.661,0.008,-0.117,0.036,0.917,1.0,0.012,-0.012,-0.003,0.313,0.032,0.529,-0.115,-0.229,0.151,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19225128886208942,[-0.09066164]
32,-0.018,0.014,-0.609,-0.003,-0.107,0.037,0.928,1.0,0.015,-0.017,-0.005,0.294,0.032,0.343,0.085,-0.386,-0.015,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2584093610774016,[-0.08965518]
33,0.005,0.054,-0.555,-0.006,-0.097,0.038,0.934,1.0,0.013,-0.022,-0.006,0.292,0.025,0.168,-0.169,-0.717,-0.07,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3085041045040542,[-0.0898456]
34,-0.019,-0.022,-0.51,-0.003,-0.087,0.039,0.934,1.0,0.015,-0.019,-0.006,0.284,0.022,0.022,0.036,0.09,0.001,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.34254470002073134,[-0.08938704]
35,0.007,0.002,-0.462,-0.008,-0.078,0.04,0.93,1.0,0.012,-0.021,-0.007,0.296,0.022,-0.126,-0.179,-0.192,-0.096,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.39817342081553947,[-0.09048854]
36,-0.015,-0.034,-0.428,-0.0,-0.068,0.041,0.922,1.0,0.012,-0.016,-0.006,0.295,0.02,-0.208,0.056,0.046,0.039,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3892935557567898,[-0.0919818]
