Throttle,Thrust
0.0,2e-05
0.0,3e-05
0.0,2e-05
0.0,1e-05
0.0,4e-05
0.0,2e-05
0.0,-2e-05
0.0,1e-05
0.0,1e-05
0.0,2e-05
0.0,1e-05
0.0,-4e-05
0.0,-3e-05
0.0,-0.0
0.0,4e-05
0.0,3e-05
0.0,2e-05
0.05,3e-05
0.05,2e-05
0.05,4e-05
0.05,0.00038
0.05,0.00147
0.05,0.00234
0.05,0.00252
0.05,0.00253
0.05,0.00256
0.05,0.0026
0.05,0.00259
0.05,0.00257
0.05,0.00257
0.05,0.00258
0.05,0.00259
0.05,0.0026
0.05,0.00257
0.05,0.00257
0.05,0.00256
0.05,0.00251
0.05,0.00255
0.05,0.00257
0.05,0.00253
0.05,0.00254
0.05,0.00256
0.05,0.00255
0.05,0.00255
0.05,0.00253
0.05,0.00254
0.05,0.00257
0.1,0.00253
0.1,0.00257
0.1,0.00379
0.1,0.00665
0.1,0.00781
0.1,0.00791
0.1,0.00791
0.1,0.00791
0.1,0.00794
0.1,0.00794
0.1,0.00791
0.1,0.00793
0.1,0.00794
0.1,0.00795
0.1,0.00796
0.1,0.00795
0.1,0.00792
0.1,0.00795
0.1,0.00794
0.1,0.00792
0.1,0.0079
0.1,0.00793
0.1,0.00792
0.1,0.0079
0.1,0.00792
0.1,0.00794
0.1,0.00795
0.1,0.00797
0.1,0.00795
0.1,0.00794
0.1,0.00796
0.15000000000000002,0.00795
0.15000000000000002,0.00851
0.15000000000000002,0.01216
0.15000000000000002,0.01531
0.15000000000000002,0.01582
0.15000000000000002,0.01588
0.15000000000000002,0.01581
0.15000000000000002,0.01581
0.15000000000000002,0.01591
0.15000000000000002,0.01595
0.15000000000000002,0.01589
0.15000000000000002,0.0158
0.15000000000000002,0.01581
0.15000000000000002,0.01588
0.15000000000000002,0.01592
0.15000000000000002,0.0159
0.15000000000000002,0.01586
0.15000000000000002,0.01592
0.15000000000000002,0.01593
0.15000000000000002,0.01589
0.15000000000000002,0.01593
0.15000000000000002,0.01592
0.15000000000000002,0.01586
0.15000000000000002,0.01588
0.15000000000000002,0.01593
0.15000000000000002,0.01588
0.15000000000000002,0.01588
0.15000000000000002,0.01592
0.15000000000000002,0.01588
0.15000000000000002,0.01589
0.2,0.01596
0.2,0.01612
0.2,0.01925
0.2,0.02544
0.2,0.0273
0.2,0.02742
0.2,0.02754
0.2,0.02755
0.2,0.02756
0.2,0.02758
0.2,0.0276
0.2,0.02757
0.2,0.02749
0.2,0.02751
0.2,0.02751
0.2,0.02754
0.2,0.02755
0.2,0.02751
0.2,0.02748
0.2,0.02759
0.2,0.0276
0.2,0.02756
0.2,0.02756
0.2,0.02757
0.2,0.02757
0.2,0.02755
0.2,0.0276
0.2,0.02763
0.2,0.02754
0.2,0.02747
0.2,0.02753
0.25,0.02756
0.25,0.02884
0.25,0.03578
0.25,0.04058
0.25,0.04104
0.25,0.04106
0.25,0.04115
0.25,0.04112
0.25,0.04108
0.25,0.04107
0.25,0.04101
0.25,0.04094
0.25,0.04089
0.25,0.04087
0.25,0.04093
0.25,0.04088
0.25,0.04088
0.25,0.04089
0.25,0.04097
0.25,0.04098
0.25,0.041
0.25,0.04098
0.25,0.04094
0.25,0.04094
0.25,0.04097
0.25,0.04099
0.25,0.04103
0.25,0.04108
0.25,0.04106
0.25,0.04112
0.3,0.04111
0.3,0.04131
0.3,0.04612
0.3,0.05433
0.3,0.0565
0.3,0.05675
0.3,0.05678
0.3,0.05666
0.3,0.05667
0.3,0.05661
0.3,0.05652
0.3,0.05649
0.3,0.0565
0.3,0.05645
0.3,0.05641
0.3,0.05658
0.3,0.05659
0.3,0.05662
0.3,0.05663
0.3,0.05663
0.3,0.05669
0.3,0.05669
0.3,0.05673
0.3,0.0568
0.3,0.05672
0.3,0.05667
0.3,0.05661
0.3,0.05651
0.3,0.05657
0.3,0.0567
0.3,0.05674
0.35,0.05686
0.35,0.0586
0.35,0.06704
0.35,0.07282
0.35,0.07354
0.35,0.07354
0.35,0.07358
0.35,0.07344
0.35,0.07345
0.35,0.07352
0.35,0.07354
0.35,0.07344
0.35,0.07341
0.35,0.07347
0.35,0.07361
0.35,0.07362
0.35,0.0736
0.35,0.07367
0.35,0.07368
0.35,0.07364
0.35,0.07365
0.35,0.07373
0.35,0.07382
0.35,0.07383
0.35,0.07371
0.35,0.07365
0.35,0.0736
0.35,0.07335
0.35,0.07323
0.35,0.07328
0.39999999999999997,0.07338
0.39999999999999997,0.07383
0.39999999999999997,0.08009
0.39999999999999997,0.09013
0.39999999999999997,0.09303
0.39999999999999997,0.09337
0.39999999999999997,0.09335
0.39999999999999997,0.09324
0.39999999999999997,0.09333
0.39999999999999997,0.09337
0.39999999999999997,0.09353
0.39999999999999997,0.09363
0.39999999999999997,0.09339
0.39999999999999997,0.09318
0.39999999999999997,0.09312
0.39999999999999997,0.09295
0.39999999999999997,0.09295
0.39999999999999997,0.09309
0.39999999999999997,0.09318
0.39999999999999997,0.09303
0.39999999999999997,0.09311
0.39999999999999997,0.09337
0.39999999999999997,0.09345
0.39999999999999997,0.0935
0.39999999999999997,0.09363
0.39999999999999997,0.09363
0.39999999999999997,0.09334
0.39999999999999997,0.0931
0.39999999999999997,0.09309
0.39999999999999997,0.09313
0.39999999999999997,0.09301
0.44999999999999996,0.09321
0.44999999999999996,0.09532
0.44999999999999996,0.10408
0.44999999999999996,0.10947
0.44999999999999996,0.11017
0.44999999999999996,0.11018
0.44999999999999996,0.11014
0.44999999999999996,0.11017
0.44999999999999996,0.11009
0.44999999999999996,0.11006
0.44999999999999996,0.11025
0.44999999999999996,0.11016
0.44999999999999996,0.11036
0.44999999999999996,0.11044
0.44999999999999996,0.11033
0.44999999999999996,0.10978
0.44999999999999996,0.10946
0.44999999999999996,0.10971
0.44999999999999996,0.10986
0.44999999999999996,0.1098
0.44999999999999996,0.10969
0.44999999999999996,0.10977
0.44999999999999996,0.10986
0.44999999999999996,0.10981
0.44999999999999996,0.10993
0.44999999999999996,0.10983
0.44999999999999996,0.10983
0.44999999999999996,0.10996
0.44999999999999996,0.11002
0.44999999999999996,0.11006
0.49999999999999994,0.10979
0.49999999999999994,0.10984
0.49999999999999994,0.1174
0.49999999999999994,0.12811
0.49999999999999994,0.13072
0.49999999999999994,0.13098
0.49999999999999994,0.13105
0.49999999999999994,0.13109
0.49999999999999994,0.13098
0.49999999999999994,0.13077
0.49999999999999994,0.13051
0.49999999999999994,0.13054
0.49999999999999994,0.13068
0.49999999999999994,0.13099
0.49999999999999994,0.1314
0.49999999999999994,0.13142
0.49999999999999994,0.13136
0.49999999999999994,0.1312
0.49999999999999994,0.13099
0.49999999999999994,0.13082
0.49999999999999994,0.1306
0.49999999999999994,0.1306
0.49999999999999994,0.1306
0.49999999999999994,0.13047
0.49999999999999994,0.13024
0.49999999999999994,0.13025
0.49999999999999994,0.13036
0.49999999999999994,0.1304
0.49999999999999994,0.13045
0.49999999999999994,0.13036
0.49999999999999994,0.13038
0.5499999999999999,0.13047
0.5499999999999999,0.1331
0.5499999999999999,0.14358
0.5499999999999999,0.14918
0.5499999999999999,0.14945
0.5499999999999999,0.1493
0.5499999999999999,0.14935
0.5499999999999999,0.14945
0.5499999999999999,0.14956
0.5499999999999999,0.14961
0.5499999999999999,0.1495
0.5499999999999999,0.14926
0.5499999999999999,0.14919
0.5499999999999999,0.14927
0.5499999999999999,0.14929
0.5499999999999999,0.14916
0.5499999999999999,0.14914
0.5499999999999999,0.14924
0.5499999999999999,0.14943
0.5499999999999999,0.14934
0.5499999999999999,0.14931
0.5499999999999999,0.14932
0.5499999999999999,0.14896
0.5499999999999999,0.14876
0.5499999999999999,0.1488
0.5499999999999999,0.1489
0.5499999999999999,0.14895
0.5499999999999999,0.14883
0.5499999999999999,0.14894
0.5499999999999999,0.14919
0.6,0.14912
0.6,0.14961
0.6,0.15716
0.6,0.16507
0.6,0.16641
0.6,0.16632
0.6,0.16611
0.6,0.16612
0.6,0.16612
0.6,0.16609
0.6,0.16609
0.6,0.16615
0.6,0.16589
0.6,0.16528
0.6,0.16504
0.6,0.16519
0.6,0.16548
0.6,0.1658
