Step,u0,u1,u2,u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz
24,0.284,0.154,0.338,0.245,-0.42,-0.074,1.17,0.95,-0.084,0.3,0.032,-0.258,0.054,0.62,-3.849,-5.554,0.394,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.312,0.128,0.294,0.05,-0.425,-0.072,1.193,0.977,-0.115,0.163,0.068,-0.127,0.091,0.744,-1.485,-10.257,0.684,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.312,0.127,0.15,0.05,-0.427,-0.069,1.218,0.993,-0.077,-0.003,0.09,-0.05,0.091,0.803,3.616,-10.407,0.123,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.362,0.4,0.073,0.05,-0.429,-0.067,1.245,0.987,0.043,-0.122,0.101,-0.03,0.028,0.83,8.239,-6.063,-0.144,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.234,0.321,0.05,0.05,-0.429,-0.068,1.273,0.964,0.201,-0.135,0.115,-0.011,-0.053,0.804,9.37,0.749,-0.296,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.198,0.397,0.05,0.365,-0.429,-0.071,1.299,0.931,0.329,-0.037,0.151,0.021,-0.135,0.782,8.177,7.577,0.127,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.052,0.233,0.05,0.27,-0.427,-0.078,1.323,0.895,0.372,0.128,0.211,0.087,-0.229,0.719,2.455,11.779,0.101,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.05,0.21,0.346,0.391,-0.423,-0.086,1.343,0.868,0.289,0.287,0.285,0.15,-0.278,0.59,-5.349,11.512,-0.151,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.05,0.066,0.4,0.4,-0.416,-0.096,1.361,0.851,0.102,0.357,0.371,0.279,-0.327,0.582,-13.194,6.899,0.211,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.05,0.067,0.4,0.284,-0.406,-0.106,1.379,0.837,-0.112,0.283,0.454,0.351,-0.292,0.525,-14.841,-1.144,-0.08,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.378,0.05,0.335,0.166,-0.393,-0.115,1.397,0.817,-0.245,0.104,0.512,0.39,-0.246,0.53,-10.559,-7.68,-0.272,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.4,0.231,0.249,0.05,-0.379,-0.122,1.417,0.799,-0.212,-0.078,0.557,0.423,-0.212,0.677,-0.182,-12.246,0.005,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.4,0.372,0.081,0.05,-0.365,-0.13,1.44,0.784,0.008,-0.163,0.599,0.507,-0.264,0.755,13.35,-12.917,0.233,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.4,0.4,0.083,0.05,-0.347,-0.139,1.461,0.705,0.323,-0.112,0.621,0.593,-0.293,0.639,20.689,-8.442,0.42,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.4,0.379,0.05,0.05,-0.326,-0.149,1.479,0.551,0.566,0.049,0.611,0.738,-0.368,0.497,19.9,-0.843,-0.023,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.188,0.315,0.05,0.05,-0.298,-0.163,1.491,0.391,0.65,0.226,0.611,0.947,-0.475,0.318,11.705,5.147,-0.213,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.05,0.164,0.05,0.222,-0.259,-0.182,1.498,0.313,0.603,0.312,0.664,1.355,-0.601,0.175,-0.175,7.695,-0.021,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.05,0.05,0.4,0.4,-0.205,-0.204,1.502,0.344,0.452,0.257,0.782,1.725,-0.717,0.072,-13.742,9.257,-0.128,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.05,0.05,0.4,0.4,-0.146,-0.23,1.501,0.438,0.183,0.018,0.88,1.801,-0.797,-0.141,-25.071,8.901,-0.41,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.05,0.05,0.4,0.4,-0.085,-0.257,1.487,0.468,-0.144,-0.33,0.807,1.835,-0.787,-0.607,-28.861,6.525,-0.199,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.4,0.05,0.4,0.4,-0.022,-0.283,1.458,0.385,-0.391,-0.608,0.574,2.006,-0.858,-1.059,-26.062,3.832,-0.279,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.067,0.05,0.32,0.057,0.036,-0.312,1.418,0.264,-0.501,-0.745,0.353,1.683,-0.939,-1.386,-14.68,0.979,-0.156,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.252,0.354,0.299,0.05,0.082,-0.345,1.364,0.197,-0.525,-0.783,0.271,1.218,-1.064,-1.829,-1.462,-1.016,0.415,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.276,0.4,0.364,0.195,0.112,-0.385,1.293,0.227,-0.509,-0.745,0.367,0.688,-1.266,-2.289,10.921,-1.366,1.484,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.394,0.4,0.05,0.125,0.127,-0.428,1.209,0.362,-0.446,-0.593,0.565,0.327,-1.271,-2.573,20.213,2.033,1.155,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.347,0.4,0.05,0.078,0.134,-0.472,1.115,0.543,-0.333,-0.295,0.712,0.142,-1.309,-2.949,23.949,6.987,0.516,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
