px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.008,-0.021,0.058,1.0,0.007,0.026,-0.017,-0.001,0.002,-0.003,-0.082,0.136,0.109
0.008,-0.021,0.058,1.0,0.007,0.026,-0.017,-0.0,0.001,-0.001,-0.06,0.098,0.086
0.008,-0.021,0.058,1.0,0.007,0.025,-0.017,0.002,0.003,0.006,-0.038,0.068,0.073
0.008,-0.021,0.058,1.0,0.007,0.025,-0.017,0.001,0.002,0.003,-0.032,0.044,0.056
0.008,-0.021,0.058,1.0,0.008,0.026,-0.017,0.0,-0.0,0.004,0.018,0.054,0.043
0.008,-0.021,0.058,1.0,0.007,0.026,-0.017,-0.0,0.001,0.002,-0.035,0.057,0.018
0.008,-0.021,0.058,1.0,0.007,0.026,-0.017,0.0,0.001,-0.0,-0.009,0.026,0.024
0.008,-0.021,0.058,1.0,0.007,0.025,-0.017,0.0,0.0,0.0,-0.006,0.013,-0.0
0.008,-0.021,0.058,1.0,0.006,0.025,-0.016,0.003,-0.001,0.004,-0.093,-0.035,0.051
0.008,-0.021,0.058,1.0,0.007,0.025,-0.017,0.0,0.0,0.002,-0.054,-0.009,0.005
0.008,-0.021,0.058,1.0,0.007,0.025,-0.017,0.0,-0.0,-0.002,0.021,0.013,0.005
0.008,-0.021,0.058,1.0,0.007,0.026,-0.016,-0.003,-0.005,0.001,0.001,0.067,0.052
0.008,-0.021,0.058,1.0,0.007,0.026,-0.017,0.001,-0.001,0.0,0.012,0.025,0.002
0.008,-0.021,0.058,1.0,0.007,0.025,-0.017,0.002,-0.002,-0.001,-0.059,0.006,-0.023
0.008,-0.021,0.058,1.0,0.008,0.026,-0.017,0.002,0.001,-0.0,0.056,0.014,0.01
0.008,-0.021,0.058,0.999,0.007,0.026,-0.017,-0.001,-0.0,-0.0,-0.014,0.037,-0.012
0.008,-0.021,0.058,1.0,0.007,0.026,-0.017,-0.001,0.0,0.0,-0.028,0.016,-0.018
0.008,-0.021,0.058,1.0,0.007,0.026,-0.017,-0.001,-0.001,-0.001,0.003,0.026,-0.0
0.008,-0.021,0.058,1.0,0.006,0.025,-0.017,0.003,-0.003,-0.0,-0.122,-0.003,0.009
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,0.001,-0.0,-0.001,0.094,0.03,0.009
0.008,-0.021,0.058,1.0,0.008,0.026,-0.017,0.0,-0.002,0.001,0.016,0.01,-0.002
0.008,-0.021,0.058,1.0,0.006,0.026,-0.017,-0.0,-0.004,0.001,-0.115,0.032,-0.003
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,0.001,-0.001,-0.003,0.036,0.039,-0.004
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.002,-0.002,0.004,0.075,-0.011,0.02
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.002,0.002,0.003,0.073,0.006,-0.003
0.008,-0.021,0.058,1.0,0.008,0.026,-0.017,-0.0,0.0,0.001,0.002,-0.023,-0.003
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.0,0.0,0.0,0.003,0.003,0.004
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.0,0.001,0.0,0.021,0.003,-0.008
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,0.001,-0.0,0.001,-0.005,0.004,0.003
0.008,-0.021,0.058,0.999,0.007,0.026,-0.017,0.001,-0.002,-0.001,-0.037,0.014,-0.016
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,0.0,-0.0,0.002,0.049,0.018,0.001
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,0.001,-0.001,0.003,0.021,-0.01,0.001
0.008,-0.021,0.058,0.999,0.007,0.026,-0.017,-0.001,0.0,0.002,-0.064,0.019,0.001
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.0,0.0,0.0,0.02,0.001,0.005
0.008,-0.021,0.058,1.0,0.008,0.026,-0.017,-0.001,0.001,-0.0,0.006,-0.014,0.005
0.008,-0.021,0.058,0.999,0.007,0.026,-0.017,-0.001,0.0,0.001,-0.017,0.012,-0.021
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,0.001,-0.0,-0.001,0.009,-0.001,-0.001
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,0.004,-0.002,-0.004,0.005,0.041,-0.001
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,0.002,-0.002,-0.005,0.029,0.057,-0.025
0.008,-0.021,0.058,1.0,0.008,0.026,-0.017,-0.001,0.001,0.003,0.002,-0.033,0.006
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.002,0.0,0.002,0.006,-0.021,-0.0
0.008,-0.021,0.058,0.999,0.007,0.026,-0.017,-0.002,0.0,0.002,-0.017,0.002,0.001
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.001,0.001,0.003,0.006,-0.003,0.004
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.001,0.001,0.002,0.011,-0.002,0.0
0.008,-0.021,0.058,1.0,0.007,0.025,-0.016,0.001,0.002,0.002,-0.064,-0.034,0.051
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.001,-0.001,0.002,0.059,-0.008,0.004
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,0.003,-0.002,-0.006,0.013,0.05,-0.01
0.008,-0.021,0.058,0.999,0.007,0.026,-0.016,0.003,-0.006,0.0,-0.075,0.009,0.048
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.001,0.0,0.003,0.006,-0.015,-0.007
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,0.002,-0.002,-0.002,0.009,0.028,-0.009
0.008,-0.021,0.058,1.0,0.007,0.026,-0.016,-0.002,-0.002,0.006,-0.103,-0.034,0.091
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.002,0.002,0.002,0.039,-0.016,-0.039
0.008,-0.021,0.058,0.999,0.007,0.026,-0.017,-0.002,0.003,0.004,-0.011,-0.011,-0.027
0.008,-0.021,0.058,1.0,0.006,0.025,-0.016,-0.0,0.001,0.003,-0.074,-0.039,0.013
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.004,0.004,-0.001,0.229,0.001,-0.096
0.008,-0.021,0.058,0.999,0.007,0.026,-0.017,-0.003,0.004,0.001,0.15,0.029,-0.081
0.008,-0.021,0.058,1.0,0.006,0.026,-0.016,-0.001,0.0,0.001,0.034,0.012,-0.007
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.002,0.001,-0.0,0.127,0.029,-0.047
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.001,0.0,-0.0,0.084,0.027,-0.051
0.008,-0.021,0.058,1.0,0.006,0.026,-0.017,0.0,-0.004,-0.001,-0.06,0.01,-0.008
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.0,-0.0,-0.003,0.098,0.019,-0.03
0.008,-0.021,0.058,0.999,0.008,0.027,-0.017,0.0,-0.001,-0.007,0.082,0.063,-0.034
0.008,-0.021,0.058,1.0,0.006,0.026,-0.017,-0.001,-0.002,-0.001,-0.058,-0.003,0.01
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.002,0.004,-0.001,0.129,0.02,-0.034
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.002,0.003,0.001,0.104,0.016,-0.044
0.008,-0.021,0.058,1.0,0.006,0.026,-0.016,-0.0,0.002,0.002,-0.026,0.004,0.016
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.002,0.004,0.002,0.113,0.003,-0.023
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.003,0.003,0.001,0.085,0.026,-0.042
0.008,-0.021,0.058,1.0,0.007,0.026,-0.017,0.0,0.002,0.003,0.038,-0.014,-0.002
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.001,0.001,-0.003,0.086,0.033,-0.022
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.001,0.001,-0.006,0.08,0.028,-0.032
0.008,-0.021,0.058,1.0,0.007,0.026,-0.016,-0.002,-0.002,0.001,-0.047,-0.027,0.07
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,0.005,-0.001,-0.012,0.079,0.039,-0.042
0.008,-0.021,0.058,0.999,0.008,0.027,-0.017,0.001,0.0,-0.008,0.065,0.062,-0.044
0.008,-0.021,0.058,1.0,0.007,0.026,-0.016,0.001,0.001,0.002,-0.031,-0.031,0.026
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.002,0.002,0.001,0.055,0.003,-0.033
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.001,0.002,0.002,0.062,0.009,-0.029
0.008,-0.021,0.058,1.0,0.007,0.025,-0.016,0.002,0.001,0.004,-0.019,-0.042,0.019
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.001,0.001,-0.001,0.051,0.028,-0.04
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.001,0.0,-0.003,0.061,0.014,-0.026
0.008,-0.021,0.058,1.0,0.007,0.025,-0.016,0.003,-0.0,-0.0,-0.056,-0.064,0.04
0.008,-0.021,0.058,0.999,0.007,0.026,-0.017,0.004,-0.003,-0.007,0.023,0.033,-0.032
0.008,-0.021,0.058,1.0,0.008,0.026,-0.017,-0.0,0.0,-0.001,0.039,-0.03,-0.014
0.008,-0.021,0.058,0.999,0.007,0.026,-0.017,0.006,-0.004,-0.008,-0.062,0.078,0.005
0.008,-0.021,0.058,0.999,0.007,0.026,-0.017,-0.002,0.001,-0.002,-0.038,0.024,-0.006
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.001,0.001,-0.002,0.012,0.026,-0.006
0.008,-0.021,0.058,1.0,0.007,0.025,-0.016,0.002,0.001,0.003,-0.079,-0.047,0.051
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.001,0.0,0.001,-0.003,0.014,-0.008
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.0,0.0,0.001,0.008,-0.011,0.007
0.008,-0.021,0.058,1.0,0.007,0.026,-0.016,0.002,0.001,0.003,-0.062,-0.033,0.051
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.001,-0.001,-0.001,0.025,0.026,-0.021
0.008,-0.021,0.058,0.999,0.008,0.027,-0.017,0.005,-0.003,-0.005,0.041,0.08,-0.015
0.008,-0.021,0.058,1.0,0.007,0.026,-0.016,0.003,0.001,0.004,-0.085,-0.027,0.063
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.0,-0.0,0.0,0.004,0.019,-0.016
0.008,-0.021,0.058,0.999,0.008,0.027,-0.017,0.003,-0.002,-0.006,0.019,0.043,-0.002
0.008,-0.021,0.058,1.0,0.007,0.026,-0.017,0.002,-0.0,-0.001,-0.145,-0.065,0.046
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.005,0.002,0.001,-0.038,-0.042,-0.001
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.004,-0.001,0.004,0.022,-0.035,0.03
0.008,-0.021,0.058,0.999,0.007,0.026,-0.017,-0.002,-0.001,0.004,-0.083,-0.024,0.027
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.001,0.002,0.003,0.017,-0.036,-0.011
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,0.0,0.002,0.003,0.013,-0.028,-0.001
0.008,-0.021,0.058,0.999,0.007,0.026,-0.017,0.001,-0.0,-0.0,-0.051,0.011,0.008
0.008,-0.021,0.058,0.999,0.008,0.027,-0.017,0.004,0.001,-0.005,0.049,0.026,-0.013
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.0,0.004,0.004,0.018,-0.07,-0.002
0.008,-0.021,0.058,0.999,0.007,0.027,-0.017,0.004,-0.002,-0.006,-0.044,0.032,-0.016
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,0.001,0.001,-0.002,-0.006,-0.011,-0.004
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.001,-0.001,-0.002,-0.008,-0.007,0.002
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.002,-0.001,0.002,-0.027,0.091,0.005
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.001,-0.002,0.002,0.003,0.034,-0.006
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.001,-0.002,0.003,0.01,0.033,-0.004
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.001,-0.002,0.004,-0.01,0.049,-0.02
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,0.001,-0.0,0.002,-0.018,-0.0,0.002
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,0.0,0.001,0.001,-0.006,0.012,0.0
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.0,0.003,0.001,0.054,0.016,-0.003
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,0.001,0.001,-0.0,-0.028,0.005,-0.004
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.0,0.0,-0.0,0.001,0.015,-0.002
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.0,0.001,0.001,0.012,-0.003,0.003
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,0.002,-0.003,-0.005,-0.03,0.027,-0.005
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.0,-0.001,-0.002,0.008,0.018,0.006
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.001,-0.001,-0.0,-0.003,-0.016,-0.001
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.0,-0.0,0.001,-0.012,-0.029,-0.0
0.008,-0.021,0.058,1.0,0.007,0.026,-0.017,0.0,0.001,0.005,-0.082,-0.024,0.029
0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.001,0.001,0.0,-0.016,-0.003,-0.001
