Step,u0,u1,u2,u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz,err_z,aug_u
21,0.025,0.047,-0.405,-0.009,-0.221,0.008,0.404,1.0,0.01,-0.01,-0.005,0.35,0.055,0.625,-0.298,-0.65,-0.113,0.0,0.0,0.7241379310344828,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206884,0.0,0.0,0.0,0.0,0.0
22,0.059,-0.047,-0.419,-0.001,-0.209,0.01,0.425,1.0,-0.0,-0.008,-0.004,0.372,0.053,0.648,-0.371,0.125,0.01,0.0,0.0,0.7586206896551724,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,0.0,0.0
23,0.035,-0.057,-0.432,0.001,-0.197,0.012,0.446,1.0,0.002,-0.004,-0.005,0.376,0.064,0.64,-0.143,0.053,0.033,0.0,0.0,0.7931034482758621,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,0.0,0.0
24,-0.012,-0.042,-0.481,-0.004,-0.184,0.014,0.469,1.0,0.008,-0.003,-0.005,0.376,0.059,0.674,0.16,-0.152,-0.049,0.0,0.0,0.8275862068965517,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206884,0.0,0.0,0.0,0.0,0.0
25,-0.045,-0.052,-0.505,-0.011,-0.172,0.015,0.493,1.0,0.015,-0.005,-0.007,0.381,0.043,0.715,0.305,-0.033,-0.142,0.0,0.0,0.8620689655172413,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,0.0,0.0
26,-0.043,0.019,-0.539,-0.008,-0.159,0.016,0.518,1.0,0.016,-0.014,-0.006,0.39,0.021,0.789,0.198,-0.653,-0.109,0.0,0.0,0.896551724137931,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,0.0,0.0
27,0.018,0.049,-0.689,-0.004,-0.147,0.017,0.542,1.0,0.011,-0.021,-0.005,0.378,0.024,0.733,-0.315,-0.787,-0.035,0.0,0.0,0.9310344827586207,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206884,0.0,0.0,0.0,0.0,0.0
28,0.016,0.004,-0.687,0.003,-0.137,0.018,0.563,1.0,0.008,-0.022,-0.003,0.359,0.032,0.691,-0.203,-0.257,0.068,0.0,0.0,0.9655172413793103,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,0.0,0.0
29,-0.036,-0.079,-0.682,-0.017,-0.124,0.019,0.583,1.0,0.009,-0.017,-0.004,0.38,0.041,0.633,0.386,0.417,-0.255,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206917,0.0,0.0,0.0,0.0,0.0
30,-0.027,-0.072,-0.659,0.003,-0.111,0.02,0.6,1.0,0.01,-0.014,-0.002,0.397,0.041,0.497,0.251,0.163,0.069,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,-0.014,-0.07,-0.613,-0.002,-0.099,0.021,0.61,1.0,0.01,-0.012,-0.003,0.383,0.027,0.326,0.048,0.108,-0.008,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.038,-0.032,-0.558,0.013,-0.087,0.022,0.615,1.0,0.005,-0.016,-0.001,0.353,0.036,0.154,-0.347,-0.135,0.234,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.014,0.1,-0.492,-0.007,-0.074,0.023,0.613,0.999,0.004,-0.035,-0.004,0.359,0.038,-0.026,-0.038,-1.097,-0.09,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.019,0.079,-0.442,0.003,-0.064,0.025,0.607,0.999,0.002,-0.039,-0.002,0.327,0.041,-0.178,-0.027,-0.54,0.055,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,-0.057,-0.026,-0.402,-0.017,-0.053,0.026,0.598,0.999,0.011,-0.032,-0.005,0.332,0.038,-0.27,0.477,0.301,-0.233,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,-0.021,-0.068,-0.39,-0.012,-0.041,0.026,0.588,1.0,0.01,-0.023,-0.005,0.349,0.025,-0.309,0.089,0.351,-0.157,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,-0.003,-0.096,-0.389,0.012,-0.03,0.027,0.577,1.0,0.01,-0.015,-0.001,0.343,0.033,-0.321,-0.059,0.374,0.206,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.026,-0.002,-0.39,-0.003,-0.019,0.028,0.568,1.0,0.005,-0.022,-0.003,0.317,0.037,-0.298,-0.188,-0.317,-0.028,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.04,0.022,-0.397,0.004,-0.009,0.029,0.56,1.0,0.003,-0.029,-0.002,0.293,0.027,-0.238,-0.294,-0.301,0.083,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,-0.042,0.085,-0.414,-0.015,-0.0,0.03,0.555,0.999,0.009,-0.042,-0.005,0.275,0.031,-0.164,0.36,-0.536,-0.206,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,-0.042,0.063,-0.434,-0.005,0.008,0.031,0.552,0.999,0.011,-0.042,-0.004,0.268,0.023,-0.096,0.285,-0.341,-0.059,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.006,-0.078,-0.442,0.013,0.016,0.032,0.55,0.999,0.011,-0.031,-0.003,0.243,0.023,-0.044,-0.188,0.81,0.245,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
