Step,u0,u1,u2,u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz
23,-0.078,0.063,0.196,-0.011,0.034,0.011,0.651,0.998,-0.013,-0.047,0.025,0.01,0.037,0.929,2.119,1.123,0.058,0.0,0.0,0.7931034482758621,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0
24,-0.386,-0.262,0.203,-0.026,0.034,0.012,0.685,0.999,0.035,-0.008,0.02,-0.001,0.042,1.008,2.627,2.201,-0.362,0.0,0.0,0.8275862068965517,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206884,0.0,0.0,0.0
25,-0.394,-0.391,0.121,-0.023,0.034,0.014,0.716,0.996,0.074,0.036,0.017,-0.004,0.044,0.956,2.316,2.511,-0.234,0.0,0.0,0.8620689655172413,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0
26,0.16,0.052,0.163,0.013,0.033,0.016,0.749,0.999,0.033,0.01,0.022,-0.046,0.078,1.007,-2.149,-1.21,0.226,0.0,0.0,0.896551724137931,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0
27,0.371,0.283,0.112,0.016,0.031,0.018,0.785,0.999,-0.014,-0.026,0.026,-0.047,0.063,1.078,-2.607,-2.062,0.256,0.0,0.0,0.9310344827586207,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206884,0.0,0.0,0.0
28,0.373,0.384,0.018,0.029,0.029,0.021,0.818,0.996,-0.049,-0.068,0.034,-0.062,0.062,1.048,-2.231,-2.482,0.549,0.0,0.0,0.9655172413793103,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0
29,-0.11,-0.006,0.047,-0.014,0.029,0.021,0.854,0.998,-0.012,-0.044,0.034,-0.024,0.022,1.082,2.065,1.184,-0.152,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206917,0.0,0.0,0.0
30,-0.263,-0.183,0.042,-0.023,0.028,0.022,0.89,0.999,0.032,-0.007,0.028,-0.033,0.021,1.061,2.378,2.029,-0.406,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,-0.4,-0.4,0.0,-0.013,0.027,0.022,0.918,0.997,0.064,0.031,0.025,-0.043,0.04,2.317,4.453,4.905,0.031,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.038,-0.007,0.0,0.018,0.025,0.025,0.953,0.999,0.039,0.02,0.03,-0.068,0.064,1.196,-1.309,-0.438,0.202,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
