px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz
-0.09,-1.067,1.452,0.701,-0.144,0.227,0.66,3.108,0.068,0.243,-1.118,0.52,-0.062
-0.078,-1.066,1.453,0.701,-0.147,0.227,0.66,3.071,0.09,0.233,-1.196,0.581,-0.076
-0.066,-1.065,1.454,0.7,-0.149,0.227,0.66,2.959,0.103,0.214,-1.06,0.619,-0.075
-0.053,-1.064,1.454,0.7,-0.149,0.224,0.661,3.07,0.13,0.204,-1.134,0.235,-0.076
-0.041,-1.064,1.455,0.699,-0.153,0.226,0.661,3.057,0.148,0.2,-1.024,0.655,-0.021
-0.029,-1.063,1.455,0.7,-0.153,0.225,0.66,3.048,0.17,0.181,-0.906,0.427,-0.126
-0.016,-1.061,1.456,0.698,-0.158,0.227,0.66,2.897,0.175,0.167,-0.862,0.681,-0.103
-0.004,-1.06,1.457,0.698,-0.16,0.226,0.661,3.124,0.216,0.163,-1.017,0.632,-0.051
0.008,-1.059,1.457,0.698,-0.162,0.225,0.66,3.107,0.234,0.158,-0.963,0.641,-0.118
0.021,-1.058,1.457,0.697,-0.165,0.224,0.661,3.08,0.256,0.138,-1.034,0.609,-0.059
0.033,-1.056,1.458,0.696,-0.166,0.224,0.661,2.891,0.253,0.126,-0.93,0.533,-0.035
0.045,-1.055,1.458,0.695,-0.169,0.222,0.663,3.131,0.293,0.11,-1.284,0.481,0.143
0.057,-1.053,1.458,0.693,-0.171,0.221,0.664,3.124,0.31,0.112,-1.236,0.477,0.226
0.069,-1.052,1.458,0.693,-0.174,0.219,0.665,3.089,0.32,0.089,-1.415,0.464,0.164
0.082,-1.05,1.458,0.692,-0.178,0.217,0.666,2.959,0.317,0.074,-1.425,0.462,0.144
0.094,-1.049,1.458,0.69,-0.179,0.213,0.668,3.023,0.351,0.057,-1.583,0.172,0.238
0.106,-1.047,1.458,0.69,-0.18,0.209,0.67,3.071,0.372,0.035,-1.752,-0.087,0.28
0.118,-1.045,1.458,0.689,-0.184,0.208,0.67,2.978,0.37,0.023,-1.682,0.035,0.202
0.13,-1.043,1.458,0.687,-0.187,0.205,0.671,2.832,0.363,0.005,-1.689,0.093,0.199
0.142,-1.041,1.457,0.687,-0.187,0.202,0.672,3.241,0.448,-0.017,-1.815,-0.367,0.255
0.155,-1.04,1.457,0.686,-0.19,0.2,0.673,3.192,0.451,-0.024,-1.817,-0.23,0.236
0.167,-1.037,1.457,0.685,-0.191,0.197,0.675,3.085,0.453,-0.047,-1.735,-0.295,0.261
0.179,-1.035,1.456,0.685,-0.192,0.194,0.676,2.97,0.451,-0.054,-1.636,-0.376,0.254
0.191,-1.033,1.456,0.683,-0.195,0.193,0.677,3.125,0.486,-0.083,-1.622,-0.102,0.379
0.203,-1.031,1.455,0.683,-0.196,0.189,0.678,3.066,0.495,-0.095,-1.651,-0.238,0.235
0.215,-1.029,1.454,0.681,-0.199,0.188,0.679,2.989,0.494,-0.112,-1.6,-0.125,0.33
0.227,-1.026,1.453,0.68,-0.201,0.185,0.68,2.904,0.493,-0.123,-1.621,-0.111,0.256
0.239,-1.024,1.453,0.68,-0.203,0.182,0.681,3.082,0.549,-0.145,-1.695,-0.251,0.215
0.251,-1.022,1.452,0.679,-0.204,0.179,0.682,3.044,0.557,-0.168,-1.691,-0.36,0.255
0.263,-1.019,1.451,0.678,-0.205,0.176,0.683,2.915,0.548,-0.175,-1.62,-0.366,0.23
0.275,-1.017,1.45,0.677,-0.207,0.173,0.685,2.913,0.562,-0.187,-1.657,-0.356,0.247
0.287,-1.014,1.448,0.676,-0.208,0.17,0.686,3.029,0.602,-0.22,-1.7,-0.436,0.328
0.299,-1.011,1.447,0.676,-0.211,0.167,0.687,3.004,0.611,-0.227,-1.774,-0.434,0.192
0.311,-1.008,1.446,0.675,-0.213,0.166,0.687,2.94,0.612,-0.232,-1.592,-0.223,0.165
0.323,-1.006,1.445,0.674,-0.215,0.163,0.688,2.84,0.61,-0.243,-1.598,-0.251,0.179
0.335,-1.003,1.443,0.674,-0.216,0.16,0.688,2.994,0.669,-0.279,-1.621,-0.405,0.025
0.347,-1.0,1.442,0.673,-0.218,0.16,0.689,2.862,0.648,-0.275,-1.446,-0.238,0.089
0.358,-0.997,1.441,0.673,-0.218,0.158,0.689,3.001,0.706,-0.307,-1.33,-0.261,0.049
0.37,-0.993,1.439,0.672,-0.221,0.156,0.689,2.923,0.709,-0.318,-1.344,-0.158,0.04
0.382,-0.99,1.438,0.672,-0.222,0.155,0.69,2.982,0.74,-0.332,-1.287,-0.097,0.019
0.394,-0.987,1.436,0.671,-0.223,0.153,0.69,2.906,0.74,-0.341,-1.198,-0.176,0.06
0.406,-0.983,1.434,0.671,-0.226,0.153,0.69,2.895,0.757,-0.349,-1.139,0.084,0.0
0.417,-0.98,1.433,0.67,-0.227,0.152,0.69,2.845,0.759,-0.349,-1.064,0.113,-0.032
0.429,-0.976,1.431,0.67,-0.228,0.15,0.69,2.916,0.803,-0.373,-1.151,-0.023,-0.036
0.441,-0.973,1.429,0.669,-0.23,0.148,0.691,2.806,0.79,-0.378,-1.114,-0.034,0.004
0.452,-0.969,1.427,0.668,-0.233,0.148,0.691,2.897,0.839,-0.405,-1.186,0.237,-0.022
0.464,-0.965,1.426,0.668,-0.234,0.145,0.692,2.79,0.826,-0.397,-1.195,0.109,0.007
0.475,-0.961,1.424,0.667,-0.236,0.144,0.692,2.821,0.862,-0.419,-1.173,0.091,0.022
0.487,-0.958,1.422,0.667,-0.237,0.141,0.692,2.838,0.885,-0.434,-1.233,-0.026,-0.062
0.498,-0.954,1.42,0.666,-0.239,0.141,0.692,2.884,0.926,-0.45,-1.157,0.082,0.002
0.51,-0.949,1.418,0.665,-0.242,0.138,0.692,2.737,0.893,-0.442,-1.22,0.138,-0.039
0.521,-0.945,1.416,0.664,-0.244,0.138,0.694,2.671,0.895,-0.436,-1.17,0.169,0.099
0.532,-0.941,1.413,0.664,-0.246,0.138,0.693,2.948,1.023,-0.501,-1.092,0.346,-0.066
0.543,-0.937,1.411,0.663,-0.248,0.136,0.693,2.936,1.038,-0.503,-1.179,0.315,-0.044
0.555,-0.932,1.409,0.663,-0.25,0.134,0.693,2.833,1.019,-0.501,-1.209,0.293,-0.065
0.566,-0.928,1.407,0.662,-0.252,0.133,0.693,2.85,1.047,-0.514,-1.175,0.339,-0.021
0.577,-0.923,1.405,0.662,-0.253,0.132,0.693,2.825,1.076,-0.515,-1.111,0.231,-0.046
0.588,-0.918,1.403,0.66,-0.256,0.13,0.694,2.796,1.084,-0.51,-1.159,0.239,0.015
0.599,-0.914,1.401,0.659,-0.257,0.128,0.695,2.654,1.048,-0.49,-1.16,0.194,0.07
0.61,-0.909,1.398,0.658,-0.258,0.126,0.696,2.783,1.132,-0.538,-1.229,0.046,0.118
0.621,-0.904,1.396,0.657,-0.261,0.125,0.696,2.776,1.156,-0.542,-1.243,0.201,0.095
0.632,-0.899,1.394,0.656,-0.263,0.121,0.697,2.724,1.153,-0.535,-1.476,0.013,0.108
0.642,-0.894,1.392,0.654,-0.265,0.117,0.699,2.616,1.126,-0.52,-1.535,-0.141,0.161
0.653,-0.889,1.389,0.654,-0.266,0.115,0.699,2.65,1.173,-0.531,-1.452,-0.195,0.154
0.664,-0.883,1.387,0.652,-0.268,0.112,0.7,2.722,1.238,-0.559,-1.61,-0.151,0.203
0.674,-0.878,1.385,0.651,-0.269,0.107,0.702,2.687,1.246,-0.559,-1.729,-0.39,0.217
0.685,-0.873,1.383,0.65,-0.271,0.106,0.702,2.525,1.189,-0.524,-1.555,-0.31,0.193
0.695,-0.867,1.38,0.649,-0.271,0.104,0.703,2.763,1.359,-0.584,-1.456,-0.431,0.233
0.706,-0.861,1.378,0.648,-0.273,0.101,0.704,2.718,1.367,-0.579,-1.543,-0.396,0.253
0.716,-0.855,1.376,0.647,-0.275,0.096,0.705,2.667,1.372,-0.568,-1.709,-0.53,0.182
0.726,-0.85,1.373,0.645,-0.276,0.094,0.706,2.543,1.327,-0.545,-1.612,-0.507,0.215
0.737,-0.843,1.371,0.644,-0.276,0.092,0.707,2.592,1.397,-0.555,-1.481,-0.467,0.278
0.746,-0.837,1.369,0.644,-0.276,0.09,0.708,2.601,1.443,-0.558,-1.32,-0.574,0.185
0.756,-0.831,1.367,0.643,-0.279,0.087,0.708,2.546,1.439,-0.542,-1.47,-0.473,0.19
0.766,-0.825,1.365,0.642,-0.279,0.083,0.709,2.424,1.398,-0.509,-1.457,-0.549,0.173
0.776,-0.818,1.363,0.64,-0.281,0.079,0.711,2.496,1.482,-0.533,-1.643,-0.679,0.209
0.786,-0.812,1.361,0.64,-0.281,0.076,0.711,2.497,1.522,-0.526,-1.59,-0.746,0.153
0.796,-0.805,1.359,0.639,-0.28,0.072,0.713,2.333,1.447,-0.491,-1.434,-0.799,0.205
0.805,-0.799,1.357,0.637,-0.283,0.071,0.714,2.186,1.38,-0.46,-1.386,-0.591,0.204
0.815,-0.792,1.355,0.636,-0.283,0.067,0.715,4.8,3.361,-0.993,-3.099,-1.854,0.422
