Step,u0,u1,u2,u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz,err_z,aug_u
1,-0.099,0.1,-0.487,0.004,-0.39,-0.028,0.173,1.0,0.023,-0.012,0.008,0.0,-0.001,-0.013,0.284,0.034,0.013,0.0,0.0,0.034482758620689655,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0,0.0,0.0
2,-0.09,0.1,-0.54,-0.001,-0.39,-0.028,0.173,1.0,0.021,-0.011,0.007,0.002,-0.005,0.01,0.239,0.039,-0.107,0.0,0.0,0.06896551724137931,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0,0.0,0.0
3,0.075,0.1,-0.513,0.01,-0.389,-0.028,0.174,1.0,0.004,-0.014,0.007,0.01,0.009,0.037,-0.949,-0.118,-0.02,0.0,0.0,0.10344827586206896,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0,0.0,0.0
4,0.1,-0.03,-0.499,0.007,-0.388,-0.027,0.18,1.0,-0.009,0.012,0.008,0.025,0.012,0.14,-0.978,1.196,-0.021,0.0,0.0,0.13793103448275862,1.0,0.0,0.0,0.0,0.0,0.0,1.03448275862069,0.0,0.0,0.0,0.0,0.0
5,0.09,-0.054,-0.471,0.008,-0.387,-0.026,0.185,0.999,-0.018,0.025,0.009,0.051,0.017,0.188,-0.397,0.964,0.058,0.0,0.0,0.1724137931034483,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0,0.0,0.0
6,0.044,0.095,-0.449,-0.006,-0.385,-0.026,0.192,1.0,-0.011,0.027,0.005,0.062,0.024,0.216,-0.108,-0.681,-0.1,0.0,0.0,0.20689655172413793,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206893,0.0,0.0,0.0,0.0,0.0
7,-0.063,0.091,-0.464,-0.006,-0.383,-0.025,0.2,1.0,0.001,0.026,0.004,0.068,0.025,0.272,0.6,-0.613,-0.108,0.0,0.0,0.24137931034482757,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0,0.0,0.0
8,-0.01,0.028,-0.472,-0.001,-0.379,-0.025,0.211,1.0,0.004,0.026,0.003,0.105,0.027,0.324,-0.005,-0.112,-0.034,0.0,0.0,0.27586206896551724,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,0.0,0.0
9,0.071,-0.032,-0.467,0.002,-0.373,-0.022,0.226,0.999,-0.002,0.032,0.003,0.16,0.056,0.403,-0.54,0.117,0.019,0.0,0.0,0.3103448275862069,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,0.0,0.0
10,0.022,-0.064,-0.49,-0.001,-0.367,-0.021,0.243,0.999,-0.003,0.041,0.003,0.197,0.054,0.487,-0.021,0.025,-0.048,0.0,0.0,0.3448275862068966,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206893,0.0,0.0,0.0,0.0,0.0
