step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz,pose_vx,pose_vy,pose_vz,pose_avx,pose_avy,pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,est_param_centre_rate_deg,est_param_max_rate_deg,est_param_rate_expo,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1761631628.4523342,0.0,0.0,0.04999999999972454,-0.0070992018729081445,0.0,0.0,0.49999999999724554,-0.07099201872908144,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0023,0.002,0.0024,0.0
0,1761631628.4856992,0.0,0.0,0.09749999997988426,-0.004702017029958759,0.0,0.0,0.4999999998014594,0.020422247493039777,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0016,0.0017,0.0035,0.0
0,1761631628.5170116,0.0,0.0,0.14262499996190922,-0.0028705693046963895,0.0,0.0,0.49999999981019183,0.015963468737644308,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0011,0.001,0.0027,0.0
0,1761631628.554185,0.0,0.0,0.18549374996381363,-0.0016293420248659051,0.0,0.0,0.4999999999999986,0.010976988145956648,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0043,0.0016,0.0025,0.0
0,1761631628.6031692,0.0,0.0,0.22621906246474754,-0.0007914741722147045,0.0,0.0,0.4999999999912461,0.007564007514079053,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0078,0.0054,0.0108,0.0
0,1761631628.6245935,0.0,0.0,0.2649081092911622,-0.00023224836276137118,0.0,0.0,0.4999999994965207,0.005196521008425984,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0059,0.0017,0.0041,0.0
0,1761631628.6550622,0.0,0.0,0.3016627021228136,9.99164421459876e-05,0.0,0.0,0.4999999829620947,0.003205523867692902,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0039,0.0024,0.0033,0.0
0,1761631628.6886115,0.0,0.0,0.3365795669436483,0.00021677050252842596,0.0,0.0,0.49999999926975486,0.0012184988248973776,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0035,0.0033,0.0029,0.0
0,1761631628.7168937,0.0,0.0,0.36975058859646376,0.0002173112797230352,0.0,0.0,0.49999999999997863,0.00011379302321030515,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0016,0.0012,0.0018,0.0
0,1761631628.754004,0.0,0.0,0.4012630153934105,0.0001667533267998835,0.0,0.0,0.4999995622676994,-0.0003969238893699994,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0029,0.0017,0.0037,0.0
0,1761631628.789599,0.0,0.0,0.43119986430073093,0.00011084046802339095,0.0,0.0,0.49999999676990914,-0.0004757519243649835,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0018,0.0041,0.0049,0.0
0,1761631628.816794,0.0,0.0,0.45963987071703616,6.29644739966679e-05,0.0,0.0,0.4999999963134171,-0.00042333970625553496,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0013,0.0011,0.0021,0.0
0,1761631628.8511286,0.0,0.0,0.48665787718094106,2.6289789660379924e-05,0.0,0.0,0.499999999997567,-0.00033526460636454586,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0016,0.0013,0.0027,0.0
0,1761631628.8861513,0.0,0.0,0.5123249810285359,5.951562349991607e-06,0.0,0.0,0.4999999770664186,-0.00019023737827369316,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0033,0.0013,0.0021,0.0
0,1761631628.9184802,0.0,0.0,0.5367087316008153,-4.626791939079343e-06,0.0,0.0,0.4999999962370636,-0.00010280776171571368,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0016,0.0013,0.0034,0.0
0,1761631628.955026,0.0,0.0,0.5598732950196292,-8.58520937838518e-06,0.0,0.0,0.4999999999885465,-4.189757036259802e-05,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.005,0.0019,0.0026,0.0
0,1761631628.983584,0.0,0.0,0.581879628629711,-8.154269735525191e-06,0.0,0.0,0.4999999836106328,1.679173940730277e-08,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0016,0.001,0.002,0.0
