0.055,-0.026,0.062,0.997,0.015,0.077,-0.018,0.0,-0.003,0.002,0.04,0.041,0.027
0.055,-0.026,0.062,0.997,0.016,0.077,-0.019,-0.001,0.001,-0.007,0.021,0.059,-0.005
0.055,-0.025,0.061,0.996,0.024,0.08,-0.018,-0.002,0.034,-0.03,1.102,0.344,0.153
0.055,-0.025,0.064,0.997,0.011,0.074,-0.019,-0.006,0.007,0.061,-0.159,-0.484,-0.104
0.056,-0.025,0.069,0.998,0.007,0.055,-0.018,0.03,0.018,0.167,-0.336,-1.21,0.08
0.059,-0.024,0.082,0.999,0.002,0.04,-0.017,0.093,0.027,0.371,-0.496,-0.933,0.082
0.064,-0.023,0.103,0.999,0.002,0.037,-0.016,0.172,0.016,0.631,-0.094,-0.267,-0.076
0.072,-0.023,0.13,0.999,0.003,0.035,-0.016,0.225,0.024,0.816,0.008,-0.142,-0.039
0.081,-0.021,0.164,0.999,0.004,0.033,-0.016,0.28,0.034,1.031,-0.053,-0.154,0.008
0.092,-0.02,0.203,0.999,0.007,0.028,-0.016,0.324,0.057,1.159,0.328,-0.299,-0.022
0.103,-0.018,0.243,1.0,0.005,0.019,-0.015,0.348,0.054,1.24,0.164,-0.621,-0.012
0.115,-0.016,0.284,1.0,0.004,0.017,-0.016,0.375,0.052,1.244,0.041,-0.282,-0.03
0.126,-0.014,0.32,1.0,0.001,0.012,-0.016,0.382,0.061,1.246,-0.272,-0.126,-0.094
0.136,-0.013,0.349,1.0,0.002,0.008,-0.016,0.387,0.058,1.178,-0.037,-0.186,-0.035
0.146,-0.011,0.378,1.0,0.005,-0.001,-0.015,0.409,0.072,1.175,0.348,-0.808,0.064
0.159,-0.008,0.413,1.0,0.001,-0.004,-0.015,0.412,0.08,1.098,0.023,-0.405,0.053
0.174,-0.006,0.45,1.0,-0.002,-0.006,-0.013,0.399,0.07,0.987,-0.535,0.241,0.117
0.183,-0.004,0.469,1.0,-0.001,-0.013,-0.015,0.394,0.066,0.916,-0.341,-0.168,-0.026
0.198,-0.001,0.502,1.0,-0.0,-0.018,-0.014,0.414,0.073,0.872,-0.273,-0.299,0.1
0.211,0.001,0.528,0.999,0.005,-0.028,-0.016,0.418,0.064,0.872,0.445,-1.089,-0.433
0.22,0.004,0.546,0.999,0.008,-0.029,-0.015,0.393,0.091,0.776,0.423,-0.376,-0.098
0.237,0.008,0.577,0.999,0.011,-0.036,-0.013,0.379,0.103,0.694,0.16,-0.104,0.078
0.248,0.01,0.595,0.999,0.008,-0.037,-0.014,0.383,0.087,0.654,-0.163,-0.038,0.099
0.258,0.014,0.613,0.999,0.011,-0.038,-0.012,0.337,0.102,0.577,0.082,0.025,0.16
0.27,0.017,0.634,0.999,0.009,-0.038,-0.013,0.338,0.09,0.592,-0.084,-0.232,-0.046
0.277,0.019,0.647,0.999,0.008,-0.038,-0.012,0.306,0.078,0.531,-0.171,-0.024,0.076
0.286,0.022,0.664,0.999,0.01,-0.046,-0.013,0.344,0.127,0.666,0.003,-0.001,-0.17
0.296,0.025,0.682,0.999,0.005,-0.043,-0.011,0.331,0.102,0.609,-0.248,0.294,0.065
0.303,0.028,0.698,0.999,0.01,-0.05,-0.012,0.42,0.257,0.972,0.086,0.043,-0.338
0.311,0.031,0.714,0.998,0.011,-0.054,-0.011,0.308,0.152,0.714,0.222,-1.017,0.048
0.319,0.036,0.736,0.998,0.012,-0.06,-0.011,0.212,0.117,0.54,0.102,-0.919,0.001
0.323,0.038,0.747,0.999,0.006,-0.048,-0.006,0.142,0.085,0.386,-0.621,0.724,0.382
0.336,0.047,0.778,0.998,0.02,-0.057,-0.01,0.1,0.082,0.27,0.267,-0.188,-0.008
